 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00526206 / 0.00526206 | -0.000995972 / 0.000995972 | -0.00518665 / 0.00518665 | 0.00423736 / -0.00423736 | -0.00118639 / 0.00118639 | -0.00267074 / 0.00267074 | -0.00244597 / 0.00244597 | -0.00146418 / 0.00146418 | 0.0236172 / -0.0236172 | 0.00228211 / -0.00228211 | -0.00499625 / 0.00499625 |
 | jvt | 0.00241342 / -0.00241342 | 0.00249075 / -0.00249075 | 0.00108039 / -0.00108039 | 0.0032838 / -0.0032838 | 0.00352792 / -0.00352792 | 0.00271241 / -0.00271241 | 0.003078 / -0.003078 | 0.00460839 / -0.00460839 | 0.00412499 / -0.00412499 | 0.00356748 / -0.00356748 | 0.00301428 / -0.00301428 |
 | EL_SF_Trigger | 0.000136981 / -0.000136981 | 0.000194924 / -0.000194924 | 0.000191846 / -0.000191846 | 0.000166434 / -0.000166434 | 0.000160506 / -0.000160506 | 0.000167737 / -0.000167737 | 0.000318161 / -0.000318161 | 0.000283362 / -0.000283362 | 9.74713e-05 / -9.74713e-05 | 0.000146356 / -0.000146356 | 0.000152551 / -0.000152551 |
 | EL_SF_Reco | 0.00242617 / -0.00242617 | 0.00248868 / -0.00248868 | 0.00270941 / -0.00270941 | 0.00253885 / -0.00253885 | 0.00240214 / -0.00240214 | 0.00244929 / -0.00244929 | 0.0043776 / -0.0043776 | 0.00479106 / -0.00479106 | 0.00279107 / -0.00279107 | 0.00287819 / -0.00287819 | 0.00248817 / -0.00248817 |
 | EL_SF_ID | 0.0135597 / -0.0135597 | 0.0153325 / -0.0153325 | 0.0154509 / -0.0154509 | 0.0137919 / -0.0137919 | 0.0135186 / -0.0135186 | 0.0140498 / -0.0140498 | 0.0258295 / -0.0258295 | 0.0367364 / -0.0367364 | 0.0121582 / -0.0121582 | 0.0160404 / -0.0160404 | 0.012921 / -0.012921 |
 | EL_SF_Isol | 0.0193426 / -0.0193426 | 0.0185905 / -0.0185905 | 0.0187172 / -0.0187172 | 0.0172171 / -0.0172171 | 0.0168943 / -0.0168943 | 0.0180721 / -0.0180721 | 0.0185486 / -0.0185486 | 0.0206446 / -0.0206446 | 0.0137915 / -0.0137915 | 0.0192265 / -0.0192265 | 0.0183771 / -0.0183771 |
 | MU_SF_Trigger_STAT | 0.000240532 / -0.000240532 | 0.000245912 / -0.000245912 | 0.000277067 / -0.000277067 | 0.000232109 / -0.000232109 | 0.000244224 / -0.000244224 | 0.000253713 / -0.000253713 | 0.000359055 / -0.000359055 | 0.000479883 / -0.000479883 | 0.000133578 / -0.000133578 | 0.00028074 / -0.00028074 | 0.000261685 / -0.000261685 |
 | MU_SF_Trigger_SYST | -0.000527427 / 0.000527427 | -0.000605706 / 0.000605706 | -0.000649655 / 0.000649655 | -0.000526569 / 0.000526569 | -0.000541783 / 0.000541783 | -0.000631187 / 0.000631187 | -0.000920668 / 0.000920668 | -0.00172256 / 0.00172256 | -0.00042864 / 0.00042864 | -0.000649237 / 0.000649237 | -0.000599875 / 0.000599875 |
 | MU_SF_ID_STAT | 0.000911298 / -0.000911298 | 0.000946819 / -0.000946819 | 0.000900599 / -0.000900599 | 0.000871992 / -0.000871992 | 0.000899802 / -0.000899802 | 0.000901054 / -0.000901054 | 0.000781628 / -0.000781628 | 0.000838812 / -0.000838812 | 0.000644984 / -0.000644984 | 0.000905944 / -0.000905944 | 0.000928582 / -0.000928582 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00332662 / -0.00332662 | 0.0029413 / -0.0029413 | 0.00271887 / -0.00271887 | 0.00327186 / -0.00327186 | 0.00332054 / -0.00332054 | 0.00288479 / -0.00288479 | 0.00250312 / -0.00250312 | 0.00247487 / -0.00247487 | 0.00291515 / -0.00291515 | 0.00354528 / -0.00354528 | 0.00304658 / -0.00304658 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00851684 / -0.00851684 | 0.00767926 / -0.00767926 | 0.00277796 / -0.00277796 | 0.00699902 / -0.00699902 | 0.00702699 / -0.00702699 | 0.00299997 / -0.00299997 | 0.00670521 / -0.00670521 | 0.0025725 / -0.0025725 | 0.0094074 / -0.0094074 | 0.00372101 / -0.00372101 | 0.00327779 / -0.00327779 |
 | MU_SF_Isol_SYST | 0.0209472 / -0.0209472 | 0.0228302 / -0.0228302 | 0.0168712 / -0.0168712 | 0.0210564 / -0.0210564 | 0.0207296 / -0.0207296 | 0.0168017 / -0.0168017 | 0.0235808 / -0.0235808 | 0.0188205 / -0.0188205 | 0.0195638 / -0.0195638 | 0.0151293 / -0.0151293 | 0.0161872 / -0.0161872 |
 | MU_SF_TTVA_STAT | 0.000543297 / -0.000543297 | 0.000469186 / -0.000469186 | 0.000458575 / -0.000458575 | 0.000506511 / -0.000506511 | 0.000523251 / -0.000523251 | 0.000460817 / -0.000460817 | 0.000399051 / -0.000399051 | 0.000394458 / -0.000394458 | 0.000381598 / -0.000381598 | 0.000563903 / -0.000563903 | 0.00049854 / -0.00049854 |
 | MU_SF_TTVA_SYST | 0.000661447 / -0.000661447 | 0.000529434 / -0.000529434 | 0.000498919 / -0.000498919 | 0.000588706 / -0.000588706 | 0.000611693 / -0.000611693 | 0.00051827 / -0.00051827 | 0.000391878 / -0.000391878 | 0.000391271 / -0.000391271 | 0.000378001 / -0.000378001 | 0.000690318 / -0.000690318 | 0.000581107 / -0.000581107 |
 | bTagSF_eigenvars_B_0 | 0.0104138 / -0.0104138 | 0.0213907 / -0.0213907 | 0.0166585 / -0.0166585 | 5.90717e-05 / -5.90717e-05 | -0.00446097 / 0.00446097 | 0.000946284 / -0.000946284 | -0.00281598 / 0.00281598 | -0.00724148 / 0.00724148 | 0.00206938 / -0.00206938 | -0.0124096 / 0.0124096 | -0.0137748 / 0.0137748 |
 | bTagSF_eigenvars_B_1 | 0.00240623 / -0.00240623 | 0.00628313 / -0.00628313 | 0.00485178 / -0.00485178 | -6.6646e-06 / 6.6646e-06 | -0.00124935 / 0.00124935 | -0.00129954 / 0.00129954 | -0.00131714 / 0.00131714 | -0.000896355 / 0.000896355 | 0.00277954 / -0.00277954 | -0.00535134 / 0.00535134 | -0.00425872 / 0.00425872 |
 | bTagSF_eigenvars_B_2 | -0.00183495 / 0.00183495 | -0.00476476 / 0.00476476 | -0.00362897 / 0.00362897 | 5.7983e-06 / -5.7983e-06 | 0.000744065 / -0.000744065 | 0.000590957 / -0.000590957 | 0.00147849 / -0.00147849 | 0.000639485 / -0.000639485 | -0.000738978 / 0.000738978 | 0.00330485 / -0.00330485 | 0.00332832 / -0.00332832 |
 | bTagSF_eigenvars_B_3 | 0.00026562 / -0.00026562 | 0.000437864 / -0.000437864 | 7.64669e-05 / -7.64669e-05 | -3.14081e-06 / 3.14081e-06 | -0.000154075 / 0.000154075 | 0.000259763 / -0.000259763 | -0.000259982 / 0.000259982 | -7.92393e-05 / 7.92393e-05 | -0.000584935 / 0.000584935 | 7.07173e-05 / -7.07173e-05 | -0.000268243 / 0.000268243 |
 | bTagSF_eigenvars_B_4 | 4.03248e-05 / -4.03248e-05 | 0.000212438 / -0.000212438 | 0.000155193 / -0.000155193 | 5.60633e-07 / -5.60633e-07 | 4.79593e-06 / -4.79593e-06 | -5.5128e-05 / 5.5128e-05 | -0.000101609 / 0.000101609 | 0.000139274 / -0.000139274 | 7.42231e-05 / -7.42231e-05 | -0.000101331 / 0.000101331 | -0.000101428 / 0.000101428 |
 | bTagSF_eigenvars_B_5 | -4.14452e-06 / 4.14452e-06 | -1.92907e-05 / 1.92907e-05 | -6.18907e-07 / 6.18907e-07 | -1.26325e-07 / 1.26325e-07 | -4.49627e-06 / 4.49627e-06 | -2.55601e-07 / 2.55601e-07 | 5.25884e-06 / -5.25884e-06 | -5.52784e-05 / 5.52784e-05 | 1.70764e-05 / -1.70764e-05 | 1.44733e-06 / -1.44733e-06 | 1.63555e-06 / -1.63555e-06 |
 | bTagSF_eigenvars_B_6 | -3.64747e-07 / 3.64747e-07 | -1.56727e-06 / 1.56727e-06 | -2.34936e-06 / 2.34936e-06 | 1.82289e-08 / -1.82289e-08 | 8.01417e-09 / -8.01417e-09 | 2.20282e-07 / -2.20282e-07 | 8.48633e-08 / -8.48633e-08 | 3.54029e-06 / -3.54029e-06 | -6.65053e-06 / 6.65053e-06 | 1.77855e-07 / -1.77855e-07 | 7.14194e-07 / -7.14194e-07 |
 | bTagSF_eigenvars_B_7 | 9.66824e-08 / -9.66824e-08 | 4.62621e-07 / -4.62621e-07 | 5.51367e-08 / -5.51367e-08 | -1.4703e-09 / 1.4703e-09 | -2.65103e-08 / 2.65103e-08 | -9.44079e-09 / 9.44079e-09 | 2.33252e-07 / -2.33252e-07 | -3.86232e-08 / 3.86232e-08 | 5.15633e-07 / -5.15633e-07 | -8.18689e-08 / 8.18689e-08 | 5.32237e-08 / -5.32237e-08 |
 | bTagSF_eigenvars_B_8 | -6.42116e-10 / 6.42116e-10 | -1.69131e-08 / 1.69131e-08 | -6.02639e-09 / 6.02639e-09 | -3.51173e-11 / 3.51173e-11 | 5.24372e-09 / -5.24372e-09 | -5.35725e-09 / 5.35725e-09 | -1.38843e-08 / 1.38843e-08 | -3.94744e-08 / 3.94744e-08 | -4.66021e-08 / 4.66021e-08 | 3.2577e-10 / -3.2577e-10 | 7.39232e-09 / -7.39232e-09 |
 | bTagSF_eigenvars_C_0 | 0.00295277 / -0.00295277 | 0.000852454 / -0.000852454 | 0.00351894 / -0.00351894 | -0.00704173 / 0.00704173 | -0.0276067 / 0.0276067 | 0.000616164 / -0.000616164 | 0.000266705 / -0.000266705 | -0.0152206 / 0.0152206 | -0.020939 / 0.020939 | 0.00278947 / -0.00278947 | 0.00740855 / -0.00740855 |
 | bTagSF_eigenvars_C_1 | 9.07426e-05 / -9.07426e-05 | -2.2932e-05 / 2.2932e-05 | 9.62602e-05 / -9.62602e-05 | 0.000376049 / -0.000376049 | -0.0029155 / 0.0029155 | 7.15792e-05 / -7.15792e-05 | 3.26359e-05 / -3.26359e-05 | -0.000167898 / 0.000167898 | -0.0023159 / 0.0023159 | -0.000119783 / 0.000119783 | 0.000481346 / -0.000481346 |
 | bTagSF_eigenvars_C_2 | -0.000177774 / 0.000177774 | -1.94063e-05 / 1.94063e-05 | -0.000165338 / 0.000165338 | 0.000166912 / -0.000166912 | 0.00121302 / -0.00121302 | -5.50407e-05 / 5.50407e-05 | -8.02893e-06 / 8.02893e-06 | 0.00112347 / -0.00112347 | 0.00249848 / -0.00249848 | -0.0001227 / 0.0001227 | -0.000680436 / 0.000680436 |
 | bTagSF_eigenvars_C_3 | 3.86525e-05 / -3.86525e-05 | 9.31415e-06 / -9.31415e-06 | 4.37236e-05 / -4.37236e-05 | -0.000117088 / 0.000117088 | -0.000340198 / 0.000340198 | 1.03156e-05 / -1.03156e-05 | 2.21984e-05 / -2.21984e-05 | -0.00022894 / 0.00022894 | -3.33388e-05 / 3.33388e-05 | 5.7213e-05 / -5.7213e-05 | 6.0712e-05 / -6.0712e-05 |
 | bTagSF_eigenvars_Light_0 | 0.0014476 / -0.0014476 | 0.00113383 / -0.00113383 | 0.000969646 / -0.000969646 | -0.1264 / 0.1264 | -0.0021293 / 0.0021293 | 0.000418476 / -0.000418476 | 0.00171201 / -0.00171201 | -0.00153173 / 0.00153173 | -0.00468067 / 0.00468067 | 0.000797218 / -0.000797218 | 0.000472056 / -0.000472056 |
 | bTagSF_eigenvars_Light_1 | -0.000180753 / 0.000180753 | -7.40615e-05 / 7.40615e-05 | 4.7663e-06 / -4.7663e-06 | 0.00727819 / -0.00727819 | 0.000175792 / -0.000175792 | -3.27303e-05 / 3.27303e-05 | -0.000311253 / 0.000311253 | 0.000380798 / -0.000380798 | 0.000401246 / -0.000401246 | -0.000151302 / 0.000151302 | -8.12899e-05 / 8.12899e-05 |
 | bTagSF_eigenvars_Light_2 | -3.87907e-05 / 3.87907e-05 | -4.05534e-05 / 4.05534e-05 | -8.24172e-05 / 8.24172e-05 | -0.00162392 / 0.00162392 | -5.76608e-05 / 5.76608e-05 | -6.91152e-05 / 6.91152e-05 | 7.91601e-05 / -7.91601e-05 | 1.60595e-05 / -1.60595e-05 | -0.000198974 / 0.000198974 | 5.08311e-05 / -5.08311e-05 | -1.05863e-05 / 1.05863e-05 |
 | bTagSF_eigenvars_Light_3 | 3.52479e-05 / -3.52479e-05 | 4.98405e-06 / -4.98405e-06 | 4.79225e-05 / -4.79225e-05 | -0.00258559 / 0.00258559 | -1.67766e-05 / 1.67766e-05 | 2.5381e-05 / -2.5381e-05 | 3.56757e-06 / -3.56757e-06 | -8.39436e-05 / 8.39436e-05 | -0.000181835 / 0.000181835 | 9.91766e-06 / -9.91766e-06 | 1.62598e-05 / -1.62598e-05 |
 | EG_RESOLUTION_ALL | 0.000147257 / -0.00014732 | -0.00193233 / 0.00193232 | 0.00136735 / -0.00136736 | 0.000654128 / -0.000654131 | 5.2321e-05 / -5.23523e-05 | -1.11605e-05 / 1.11536e-05 | -0.00457421 / 0.00457421 | -0.00386378 / 0.00386377 | 0.00452485 / -0.00452482 | 0.00226694 / -0.00226696 | -0.00039357 / 0.000393541 |
 | EG_SCALE_ALL | -0.000703743 / 0.000703757 | 0.00220989 / -0.0022099 | 0.000663693 / -0.000663645 | -0.00071886 / 0.000718856 | 6.03189e-05 / -6.03503e-05 | 0.00035558 / -0.000355587 | 0.00247063 / -0.00247063 | 0.0336334 / -0.0336333 | -0.000807475 / 0.000807505 | -0.000127212 / 0.000127193 | 0.000825635 / -0.000825664 |
 | GlobalReduction_JET_BJES_Response | 0.000888594 / -0.000888657 | 0.00608467 / -0.00608467 | 0.000365788 / -0.00036574 | 0.000194022 / -0.000194025 | 0.00435372 / -0.00435366 | 0.00345511 / -0.00345512 | 0.00466749 / -0.00466749 | 0.0169608 / -0.0169608 | -0.0011509 / 0.00115093 | 0.00236832 / -0.00236834 | 0.0039643 / -0.00396422 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00382427 / -0.00382433 | 0.00751181 / -0.00751182 | 0.00588109 / -0.00588111 | 0.0178127 / -0.0178127 | 0.0114544 / -0.0114544 | 0.00791512 / -0.00791505 | 0.00712892 / -0.00712892 | 0.0224368 / -0.0224368 | 0.000764125 / -0.000764186 | 0.0128359 / -0.0128359 | 0.0073213 / -0.00732122 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00207859 / 0.0020786 | -0.00502184 / 0.00502183 | -0.00129995 / 0.00129994 | -0.00548256 / 0.00548255 | -0.00325424 / 0.0032543 | -0.0022491 / 0.00224909 | -0.00034986 / 0.00034986 | -0.0067707 / 0.00677069 | -0.00401493 / 0.00401487 | -0.00325791 / 0.00325789 | -0.00227912 / 0.00227909 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000992751 / -0.000992738 | 0.000910377 / -0.000910384 | 0.00039142 / -0.000391372 | 0.00212267 / -0.00212267 | 0.00144387 / -0.0014439 | 0.00135546 / -0.00135547 | 0.00131605 / -0.00131605 | 2.59858e-06 / -2.61036e-06 | 0.000629739 / -0.0006298 | 0.00159484 / -0.00159485 | 0.000700084 / -0.000700113 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000309444 / 0.000309458 | -0.000432725 / 0.000432718 | -0.000159021 / 0.000159005 | -0.00082541 / 0.000825407 | -0.000799562 / 0.00079953 | -0.000624874 / 0.000624867 | -0.000938514 / 0.000938514 | 2.34654e-06 / -2.35831e-06 | -0.000800336 / 0.000800365 | -0.000668341 / 0.000668323 | -0.00017149 / 0.00017146 |
 | GlobalReduction_JET_EffectiveNP_5 | 2.33695e-05 / -2.3356e-05 | -2.86866e-05 / 2.86792e-05 | 0.000241282 / -0.000241298 | -2.34649e-05 / 2.34619e-05 | 7.02164e-05 / -7.01478e-05 | 7.24794e-05 / -7.24863e-05 | -9.545e-06 / 9.54459e-06 | 8.34264e-07 / -8.46038e-07 | -1.01975e-05 / 1.01366e-05 | 2.24103e-05 / -2.23607e-05 | -2.03503e-05 / 2.04251e-05 |
 | GlobalReduction_JET_EffectiveNP_8 | -7.44942e-06 / 7.46296e-06 | 3.04286e-05 / -3.0436e-05 | 0.000235067 / -0.000235083 | 6.80326e-05 / -6.79702e-05 | -4.5754e-05 / 4.58226e-05 | 6.33716e-05 / -6.33785e-05 | 9.54459e-06 / -9.545e-06 | -9.30053e-07 / 9.1828e-07 | 0.000104487 / -0.000104457 | -3.56286e-05 / 3.56102e-05 | 1.34558e-05 / -1.3381e-05 |
 | GlobalReduction_JET_EffectiveNP_7 | 7.00412e-06 / -6.99058e-06 | -1.99396e-05 / 1.99322e-05 | -0.000149024 / 0.000149072 | -0.000158813 / 0.00015881 | -6.95479e-05 / 6.96166e-05 | -5.10829e-05 / 5.10761e-05 | -1.04127e-05 / 1.04123e-05 | 2.51457e-06 / -2.52634e-06 | -3.69057e-06 / 3.72009e-06 | -0.000151638 / 0.00015162 | 4.19814e-06 / -4.22738e-06 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 1.05219e-05 / -1.05084e-05 | 0.000405602 / -0.000405609 | 2.46946e-05 / -2.46465e-05 | 0.000348808 / -0.000348811 | 0.000124303 / -0.000124234 | 0.000130921 / -0.000130928 | -1.07598e-05 / 1.07594e-05 | -1.7702e-06 / 1.75843e-06 | 1.0227e-05 / -1.02879e-05 | 0.000266337 / -0.000266355 | -7.94759e-07 / 7.65523e-07 |
