NUISANCE_PARAMETERS
ttbarBottomMeson  0.0858125 +0.971958 -0.971958
ttbarFSR  0.420026 +0.892342 -0.892342
ttbarPDF  -0.00163588 +0.993066 -0.993066
ttbarPS  0.193597 +0.927463 -0.927463
ttbarPhotConv  -0.344059 +1.0217 -1.0217
ttbarXsec  1.5693e-10 +0.993348 -0.993348
ttbarhdamp  -0.0245202 +0.924969 -0.924969
gamma_stat_SBCR1_bin_0  1.00202 +0.014368 -0.014368
gamma_stat_SBCR1_bin_1  0.998543 +0.0124384 -0.0124384
gamma_stat_SBCR1_bin_2  1.0004 +0.0150624 -0.0150624
gamma_stat_SBCR1_bin_3  1.00367 +0.0177548 -0.0177548
gamma_stat_SBCR1_bin_4  1.003 +0.0200787 -0.0200787
gamma_stat_SBCR1_bin_5  0.993259 +0.0302338 -0.0302338
gamma_stat_SBCR1_bin_6  0.998659 +0.0269942 -0.0269942
gamma_stat_SBCR1_bin_7  1.00446 +0.0349537 -0.0349537
gamma_stat_SBCR2_bin_0  1.02079 +0.0547287 -0.0547287
gamma_stat_SBCR2_bin_1  1.00679 +0.0615168 -0.0615168
gamma_stat_SBCR2_bin_2  1.00732 +0.0514265 -0.0514265
gamma_stat_SBCR2_bin_3  0.988608 +0.0504249 -0.0504249
gamma_stat_SBCR2_bin_4  0.983222 +0.0511946 -0.0511946
gamma_stat_SBCR2_bin_5  1.00249 +0.0509831 -0.0509831
gamma_stat_SBCR2_bin_6  1.02534 +0.0537475 -0.0537475
gamma_stat_SBCR2_bin_7  0.992754 +0.0434601 -0.0434601
gamma_stat_SR1_bin_0  0.999877 +0.00977527 -0.00977527
gamma_stat_SR1_bin_1  0.998311 +0.0129698 -0.0129698
gamma_stat_SR1_bin_2  0.999621 +0.0133228 -0.0133228
gamma_stat_SR1_bin_3  1.00127 +0.0201651 -0.0201651
gamma_stat_SR1_bin_4  0.995484 +0.0218244 -0.0218244
gamma_stat_SR1_bin_5  1.00034 +0.0222109 -0.0222109
gamma_stat_SR1_bin_6  1.00053 +0.0193824 -0.0193824
gamma_stat_SR1_bin_7  1.00096 +0.0208475 -0.0208475
gamma_stat_SR1_bin_8  1.00281 +0.026831 -0.026831
gamma_stat_SR1_bin_9  0.997321 +0.0222479 -0.0222479
gamma_stat_SR2_bin_0  0.992549 +0.0328624 -0.0328624
gamma_stat_SR2_bin_1  0.999622 +0.0251383 -0.0251383
gamma_stat_SR2_bin_2  0.988647 +0.0253606 -0.0253606
gamma_stat_SR2_bin_3  1.00074 +0.0237238 -0.0237238
gamma_stat_SR2_bin_4  1.00679 +0.0252126 -0.0252126
gamma_stat_SR2_bin_5  1.00261 +0.0278618 -0.0278618
gamma_stat_SR2_bin_6  1.00198 +0.0242375 -0.0242375
gamma_stat_SR2_bin_7  0.99852 +0.0284777 -0.0284777
gamma_stat_SR2_bin_8  1.00679 +0.0272305 -0.0272305
gamma_stat_SR2_bin_9  0.999049 +0.0202239 -0.0202239
gamma_stat_SR3_bin_0  1.00265 +0.0182546 -0.0182546
gamma_stat_SR3_bin_1  0.9978 +0.0188921 -0.0188921
gamma_stat_SR3_bin_2  0.999086 +0.0206265 -0.0206265
gamma_stat_SR3_bin_3  0.997846 +0.0203327 -0.0203327
gamma_stat_SR3_bin_4  0.996621 +0.0225115 -0.0225115
gamma_stat_SR3_bin_5  0.998617 +0.0287704 -0.0287704
gamma_stat_SR3_bin_6  1.00609 +0.0267863 -0.0267863
gamma_stat_SR3_bin_7  1.00167 +0.0317014 -0.0317014
gamma_stat_SR3_bin_8  1.00153 +0.047438 -0.047438
gamma_stat_SR3_bin_9  1.00095 +0.04241 -0.04241
gamma_stat_TTCR_bin_0  1.00824 +0.0407307 -0.0407307
gamma_stat_TTCR_bin_1  0.987455 +0.0378553 -0.0378553
gamma_stat_TTCR_bin_2  0.99523 +0.0363765 -0.0363765
gamma_stat_TTCR_bin_3  0.997253 +0.040862 -0.040862
gamma_stat_TTCR_bin_4  1.00809 +0.038864 -0.038864
gamma_stat_TTCR_bin_5  1.00922 +0.0376981 -0.0376981
gamma_stat_TTCR_bin_6  0.999767 +0.0312626 -0.0312626
gamma_stat_TTCR_bin_7  0.996922 +0.0300741 -0.0300741
gamma_stat_TTZCR_bin_0  1.00097 +0.0181853 -0.0181853
gamma_stat_TTZCR_bin_1  1.00137 +0.0172891 -0.0172891
gamma_stat_TTZCR_bin_2  1.00195 +0.01813 -0.01813
gamma_stat_TTZCR_bin_3  0.99791 +0.0162734 -0.0162734
gamma_stat_TTZCR_bin_4  0.999873 +0.0158075 -0.0158075
gamma_stat_TTZCR_bin_5  0.998947 +0.0160332 -0.0160332
gamma_stat_TTZCR_bin_6  1.00087 +0.0146703 -0.0146703
gamma_stat_TTZCR_bin_7  0.999562 +0.0146283 -0.0146283
mu_ttbar_Wt  0.894577 +0.2354 -0.2354


CORRELATION_MATRIX
165   165
7.94391e-06   9.0146e-06   -2.92603e-05   -2.43692e-05   -3.26717e-05   -3.56889e-05   -4.59838e-05   -5.98777e-05   -5.42676e-05   0.0023285   0.0016701   -0.000515705   -0.00176052   -0.00169091   -0.00139232   -0.000148264   0.00118467   0.000115122   -0.000746534   0.000137748   4.92164e-05   -0.000510207   5.64006e-05   -4.93941e-05   -0.000262337   -0.000155715   2.24268e-05   0.000489692   0.000321693   0.00125506   -0.000933813   -0.000412262   -0.000790499   -0.000848199   1.26861e-05   0.00170778   0.00496714   7.40588e-05   0.000289418   0.00029562   0.000272793   0.000427141   0.000616259   0.00038937   9.92221e-05   -3.81197e-05   -0.000116278   0.00191266   -0.000378876   0.00271455   -0.00198261   -0.000796976   -0.00130769   -0.00272758   -0.00999466   -0.00203693   -0.0010859   -0.000834088   0.000153028   -0.000132711   0.000170799   0.000139624   0.00017221   0.00397411   -3.71204e-12   0.00044285   0.000482978   -0.000503716   -0.00198493   0.000536202   0.000599295   -0.000509349   -0.00116506   -0.000680195   -0.000104421   0.00108898   -0.000172356   0.000601115   0.000350102   0.000696452   -3.71204e-12   0.00320382   -0.00113817   4.34851e-05   -0.000137066   -0.000436327   -0.000488975   0.000798652   -1.43563e-05   -4.03817e-05   -0.00102977   0.00187036   1.55605e-06   -6.50071e-07   8.89976e-05   -5.656e-05   -0.000384595   0.000947636   0.000612267   -0.000998368   0.000224235   0.000117789   0.00032182   0.000501145   0.00291542   -0.00368966   -0.016522   0.00526033   0.000550117   0.00146989   0.000473757   0.00452992   -0.0194172   0.00240024   -0.00823536   1.75455e-06   -9.5594e-06   2.15075e-06   -6.52749e-08   -0.00161718   -4.11925e-05   -2.62682e-05   -3.21873e-06   0.000142876   -1.85628e-05   0.000574238   -0.000513567   0.00036233   0.00203614   -3.71204e-12   0.00479224   0.000265927   0.00214407   -0.00142521   -0.00114962   0.00532027   0.00170694   0.00581279   0.00325943   0.00364392   0.00403685   0.000579931   -3.71204e-12   -0.00267317   0.00221238   -0.000343707   -8.42828e-05   3.91854e-05   -0.000344936   -0.00093497   0.000270265   2.15653e-05   -0.000315209   1.37046e-05   -0.000149118   0.00079742   0.000443501   0.00265524   0.000353805   4.23902e-08   -1.24111e-05   -0.000545796   -0.00152268   0.000123622   1   
0.00258059   -0.000199588   -5.38537e-05   0.000109573   0.000152631   0.000286214   0.000334032   0.000374184   0.000413763   -0.00182974   -0.000580309   0.000131246   0.000262176   0.000464667   0.000412635   0.000265552   -2.34454e-05   4.02754e-05   -0.000774928   0.00011622   2.9223e-05   -0.00064781   -5.92715e-05   -8.42261e-05   -0.000223028   -0.000120393   0.000170546   1.23477e-05   7.171e-05   -0.00031554   -0.000178614   -0.000379454   -0.000411765   -0.000484893   -0.000633561   -0.000994416   -0.00184557   0.000342176   -0.00062818   9.99721e-06   -0.000151754   -0.00110124   -0.00252517   -0.00140861   0.000226045   -8.09688e-05   0.000152915   -0.00431937   -0.0014102   -0.00244736   0.00329088   0.00257844   0.00266237   0.00289648   0.00836826   0.0011146   0.00080795   0.000848357   0.000494716   0.000363745   0.000311148   0.000208415   9.47102e-05   -0.000260376   1.17944e-11   -0.00245781   0.00160244   0.00042487   0.00179581   0.000180218   -0.000293423   0.00337037   0.00183938   0.00167339   -0.00357979   -0.00228321   -0.000458697   0.00198113   -0.0054366   -0.00190857   1.17944e-11   0.00241045   -0.000847696   -0.000289668   0.000203312   0.00034946   0.000705048   -0.000324073   -2.64321e-07   -5.1669e-05   0.00130685   -0.000815026   2.37515e-07   -4.64257e-07   5.60141e-05   -9.09469e-05   7.65465e-05   -0.00264592   -0.000789373   0.00155816   -0.000296953   0.000137229   -0.000311371   -0.000260776   -0.000731551   0.00267894   0.00831474   -0.00524432   0.000843933   -0.000874427   -0.00222505   -0.00675949   0.0139149   -0.00280938   -0.0129258   -6.29721e-06   -1.59885e-05   -4.42795e-07   -8.15735e-08   0.000734441   8.87406e-05   3.20732e-06   -1.92655e-08   0.000412762   0.000771682   -0.00103817   0.00227268   0.00172153   -0.00225609   1.17944e-11   -0.0055517   -0.00108784   -0.00163694   0.00208219   0.00413504   -0.000967672   -0.00132944   0.00295597   0.00180591   0.00563007   0.00393184   0.00886652   1.17944e-11   0.00188445   -0.00171217   0.000464338   0.000184858   -0.000130675   0.00055291   -2.95625e-05   -0.000581291   -0.00018864   -0.000415045   -0.000323527   -0.000680559   -0.00241649   -0.00194636   -0.00161668   -0.000399873   1.74105e-08   -5.23434e-05   -0.0018447   -0.00136324   1   0.000123622   
