 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.000791625 / -0.00079163 | 0.00159466 / -0.00159467 | 0.00223133 / -0.00223137 | -3.83746e-05 / 3.83746e-05 | -0.00211976 / 0.00211973 | -0.000368044 / 0.000368043 | -0.0036773 / 0.00367721 | -0.00243543 / 0.00243539 | 0.000448508 / -0.00044851 | -0.00389776 / 0.00389766 | 6.75416e-05 / -6.75416e-05 |
 | bTagSF_eigenvars_B_2 | -0.00110956 / 0.00110955 | -0.00141203 / 0.00141202 | -0.00147397 / 0.00147396 | 3.39104e-05 / -3.39104e-05 | 0.000724746 / -0.00072475 | -0.000460583 / 0.000460582 | 0.00166237 / -0.00166239 | 0.00100888 / -0.00100889 | -0.000103453 / 0.000103453 | 0.000874231 / -0.000874236 | -0.000886303 / 0.000886298 |
 | bTagSF_eigenvars_B_3 | 0.000164325 / -0.000164325 | 0.000491488 / -0.00049149 | 0.000458005 / -0.000458007 | -1.87098e-05 / 1.87098e-05 | -3.87422e-05 / 3.87421e-05 | 0.000212244 / -0.000212244 | 0.000273844 / -0.000273845 | 0.00105758 / -0.00105759 | 0.000244888 / -0.000244888 | 0.000319214 / -0.000319215 | 0.000552767 / -0.000552769 |
 | bTagSF_eigenvars_B_4 | -1.11011e-05 / 1.11011e-05 | -0.000107663 / 0.000107663 | -4.83714e-05 / 4.83714e-05 | 3.40998e-06 / -3.40998e-06 | -1.47045e-05 / 1.47045e-05 | 8.78943e-06 / -8.78943e-06 | -0.000109796 / 0.000109796 | -0.000159707 / 0.000159707 | 2.89995e-05 / -2.89995e-05 | 3.48606e-05 / -3.48606e-05 | -5.05604e-05 / 5.05604e-05 |
 | bTagSF_eigenvars_B_5 | -2.68012e-06 / 2.68012e-06 | 1.89751e-05 / -1.89751e-05 | 3.10826e-06 / -3.10826e-06 | -7.72042e-07 / 7.72042e-07 | -6.47603e-06 / 6.47603e-06 | -3.2257e-06 / 3.2257e-06 | -1.21047e-05 / 1.21047e-05 | -7.21351e-06 / 7.21351e-06 | -1.19891e-06 / 1.19891e-06 | -1.74469e-05 / 1.74469e-05 | 6.48451e-07 / -6.48451e-07 |
 | bTagSF_eigenvars_B_6 | -3.64788e-07 / 3.64788e-07 | -6.01451e-07 / 6.01451e-07 | 2.2824e-06 / -2.2824e-06 | 1.08982e-07 / -1.08982e-07 | -4.78916e-07 / 4.78916e-07 | -1.8648e-07 / 1.8648e-07 | 6.87321e-06 / -6.87321e-06 | -2.27459e-06 / 2.27459e-06 | -9.72142e-07 / 9.72142e-07 | -1.51271e-06 / 1.51271e-06 | 2.37323e-06 / -2.37323e-06 |
 | bTagSF_eigenvars_B_7 | -9.73967e-08 / 9.73967e-08 | -9.57176e-08 / 9.57176e-08 | 1.07984e-07 / -1.07984e-07 | -7.53643e-09 / 7.53643e-09 | -7.75555e-08 / 7.75555e-08 | -1.60562e-07 / 1.60562e-07 | -3.94235e-07 / 3.94235e-07 | 1.19094e-06 / -1.19094e-06 | -2.39387e-07 / 2.39387e-07 | 6.56182e-08 / -6.56182e-08 | 8.46699e-08 / -8.46699e-08 |
 | bTagSF_eigenvars_B_8 | 1.6348e-09 / -1.6348e-09 | 2.51884e-09 / -2.51884e-09 | 3.58e-09 / -3.58e-09 | -1.76247e-10 / 1.76247e-10 | 1.02259e-08 / -1.02259e-08 | 1.38337e-08 / -1.38337e-08 | 3.9116e-08 / -3.9116e-08 | 6.31531e-08 / -6.31531e-08 | -2.46803e-08 / 2.46803e-08 | 3.19718e-09 / -3.19718e-09 | 2.45352e-08 / -2.45352e-08 |
 | bTagSF_eigenvars_C_0 | 0.00144402 / -0.00144403 | 0.000804091 / -0.000804093 | 0.00231956 / -0.00231958 | -0.00312473 / 0.00312469 | -0.0211019 / 0.0210995 | 5.24054e-05 / -5.24054e-05 | -0.000199539 / 0.000199539 | -0.0195689 / 0.0199284 | -0.0418626 / 0.0418506 | -0.00286667 / 0.00286664 | -0.0177506 / 0.017749 |
 | bTagSF_eigenvars_C_1 | 1.88685e-05 / -1.88685e-05 | 0.000103738 / -0.000103738 | -9.30998e-05 / 9.30997e-05 | 0.000187721 / -0.000187722 | -0.00742099 / 0.00742067 | -0.000116146 / 0.000116146 | -2.8375e-05 / 2.8375e-05 | 0.000861046 / -0.000367828 | 0.000589586 / -0.000589588 | -0.000939992 / 0.000939987 | -0.00403293 / 0.00403283 |
 | bTagSF_eigenvars_C_2 | -0.000121753 / 0.000121753 | 9.29861e-06 / -9.29861e-06 | -9.32029e-05 / 9.32028e-05 | 3.47408e-05 / -3.47408e-05 | 0.000531308 / -0.00053131 | 3.72994e-05 / -3.72994e-05 | 3.60494e-05 / -3.60494e-05 | 0.00120793 / -0.00120794 | 0.000539913 / -0.000539914 | 5.66051e-05 / -5.66052e-05 | 0.00216314 / -0.00216317 |
 | bTagSF_eigenvars_C_3 | 3.36407e-05 / -3.36408e-05 | 1.37866e-05 / -1.37866e-05 | 5.07367e-05 / -5.07367e-05 | -3.82156e-05 / 3.82156e-05 | -0.000282388 / 0.000282387 | 4.96997e-06 / -4.96997e-06 | 3.24187e-05 / -3.24187e-05 | -0.000105706 / 0.000105706 | -0.000944435 / 0.000944429 | -4.52641e-05 / 4.52641e-05 | 0.00017048 / -0.00017048 |
