 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00220003 / 0.00220003 | -0.000268125 / 0.000268125 | -0.000917584 / 0.000917584 | -1.3964e-06 / 1.3964e-06 | -0.000700393 / 0.000700393 | -0.00435333 / 0.00435333 | -0.00332414 / 0.00332414 | -0.00172928 / 0.00172928 | -0.000759626 / 0.000759626 | -0.00627469 / 0.00627469 | -0.00354595 / 0.00354595 |
 | bTagSF_eigenvars_B_2 | 0.00257876 / -0.00257876 | 0.00155377 / -0.00155377 | 0.00207361 / -0.00207361 | 2.04139e-06 / -2.04139e-06 | 0.00114682 / -0.00114682 | 0.00367746 / -0.00367746 | 0.00385886 / -0.00385886 | 0.00231416 / -0.00231416 | 0.00138803 / -0.00138803 | 0.00355228 / -0.00355228 | 0.00307211 / -0.00307211 |
 | bTagSF_eigenvars_B_3 | -0.000625964 / 0.000625964 | -0.000780794 / 0.000780794 | -0.000911447 / 0.000911447 | -1.74078e-06 / 1.74078e-06 | -0.000555169 / 0.000555169 | -0.000451763 / 0.000451763 | -0.00112285 / 0.00112285 | -0.000959276 / 0.000959276 | -0.000698698 / 0.000698698 | 0.000164216 / -0.000164216 | -0.000373164 / 0.000373164 |
 | bTagSF_eigenvars_B_4 | -6.64827e-05 / 6.64827e-05 | -0.000122076 / 0.000122076 | -6.10104e-05 / 6.10104e-05 | 4.90976e-07 / -4.90976e-07 | 5.25745e-05 / -5.25745e-05 | -0.000125682 / 0.000125682 | -7.9314e-05 / 7.9314e-05 | 7.94469e-05 / -7.94469e-05 | 3.97254e-05 / -3.97254e-05 | -0.000113177 / 0.000113177 | -0.000112329 / 0.000112329 |
 | bTagSF_eigenvars_B_5 | 1.37065e-05 / -1.37065e-05 | 4.90421e-05 / -4.90421e-05 | 2.44865e-05 / -2.44865e-05 | -1.5554e-07 / 1.5554e-07 | -7.27543e-06 / 7.27543e-06 | 1.10861e-05 / -1.10861e-05 | 2.66616e-05 / -2.66616e-05 | -1.10014e-05 / 1.10014e-05 | 4.47178e-06 / -4.47178e-06 | -3.96576e-06 / 3.96576e-06 | 9.71358e-06 / -9.71358e-06 |
 | bTagSF_eigenvars_B_6 | 5.48292e-07 / -5.48292e-07 | 4.70247e-07 / -4.70247e-07 | 1.31144e-06 / -1.31144e-06 | 3.11614e-08 / -3.11614e-08 | 5.28229e-07 / -5.28229e-07 | 8.48956e-07 / -8.48956e-07 | -6.29281e-07 / 6.29281e-07 | 1.73155e-06 / -1.73155e-06 | -2.32463e-07 / 2.32463e-07 | 4.45023e-07 / -4.45023e-07 | 9.98886e-07 / -9.98886e-07 |
 | bTagSF_eigenvars_B_7 | -9.54648e-08 / 9.54648e-08 | -3.56441e-07 / 3.56441e-07 | -2.01005e-07 / 2.01005e-07 | -3.61603e-09 / 3.61603e-09 | 3.60682e-08 / -3.60682e-08 | -9.96179e-08 / 9.96179e-08 | -1.44422e-07 / 1.44422e-07 | -1.87436e-08 / 1.87436e-08 | -2.40091e-07 / 2.40091e-07 | -1.73099e-08 / 1.73099e-08 | -1.5856e-07 / 1.5856e-07 |
 | bTagSF_eigenvars_B_8 | 5.93318e-09 / -5.93318e-09 | -1.42375e-08 / 1.42375e-08 | -1.36862e-08 / 1.36862e-08 | -1.51708e-10 / 1.51708e-10 | 6.87355e-09 / -6.87355e-09 | 2.20255e-09 / -2.20254e-09 | -1.06622e-08 / 1.06622e-08 | 2.64956e-08 / -2.64956e-08 | -2.28993e-08 / 2.28993e-08 | 7.13395e-09 / -7.13395e-09 | 3.15652e-09 / -3.15652e-09 |
 | bTagSF_eigenvars_C_0 | -0.000691784 / 0.000691784 | -0.00032 / 0.00032 | -0.000593285 / 0.000593285 | -0.00739008 / 0.00739008 | -0.0396749 / 0.0396749 | 9.65618e-05 / -9.65618e-05 | -5.718e-05 / 5.718e-05 | -0.0152853 / 0.0152853 | -0.041082 / 0.041082 | 0.000225095 / -0.000225095 | -0.00607454 / 0.00607454 |
 | bTagSF_eigenvars_C_1 | 0.000196916 / -0.000196916 | 4.77949e-05 / -4.77949e-05 | 0.000109358 / -0.000109358 | 0.000493676 / -0.000493676 | 0.000947027 / -0.000947027 | 5.81061e-05 / -5.81061e-05 | 7.69553e-06 / -7.69553e-06 | 0.000968089 / -0.000968089 | 0.00133172 / -0.00133172 | 5.9977e-05 / -5.9977e-05 | 0.000168932 / -0.000168932 |
