 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0126332 / 0.0126298 | -0.0159727 / 0.0159673 | -0.0102936 / 0.0102914 | -0.00174034 / 0.00174028 | -0.0121598 / 0.0121567 | -0.0125822 / 0.0125789 | -0.0235973 / 0.0235854 | 0.0162105 / -0.0162157 | -0.0226751 / 0.0226641 | -0.00897608 / 0.0089744 | -0.0143188 / 0.0143145 |
 | jvt | -0.00549813 / 0.00549793 | -0.00208309 / 0.00208306 | -0.00401553 / 0.00401543 | 0.00108553 / -0.00108554 | 0.000655156 / -0.000655159 | -0.000394875 / 0.000394874 | 0.000338008 / -0.000338008 | -0.000154364 / 0.000154363 | 0.00313344 / -0.0031335 | -3.16499e-05 / 3.16499e-05 | -0.00223465 / 0.00223462 |
 | EL_SF_Trigger | 0.000145716 / -0.000145716 | 0.00015363 / -0.00015363 | 0.000214713 / -0.000214714 | 0.000194951 / -0.000194951 | 0.000174306 / -0.000174306 | 0.000173162 / -0.000173163 | 0.000318682 / -0.000318682 | 0.000425287 / -0.000425289 | 0.000109289 / -0.000109289 | 0.000146352 / -0.000146352 | 0.000147693 / -0.000147693 |
 | EL_SF_Reco | 0.00249633 / -0.00249637 | 0.00250523 / -0.00250527 | 0.0027508 / -0.00275085 | 0.00264964 / -0.00264969 | 0.00234091 / -0.00234094 | 0.00248912 / -0.00248916 | 0.00406089 / -0.00406101 | 0.0049494 / -0.00494956 | 0.00340288 / -0.00340296 | 0.00280921 / -0.00280927 | 0.00254173 / -0.00254177 |
 | EL_SF_ID | 0.0141601 / -0.0141631 | 0.0142923 / -0.0142953 | 0.0160053 / -0.0160091 | 0.0147215 / -0.0147247 | 0.0130949 / -0.0130974 | 0.0144412 / -0.0144443 | 0.0231953 / -0.0232033 | 0.0277267 / -0.0277382 | 0.0105188 / -0.0105205 | 0.0158498 / -0.0158535 | 0.0133813 / -0.013384 |
 | EL_SF_Isol | 0.0189668 / -0.0189733 | 0.0178249 / -0.0178305 | 0.0173431 / -0.0173485 | 0.018248 / -0.0182539 | 0.0161828 / -0.0161874 | 0.0174324 / -0.0174378 | 0.0178295 / -0.0178352 | 0.0200591 / -0.0200663 | 0.0180245 / -0.0180303 | 0.0182368 / -0.0182427 | 0.0181126 / -0.0181185 |
 | MU_SF_Trigger_STAT | 0.000251986 / -0.000251987 | 0.000305979 / -0.00030598 | 0.000268539 / -0.000268539 | 0.00019472 / -0.000194721 | 0.000279656 / -0.000279656 | 0.000277749 / -0.00027775 | 0.000371174 / -0.000371175 | 0.000135544 / -0.000135545 | 4.10539e-05 / -4.10539e-05 | 0.000265409 / -0.000265409 | 0.0002515 / -0.0002515 |
 | MU_SF_Trigger_SYST | -0.000571159 / 0.000571157 | -0.000666535 / 0.000666532 | -0.000658567 / 0.000658564 | -0.000542802 / 0.0005428 | -0.00061372 / 0.000613718 | -0.000662983 / 0.000662981 | -0.000991401 / 0.000991395 | -0.000946377 / 0.000946371 | -0.00127199 / 0.00127198 | -0.000611716 / 0.000611714 | -0.000604217 / 0.000604214 |
 | MU_SF_ID_STAT | 0.000879016 / -0.000879021 | 0.000923859 / -0.000923865 | 0.00086301 / -0.000863015 | 0.000532104 / -0.000532106 | 0.000910906 / -0.000910912 | 0.000917431 / -0.000917437 | 0.000869032 / -0.000869037 | 0.00065612 / -0.000656123 | 0.000609586 / -0.000609589 | 0.000881526 / -0.000881531 | 0.00089724 / -0.000897245 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00337156 / -0.00337164 | 0.00262511 / -0.00262516 | 0.00257911 / -0.00257915 | 0.00221635 / -0.00221638 | 0.00295949 / -0.00295955 | 0.0029607 / -0.00296076 | 0.00248864 / -0.00248869 | 0.00184041 / -0.00184044 | 0.00276058 / -0.00276063 | 0.00395207 / -0.00395217 | 0.00306994 / -0.00307 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00748349 / -0.00748386 | 0.00712405 / -0.00712438 | 0.00271555 / -0.0027156 | 0.00580381 / -0.00580403 | 0.00597496 / -0.0059752 | 0.00311054 / -0.00311061 | 0.00670981 / -0.0067101 | 0.00166255 / -0.00166257 | 0.0063384 / -0.00633867 | 0.00380712 / -0.00380722 | 0.00338788 / -0.00338796 |
 | MU_SF_Isol_SYST | 0.0192148 / -0.0192176 | 0.0220954 / -0.0220991 | 0.0164413 / -0.0164432 | 0.0189854 / -0.0189881 | 0.0206923 / -0.0206955 | 0.0166444 / -0.0166464 | 0.0241643 / -0.0241688 | 0.0186502 / -0.0186528 | 0.0262701 / -0.0262755 | 0.014762 / -0.0147636 | 0.0155946 / -0.0155964 |
 | MU_SF_TTVA_STAT | 0.000532752 / -0.000532754 | 0.000409244 / -0.000409245 | 0.000420514 / -0.000420515 | 0.000418056 / -0.000418057 | 0.000458775 / -0.000458776 | 0.000457501 / -0.000457503 | 0.000408017 / -0.000408018 | 0.000286139 / -0.00028614 | 0.000380346 / -0.000380347 | 0.000574402 / -0.000574404 | 0.000505452 / -0.000505453 |
 | MU_SF_TTVA_SYST | 0.000643049 / -0.000643052 | 0.000454085 / -0.000454086 | 0.00047167 / -0.000471672 | 0.00048798 / -0.000487981 | 0.000498885 / -0.000498887 | 0.000513136 / -0.000513138 | 0.000353827 / -0.000353827 | 0.000137739 / -0.000137739 | 0.000631187 / -0.00063119 | 0.00068831 / -0.000688313 | 0.000594221 / -0.000594224 |
 | bTagSF_eigenvars_B_0 | -0.010545 / 0.0105391 | -0.00948967 / 0.00948489 | -0.00872924 / 0.0087252 | 3.88218e-06 / -3.88218e-06 | -0.00919957 / 0.00919507 | -0.0134987 / 0.0134891 | -0.0178994 / 0.0178824 | -0.0181918 / 0.0181743 | -0.0132572 / 0.0132479 | -0.0126325 / 0.012624 | -0.0125991 / 0.0125907 |
 | bTagSF_eigenvars_B_1 | -0.00245579 / 0.00245575 | -0.00101897 / 0.00101896 | -0.0015023 / 0.00150228 | -1.39308e-06 / 1.39308e-06 | -0.000711359 / 0.000711356 | -0.0044931 / 0.00449296 | -0.00341769 / 0.00341761 | -0.00172689 / 0.00172687 | -0.000759977 / 0.000759973 | -0.00623979 / 0.00623953 | -0.00364952 / 0.00364943 |
 | bTagSF_eigenvars_B_2 | 0.00270281 / -0.00270286 | 0.00195974 / -0.00195976 | 0.00243632 / -0.00243635 | 2.03663e-06 / -2.03663e-06 | 0.00114296 / -0.00114297 | 0.00375341 / -0.00375351 | 0.00398016 / -0.00398027 | 0.00230033 / -0.00230037 | 0.00138684 / -0.00138685 | 0.0035427 / -0.00354279 | 0.00312113 / -0.0031212 |
 | bTagSF_eigenvars_B_3 | -0.000607549 / 0.000607546 | -0.000824159 / 0.000824154 | -0.000890183 / 0.000890178 | -1.7367e-06 / 1.7367e-06 | -0.000546029 / 0.000546027 | -0.000439409 / 0.000439407 | -0.00114429 / 0.00114428 | -0.000947939 / 0.000947933 | -0.000698043 / 0.00069804 | 0.000158144 / -0.000158144 | -0.000361443 / 0.000361442 |
 | bTagSF_eigenvars_B_4 | -7.9484e-05 / 7.94839e-05 | -0.00011664 / 0.00011664 | -7.09154e-05 / 7.09154e-05 | 4.89823e-07 / -4.89823e-07 | 5.18774e-05 / -5.18775e-05 | -0.000130169 / 0.000130169 | -9.27022e-05 / 9.27021e-05 | 7.87997e-05 / -7.87998e-05 | 3.98736e-05 / -3.98736e-05 | -0.000113188 / 0.000113188 | -0.000112968 / 0.000112968 |
 | bTagSF_eigenvars_B_5 | 1.36637e-05 / -1.36637e-05 | 4.40859e-05 / -4.40859e-05 | 2.53261e-05 / -2.53261e-05 | -1.55175e-07 / 1.55175e-07 | -7.52867e-06 / 7.52867e-06 | 1.05665e-05 / -1.05665e-05 | 2.77539e-05 / -2.77539e-05 | -1.11678e-05 / 1.11678e-05 | 4.39399e-06 / -4.39399e-06 | -3.5872e-06 / 3.5872e-06 | 9.75605e-06 / -9.75605e-06 |
 | bTagSF_eigenvars_B_6 | 9.20799e-07 / -9.20799e-07 | 1.95568e-07 / -1.95568e-07 | 1.20012e-06 / -1.20012e-06 | 3.12962e-08 / -3.12963e-08 | 5.51782e-07 / -5.51782e-07 | 9.95306e-07 / -9.95306e-07 | -8.50599e-08 / 8.50599e-08 | 1.71429e-06 / -1.71429e-06 | -2.41171e-07 / 2.41171e-07 | 4.57155e-07 / -4.57155e-07 | 8.35453e-07 / -8.35453e-07 |
 | bTagSF_eigenvars_B_7 | -6.83594e-08 / 6.83594e-08 | -3.516e-07 / 3.516e-07 | -2.69255e-07 / 2.69255e-07 | -3.63166e-09 / 3.63166e-09 | 3.95586e-08 / -3.95586e-08 | -9.12917e-08 / 9.12917e-08 | -1.61665e-07 / 1.61665e-07 | -1.3869e-08 / 1.3869e-08 | -2.35943e-07 / 2.35943e-07 | -2.44188e-08 / 2.44188e-08 | -1.41411e-07 / 1.41411e-07 |
 | bTagSF_eigenvars_B_8 | 8.50434e-09 / -8.50435e-09 | -1.08361e-08 / 1.08361e-08 | -1.87198e-08 / 1.87199e-08 | -1.52363e-10 / 1.52362e-10 | 6.94675e-09 / -6.94675e-09 | 3.81019e-09 / -3.81019e-09 | -8.99576e-09 / 8.99576e-09 | 2.61515e-08 / -2.61515e-08 | -2.25159e-08 / 2.25159e-08 | 7.39113e-09 / -7.39113e-09 | 3.37615e-09 / -3.37615e-09 |
 | bTagSF_eigenvars_C_0 | -0.000745435 / 0.000745435 | -0.000170842 / 0.000170842 | -0.000690721 / 0.00069072 | -0.00724933 / 0.00724924 | -0.0387783 / 0.0387727 | 6.59206e-05 / -6.59206e-05 | -3.34534e-05 / 3.34534e-05 | -0.0148817 / 0.0148812 | -0.0400902 / 0.040084 | 0.000124597 / -0.000124597 | -0.00595245 / 0.00595239 |
