 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00732887 / 0.00732887 | -0.00678959 / 0.00678959 | -0.00726322 / 0.00726322 | -1.3556e-06 / 1.3556e-06 | -0.00206638 / 0.00206638 | -0.00602947 / 0.00602947 | -0.00611254 / 0.00611254 | -0.00324189 / 0.00324189 | -0.00385846 / 0.00385846 | -0.00669299 / 0.00669299 | -0.00303307 / 0.00303307 |
 | bTagSF_eigenvars_B_2 | 0.00328647 / -0.00328647 | 0.0036307 / -0.0036307 | 0.00380643 / -0.00380643 | 5.06505e-06 / -5.06505e-06 | 0.000910422 / -0.000910422 | 0.00362596 / -0.00362596 | 0.00401637 / -0.00401637 | 0.0028765 / -0.0028765 | 0.00301385 / -0.00301385 | 0.00299685 / -0.00299685 | 0.00202228 / -0.00202228 |
 | bTagSF_eigenvars_B_3 | 0.000593989 / -0.000593989 | 0.000596563 / -0.000596563 | 0.00083072 / -0.00083072 | -5.98845e-06 / 5.98845e-06 | -6.14234e-05 / 6.14234e-05 | 9.7223e-05 / -9.7223e-05 | 0.000308442 / -0.000308442 | -0.000882088 / 0.000882088 | -1.98252e-05 / 1.98252e-05 | 0.00043764 / -0.00043764 | 6.12605e-05 / -6.12605e-05 |
 | bTagSF_eigenvars_B_4 | -0.000120171 / 0.000120171 | -0.000135956 / 0.000135956 | -0.000109017 / 0.000109017 | 2.11124e-06 / -2.11124e-06 | -7.12485e-06 / 7.12485e-06 | -9.04698e-05 / 9.04698e-05 | -0.000152564 / 0.000152564 | -3.96137e-05 / 3.96137e-05 | -0.000336107 / 0.000336107 | -2.52671e-06 / 2.52671e-06 | -8.94483e-05 / 8.94483e-05 |
 | bTagSF_eigenvars_B_5 | -2.77745e-05 / 2.77745e-05 | -1.3311e-05 / 1.3311e-05 | -3.50732e-05 / 3.50732e-05 | -8.04818e-07 / 8.04818e-07 | -6.76866e-06 / 6.76866e-06 | -1.45876e-05 / 1.45876e-05 | -2.60515e-05 / 2.60515e-05 | 1.2418e-05 / -1.2418e-05 | 3.40224e-05 / -3.40224e-05 | -1.42566e-05 / 1.42566e-05 | -9.80972e-07 / 9.80972e-07 |
 | bTagSF_eigenvars_B_6 | 8.50888e-07 / -8.50888e-07 | -3.88981e-07 / 3.88981e-07 | 2.47397e-06 / -2.47397e-06 | 2.03649e-07 / -2.03649e-07 | -1.27533e-07 / 1.27533e-07 | 1.65869e-06 / -1.65869e-06 | 3.0922e-06 / -3.0922e-06 | -5.93389e-07 / 5.93389e-07 | 1.02674e-05 / -1.02674e-05 | -9.3528e-07 / 9.3528e-07 | 1.17836e-06 / -1.17836e-06 |
 | bTagSF_eigenvars_B_7 | -1.49854e-07 / 1.49854e-07 | -1.41803e-07 / 1.41803e-07 | 3.9897e-08 / -3.9897e-08 | -3.20548e-08 / 3.20548e-08 | -6.00323e-08 / 6.00323e-08 | -2.16857e-08 / 2.16857e-08 | 3.61035e-07 / -3.61035e-07 | 2.81978e-07 / -2.81978e-07 | -1.5855e-06 / 1.5855e-06 | -3.99532e-08 / 3.99532e-08 | 1.90059e-07 / -1.90059e-07 |
 | bTagSF_eigenvars_B_8 | 2.00576e-08 / -2.00576e-08 | -8.42689e-09 / 8.42689e-09 | -3.45697e-09 / 3.45697e-09 | -2.67676e-09 / 2.67676e-09 | 8.1447e-09 / -8.1447e-09 | 1.50509e-08 / -1.50509e-08 | 2.26339e-08 / -2.26339e-08 | -7.55031e-09 / 7.55031e-09 | 4.07302e-08 / -4.07302e-08 | 1.05363e-08 / -1.05363e-08 | 2.20482e-08 / -2.20482e-08 |
 | bTagSF_eigenvars_C_0 | -0.0014573 / 0.0014573 | -9.66226e-05 / 9.66226e-05 | -0.000496914 / 0.000496914 | -0.00963068 / 0.00963068 | -0.0299989 / 0.0299989 | -0.00138377 / 0.00138377 | -0.000253007 / 0.000253007 | -0.00955559 / 0.00955559 | -0.0150929 / 0.0150929 | -0.00297006 / 0.00297006 | -0.0233951 / 0.0233951 |
 | bTagSF_eigenvars_C_1 | -0.000247247 / 0.000247247 | 1.134e-05 / -1.134e-05 | -0.000270905 / 0.000270905 | 0.000567567 / -0.000567567 | -0.00936069 / 0.00936069 | -0.000329598 / 0.000329598 | -5.97057e-07 / 5.97057e-07 | -0.00024628 / 0.00024628 | -0.00267336 / 0.00267336 | -0.000289173 / 0.000289173 | -0.00361423 / 0.00361423 |
