 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00135056 / -0.00135057 | 0.00510233 / -0.00510251 | 0.00330328 / -0.00330335 | -6.83503e-06 / 6.83503e-06 | -0.00130536 / 0.00130535 | -0.00190404 / 0.00190402 | -0.00230274 / 0.0023027 | -0.00142494 / 0.00142493 | 0.00159584 / -0.00159585 | -0.00537696 / 0.00537677 | -0.00415675 / 0.00415663 |
 | bTagSF_eigenvars_B_2 | -0.00125758 / 0.00125757 | -0.00390513 / 0.00390502 | -0.00280894 / 0.00280888 | 5.94696e-06 / -5.94696e-06 | 0.000785818 / -0.000785822 | 0.00103709 / -0.0010371 | 0.00197043 / -0.00197046 | 0.00124412 / -0.00124413 | -0.00026949 / 0.00026949 | 0.00328897 / -0.00328904 | 0.00329325 / -0.00329332 |
 | bTagSF_eigenvars_B_3 | 0.000332742 / -0.000332743 | 0.000509175 / -0.000509177 | 0.000208781 / -0.000208781 | -3.22134e-06 / 3.22134e-06 | -0.000165828 / 0.000165828 | 0.000254159 / -0.000254159 | -7.57727e-05 / 7.57727e-05 | -0.000319471 / 0.00031947 | -0.000526085 / 0.000526083 | 8.72088e-05 / -8.72089e-05 | -0.000294415 / 0.000294415 |
 | bTagSF_eigenvars_B_4 | 1.43786e-05 / -1.43786e-05 | 0.000164123 / -0.000164123 | 0.000117598 / -0.000117598 | 5.75009e-07 / -5.75009e-07 | 5.09267e-06 / -5.09267e-06 | -7.01711e-05 / 7.01711e-05 | -0.000122828 / 0.000122827 | 0.000148724 / -0.000148724 | 2.08599e-05 / -2.086e-05 | -9.72604e-05 / 9.72603e-05 | -9.97744e-05 / 9.97744e-05 |
 | bTagSF_eigenvars_B_5 | -4.13696e-06 / 4.13696e-06 | -2.8482e-05 / 2.8482e-05 | -6.74339e-07 / 6.74339e-07 | -1.29564e-07 / 1.29564e-07 | -4.22971e-06 / 4.22971e-06 | -9.42162e-07 / 9.42162e-07 | -2.04705e-06 / 2.04705e-06 | -5.06076e-05 / 5.06076e-05 | 1.46338e-05 / -1.46338e-05 | 1.34943e-06 / -1.34943e-06 | 2.75855e-06 / -2.75855e-06 |
 | bTagSF_eigenvars_B_6 | -1.95663e-07 / 1.95663e-07 | -2.13347e-06 / 2.13347e-06 | -1.84258e-06 / 1.84258e-06 | 1.88216e-08 / -1.88216e-08 | 1.83201e-08 / -1.83201e-08 | 3.2462e-07 / -3.2462e-07 | 6.27207e-07 / -6.27207e-07 | 1.96669e-06 / -1.96669e-06 | -6.64572e-06 / 6.64572e-06 | 1.85671e-07 / -1.85671e-07 | 7.40091e-07 / -7.40091e-07 |
 | bTagSF_eigenvars_B_7 | 1.24558e-07 / -1.24558e-07 | 7.09351e-07 / -7.09351e-07 | 8.51439e-09 / -8.51439e-09 | -1.51811e-09 / 1.51811e-09 | -3.5524e-08 / 3.5524e-08 | -2.96346e-08 / 2.96346e-08 | 2.73695e-07 / -2.73695e-07 | 1.01451e-07 / -1.01451e-07 | 3.00562e-07 / -3.00562e-07 | -3.69719e-08 / 3.69719e-08 | 3.78857e-08 / -3.78857e-08 |
 | bTagSF_eigenvars_B_8 | 1.93019e-09 / -1.93019e-09 | -1.50106e-08 / 1.50106e-08 | -4.60901e-09 / 4.60901e-09 | -3.62591e-11 / 3.62597e-11 | 4.73147e-09 / -4.73147e-09 | -6.40182e-09 / 6.40182e-09 | 8.07961e-10 / -8.07959e-10 | -3.29284e-08 / 3.29284e-08 | -3.10502e-08 / 3.10502e-08 | 1.02414e-09 / -1.02414e-09 | 8.21933e-09 / -8.21933e-09 |
 | bTagSF_eigenvars_C_0 | 0.00228529 / -0.00228529 | 0.000879875 / -0.000879876 | 0.00274645 / -0.00274646 | -0.00695796 / 0.00695789 | -0.0273806 / 0.0273784 | 0.000545459 / -0.000545459 | 0.000375733 / -0.000375733 | -0.015824 / 0.0158235 | -0.0215457 / 0.0215445 | 0.00210479 / -0.00210479 | 0.00655933 / -0.00655936 |
 | bTagSF_eigenvars_C_1 | 4.0709e-05 / -4.0709e-05 | -1.55855e-05 / 1.55855e-05 | 4.4574e-05 / -4.4574e-05 | 0.000384546 / -0.000384547 | -0.00297017 / 0.00297011 | 4.17249e-05 / -4.17249e-05 | 2.35424e-05 / -2.35424e-05 | -0.000240133 / 0.000240133 | -0.00245595 / 0.00245591 | -0.000133367 / 0.000133367 | 0.000299249 / -0.00029925 |
