 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00261959 / -0.00261963 | 0.00657026 / -0.00657055 | 0.00510926 / -0.00510944 | -6.58813e-06 / 6.58813e-06 | -0.0012022 / 0.00120219 | -0.00108524 / 0.00108523 | -0.00105483 / 0.00105482 | -0.00109434 / 0.00109433 | 0.00305432 / -0.00305439 | -0.0052402 / 0.00524002 | -0.00419893 / 0.00419881 |
 | bTagSF_eigenvars_B_2 | -0.00199782 / 0.0019978 | -0.00491953 / 0.00491937 | -0.0037938 / 0.0037937 | 5.73202e-06 / -5.73202e-06 | 0.000709377 / -0.00070938 | 0.000431525 / -0.000431527 | 0.00123824 / -0.00123825 | 0.000737068 / -0.000737071 | -0.000995452 / 0.000995445 | 0.00322562 / -0.00322569 | 0.00327225 / -0.00327232 |
 | bTagSF_eigenvars_B_3 | 0.000279317 / -0.000279317 | 0.000405164 / -0.000405165 | 7.40245e-05 / -7.40246e-05 | -3.10491e-06 / 3.10491e-06 | -0.000150021 / 0.000150021 | 0.000266091 / -0.000266092 | -0.000224952 / 0.000224952 | -4.1829e-05 / 4.1829e-05 | -0.000505973 / 0.000505971 | 7.35801e-05 / -7.35802e-05 | -0.000257929 / 0.000257929 |
 | bTagSF_eigenvars_B_4 | 4.55844e-05 / -4.55844e-05 | 0.000215515 / -0.000215515 | 0.000165061 / -0.000165061 | 5.54226e-07 / -5.54226e-07 | 5.31714e-06 / -5.31714e-06 | -4.84054e-05 / 4.84054e-05 | -8.58774e-05 / 8.58774e-05 | 0.000101953 / -0.000101953 | 9.16908e-05 / -9.16909e-05 | -9.85293e-05 / 9.85293e-05 | -0.000100827 / 0.000100827 |
 | bTagSF_eigenvars_B_5 | -4.19898e-06 / 4.19898e-06 | -1.83739e-05 / 1.83739e-05 | 3.35497e-07 / -3.35497e-07 | -1.24881e-07 / 1.24881e-07 | -4.16769e-06 / 4.16769e-06 | -5.31529e-07 / 5.31529e-07 | 1.69513e-06 / -1.69513e-06 | -4.27291e-05 / 4.2729e-05 | 1.46786e-05 / -1.46786e-05 | 1.33013e-06 / -1.33013e-06 | 1.79326e-06 / -1.79326e-06 |
 | bTagSF_eigenvars_B_6 | -3.67464e-07 / 3.67464e-07 | -1.62472e-06 / 1.62472e-06 | -2.28701e-06 / 2.28701e-06 | 1.81414e-08 / -1.81414e-08 | -2.93638e-08 / 2.93638e-08 | 3.80589e-07 / -3.80589e-07 | 4.53453e-07 / -4.53453e-07 | 1.93947e-06 / -1.93947e-06 | -6.50649e-06 / 6.50649e-06 | 1.91249e-07 / -1.91249e-07 | 7.53647e-07 / -7.53647e-07 |
 | bTagSF_eigenvars_B_7 | 9.24047e-08 / -9.24047e-08 | 4.14142e-07 / -4.14142e-07 | 3.29001e-08 / -3.29001e-08 | -1.46324e-09 / 1.46324e-09 | -2.84007e-08 / 2.84007e-08 | -2.88524e-08 / 2.88524e-08 | 2.34815e-07 / -2.34815e-07 | 5.26768e-09 / -5.26768e-09 | 4.80542e-07 / -4.80542e-07 | -7.76538e-08 / 7.76538e-08 | 4.09166e-08 / -4.09166e-08 |
 | bTagSF_eigenvars_B_8 | -9.96276e-10 / 9.96276e-10 | -2.07887e-08 / 2.07887e-08 | -4.63058e-09 / 4.63058e-09 | -3.49486e-11 / 3.49496e-11 | 4.74802e-09 / -4.74802e-09 | -4.72207e-09 / 4.72207e-09 | -9.744e-09 / 9.744e-09 | -4.26475e-08 / 4.26475e-08 | -4.96737e-08 / 4.96737e-08 | 5.36558e-10 / -5.36558e-10 | 6.73204e-09 / -6.73204e-09 |
 | bTagSF_eigenvars_C_0 | 0.00299633 / -0.00299634 | 0.000870351 / -0.000870351 | 0.00356251 / -0.00356252 | -0.00685405 / 0.00685398 | -0.0267607 / 0.0267588 | 0.000651038 / -0.000651038 | 0.000279701 / -0.000279701 | -0.0145811 / 0.0145807 | -0.0200072 / 0.0200063 | 0.00273214 / -0.00273215 | 0.00725312 / -0.00725314 |
 | bTagSF_eigenvars_C_1 | 9.80933e-05 / -9.80934e-05 | -9.42021e-06 / 9.42021e-06 | 0.000102728 / -0.000102729 | 0.000372234 / -0.000372235 | -0.00286044 / 0.00286039 | 7.2259e-05 / -7.22591e-05 | 4.41778e-05 / -4.41778e-05 | -0.000163657 / 0.000163657 | -0.00221808 / 0.00221805 | -0.000114723 / 0.000114723 | 0.000469257 / -0.000469258 |
