 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_0 | 0.00638694 / -0.00638876 | 0.00637042 / -0.00637223 | 0.0106663 / -0.0106714 | 0 / 0 | -0.00604517 / 0.00604355 | -0.00684226 / 0.00684019 | -0.0102454 / 0.0102408 | -0.013346 / 0.0133381 | 0.0120353 / -0.0120418 | -0.00899932 / 0.00899573 | -0.00964625 / 0.00964213 |
 | bTagSF_eigenvars_B_1 | 0.002362 / -0.00236204 | 0.00304027 / -0.00304033 | 0.00359592 / -0.00359601 | 0 / 0 | -0.000742713 / 0.000742709 | -0.00319954 / 0.00319947 | -0.00334512 / 0.00334504 | -0.00458706 / 0.00458692 | 0.00531067 / -0.00531086 | -0.00552229 / 0.00552208 | -0.00342267 / 0.00342259 |
 | bTagSF_eigenvars_B_2 | -0.000949881 / 0.000949875 | -0.0015548 / 0.00155478 | -0.00217949 / 0.00217946 | 0 / 0 | 0.000713902 / -0.000713905 | 0.00232158 / -0.00232162 | 0.00281248 / -0.00281254 | 0.00569505 / -0.00569527 | -0.00271551 / 0.00271546 | 0.00222934 / -0.00222937 | 0.00253716 / -0.0025372 |
 | bTagSF_eigenvars_B_3 | -0.000104581 / 0.00010458 | -0.000103182 / 0.000103182 | 6.88613e-06 / -6.88613e-06 | 0 / 0 | -0.000195033 / 0.000195032 | -0.000352615 / 0.000352614 | -0.000320061 / 0.000320061 | -0.00214399 / 0.00214396 | 2.11273e-05 / -2.11273e-05 | 0.000210085 / -0.000210085 | -3.27953e-06 / 3.27953e-06 |
 | bTagSF_eigenvars_B_4 | 3.52456e-05 / -3.52456e-05 | 1.7291e-05 / -1.7291e-05 | 5.34149e-05 / -5.34149e-05 | 0 / 0 | 4.73252e-06 / -4.73252e-06 | -7.06469e-05 / 7.06469e-05 | -0.000107088 / 0.000107088 | -1.3634e-05 / 1.3634e-05 | -2.19752e-05 / 2.19751e-05 | -7.97493e-05 / 7.97493e-05 | -3.50507e-05 / 3.50507e-05 |
 | bTagSF_eigenvars_B_5 | 1.12387e-05 / -1.12388e-05 | 5.51843e-06 / -5.51843e-06 | 2.67486e-06 / -2.67486e-06 | 0 / 0 | -2.17359e-06 / 2.17359e-06 | -2.74367e-06 / 2.74367e-06 | 5.55759e-06 / -5.55759e-06 | -5.17546e-05 / 5.17546e-05 | -3.53594e-07 / 3.53594e-07 | -1.88276e-05 / 1.88276e-05 | -5.16266e-05 / 5.16266e-05 |
 | bTagSF_eigenvars_B_6 | 9.95346e-07 / -9.95346e-07 | -7.54027e-07 / 7.54027e-07 | 1.00244e-07 / -1.00244e-07 | 0 / 0 | 1.82367e-06 / -1.82367e-06 | -3.57222e-06 / 3.57222e-06 | 1.43564e-06 / -1.43564e-06 | 2.97869e-05 / -2.97869e-05 | 2.25307e-06 / -2.25307e-06 | 6.40921e-07 / -6.40921e-07 | 7.654e-06 / -7.654e-06 |
 | bTagSF_eigenvars_B_7 | 5.04467e-08 / -5.04467e-08 | -5.13879e-08 / 5.13879e-08 | 5.86349e-08 / -5.86349e-08 | 0 / 0 | -2.00024e-07 / 2.00024e-07 | 2.52355e-07 / -2.52355e-07 | -1.70409e-07 / 1.70409e-07 | -2.88932e-06 / 2.88932e-06 | 3.89593e-07 / -3.89593e-07 | 1.27193e-07 / -1.27193e-07 | 6.76922e-07 / -6.76922e-07 |
 | bTagSF_eigenvars_B_8 | -1.61431e-08 / 1.61431e-08 | -1.63374e-08 / 1.63374e-08 | -2.32553e-09 / 2.32553e-09 | 0 / 0 | -1.00057e-08 / 1.00057e-08 | 1.33657e-08 / -1.33657e-08 | -7.90289e-10 / 7.90289e-10 | -6.51028e-08 / 6.51028e-08 | -2.02844e-08 / 2.02844e-08 | 5.8838e-08 / -5.8838e-08 | 5.6191e-08 / -5.6191e-08 |
 | bTagSF_eigenvars_C_0 | 0.000823246 / -0.000823247 | 0.000376224 / -0.000376224 | 0.0023639 / -0.00236391 | -0.00516759 / 0.00516756 | -0.03331 / 0.0333065 | 0.000399818 / -0.000399818 | 0.000141046 / -0.000141046 | 0.00547465 / -0.00547467 | -0.00472752 / 0.00472749 | 0.00164283 / -0.00164283 | 0.000978636 / -0.000978636 |
 | bTagSF_eigenvars_C_1 | 4.94669e-05 / -4.94669e-05 | 5.07577e-06 / -5.07577e-06 | 0.000128683 / -0.000128683 | 9.05098e-05 / -9.05099e-05 | -0.0043743 / 0.00437418 | -1.35128e-05 / 1.35128e-05 | 5.72612e-05 / -5.72613e-05 | -0.000258818 / 0.000258817 | -0.00101597 / 0.00101596 | -0.000153474 / 0.000153474 | 0.000484383 / -0.000484384 |
 | bTagSF_eigenvars_C_2 | -2.97246e-05 / 2.97246e-05 | -7.63042e-06 / 7.63042e-06 | -0.000150107 / 0.000150107 | 0.000326102 / -0.000326103 | 0.00103458 / -0.00103458 | 3.89854e-06 / -3.89854e-06 | -1.63046e-05 / 1.63046e-05 | 0.000385637 / -0.000385638 | 4.90662e-05 / -4.90662e-05 | 4.2311e-05 / -4.2311e-05 | 0.000225989 / -0.000225989 |
 | bTagSF_eigenvars_C_3 | 1.40669e-05 / -1.40669e-05 | -5.14486e-08 / 5.14486e-08 | 3.04383e-05 / -3.04383e-05 | -3.00807e-05 / 3.00807e-05 | -0.000370996 / 0.000370995 | -5.93887e-06 / 5.93887e-06 | 5.81696e-06 / -5.81696e-06 | 2.90534e-05 / -2.90534e-05 | -0.000102048 / 0.000102048 | 1.97668e-05 / -1.97668e-05 | -0.000258223 / 0.000258222 |
 | bTagSF_eigenvars_Light_0 | 0.000264134 / -0.000264132 | 0.000754543 / -0.00075453 | 0.000948785 / -0.000948764 | -0.12198 / 0.122157 | -0.00190979 / 0.00190988 | -0.000991416 / 0.000991438 | 0.000310293 / -0.000310291 | -0.0121389 / 0.0121421 | -0.00630738 / 0.00630826 | 0.0019525 / -0.00195241 | -0.000494467 / 0.000494473 |
