NUISANCE_PARAMETERS
#mu  0.00368679 +0.177404 -0.177404
ttZnorm  -0.325448 +0.745468 -0.745468
ttZrad  -0.0683777 +0.97724 -0.97724
ttbarA14  -0.0464748 +0.985606 -0.985606
ttbarBottomMeson  0.0849924 +0.972882 -0.972882
ttbarFSR  0.301689 +0.885961 -0.885961
ttbarPDF  -0.000556171 +0.993051 -0.993051
ttbarPS  -0.0302319 +0.983741 -0.983741
ttbarPhotConv  -0.297539 +1.02086 -1.02086
ttbarXsec  -2.59042e-06 +0.993349 -0.993349
ttbarhdamp  -0.115728 +0.931968 -0.931968
gamma_stat_SBCR1_bin_0  1.00133 +0.0143609 -0.0143609
gamma_stat_SBCR1_bin_1  0.998031 +0.0124335 -0.0124335
gamma_stat_SBCR1_bin_2  0.999875 +0.0150567 -0.0150567
gamma_stat_SBCR1_bin_3  1.00317 +0.0177477 -0.0177477
gamma_stat_SBCR1_bin_4  1.00257 +0.0200722 -0.0200722
gamma_stat_SBCR1_bin_5  0.992342 +0.0302116 -0.0302116
gamma_stat_SBCR1_bin_6  0.998037 +0.0269819 -0.0269819
gamma_stat_SBCR1_bin_7  1.00366 +0.0349383 -0.0349383
gamma_stat_SBCR2_bin_0  1.01974 +0.0545374 -0.0545374
gamma_stat_SBCR2_bin_1  1.00492 +0.0614024 -0.0614024
gamma_stat_SBCR2_bin_2  1.00569 +0.0513491 -0.0513491
gamma_stat_SBCR2_bin_3  0.987339 +0.0503647 -0.0503647
gamma_stat_SBCR2_bin_4  0.983696 +0.0512108 -0.0512108
gamma_stat_SBCR2_bin_5  1.00158 +0.0509214 -0.0509214
gamma_stat_SBCR2_bin_6  1.02551 +0.0537553 -0.0537553
gamma_stat_SBCR2_bin_7  0.992313 +0.0434365 -0.0434365
gamma_stat_SR1_bin_0  0.999993 +0.00995635 -0.00995635
gamma_stat_SR1_bin_1  0.999994 +0.012779 -0.012779
gamma_stat_SR1_bin_2  0.999992 +0.0131866 -0.0131866
gamma_stat_SR1_bin_3  0.999991 +0.0196945 -0.0196945
