 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_0 | 0.00114427 / -0.00114427 | 0.0105241 / -0.0105241 | 0.0026424 / -0.0026424 | 5.83626e-05 / -5.83626e-05 | 0.000607595 / -0.000607595 | 0.000420842 / -0.000420842 | 0.0048787 / -0.0048787 | 0.00451401 / -0.00451401 | 0.0024059 / -0.0024059 | -0.00231526 / 0.00231526 | -0.00121993 / 0.00121993 |
 | bTagSF_eigenvars_B_1 | 0.000801157 / -0.000801157 | 0.00267485 / -0.00267485 | 0.00096997 / -0.00096997 | -5.76242e-06 / 5.76242e-06 | 0.000130755 / -0.000130755 | -5.03531e-06 / 5.03531e-06 | -0.000737703 / 0.000737703 | -0.00125101 / 0.00125101 | -0.000104181 / 0.000104181 | -0.000324516 / 0.000324516 | 1.97333e-05 / -1.97333e-05 |
 | bTagSF_eigenvars_B_2 | -6.34544e-05 / 6.34544e-05 | -0.00155516 / 0.00155516 | -0.000365595 / 0.000365595 | 4.21235e-06 / -4.21235e-06 | 6.10343e-06 / -6.10343e-06 | 9.05365e-05 / -9.05365e-05 | 0.000930078 / -0.000930078 | 0.0006924 / -0.0006924 | 0.000243624 / -0.000243624 | 0.000246575 / -0.000246575 | 0.00015277 / -0.00015277 |
 | bTagSF_eigenvars_B_3 | -0.000148804 / 0.000148804 | 4.51388e-05 / -4.51388e-05 | -7.40032e-05 / 7.40032e-05 | -1.62529e-06 / 1.62529e-06 | -4.2665e-05 / 4.2665e-05 | -0.000114753 / 0.000114753 | 0.00011898 / -0.00011898 | 0.000343824 / -0.000343824 | -7.61553e-05 / 7.61553e-05 | -0.00019855 / 0.00019855 | -0.000124629 / 0.000124629 |
 | bTagSF_eigenvars_B_4 | 3.15539e-06 / -3.15539e-06 | 4.24488e-06 / -4.24488e-06 | 1.95912e-05 / -1.95912e-05 | 8.48183e-08 / -8.48183e-08 | 2.34544e-06 / -2.34544e-06 | 8.19718e-06 / -8.19718e-06 | -8.96544e-05 / 8.96544e-05 | -0.000218104 / 0.000218104 | -7.71122e-05 / 7.71122e-05 | -3.29143e-05 / 3.29143e-05 | 7.81459e-06 / -7.81459e-06 |
 | bTagSF_eigenvars_B_5 | 5.22263e-06 / -5.22263e-06 | -2.12844e-05 / 2.12844e-05 | 6.43006e-06 / -6.43006e-06 | 4.26623e-08 / -4.26623e-08 | 3.76124e-06 / -3.76124e-06 | 5.39063e-06 / -5.39063e-06 | 7.86236e-06 / -7.86236e-06 | 4.73132e-05 / -4.73132e-05 | 1.76486e-05 / -1.76486e-05 | 4.91164e-06 / -4.91164e-06 | 2.99509e-07 / -2.99509e-07 |
 | bTagSF_eigenvars_B_6 | 2.61239e-07 / -2.61239e-07 | 4.74198e-06 / -4.74198e-06 | -9.81427e-09 / 9.81427e-09 | -2.1674e-08 / 2.1674e-08 | -2.14377e-07 / 2.14377e-07 | -2.91281e-08 / 2.91281e-08 | 4.12429e-06 / -4.12429e-06 | -2.39149e-06 / 2.39149e-06 | 5.53679e-07 / -5.53679e-07 | 1.73414e-07 / -1.73414e-07 | 3.75787e-08 / -3.75787e-08 |
 | bTagSF_eigenvars_B_7 | 3.81314e-08 / -3.81314e-08 | 5.21184e-07 / -5.21184e-07 | -1.98605e-07 / 1.98605e-07 | 4.30204e-09 / -4.30204e-09 | 3.26061e-08 / -3.26061e-08 | -2.37499e-07 / 2.37499e-07 | -2.33825e-07 / 2.33825e-07 | -3.9888e-07 / 3.9888e-07 | -6.92196e-07 / 6.92196e-07 | -1.94615e-07 / 1.94615e-07 | -1.43113e-08 / 1.43113e-08 |
 | bTagSF_eigenvars_B_8 | 2.78165e-09 / -2.78165e-09 | 3.84758e-08 / -3.84758e-08 | -1.24832e-08 / 1.24832e-08 | 4.03257e-10 / -4.03257e-10 | -2.33665e-09 / 2.33665e-09 | -4.55994e-09 / 4.55994e-09 | 3.41403e-08 / -3.41403e-08 | -5.83607e-08 / 5.83607e-08 | -1.93129e-08 / 1.93129e-08 | 1.55707e-08 / -1.55707e-08 | 1.33226e-09 / -1.33226e-09 |
 | bTagSF_eigenvars_C_0 | 0.00200669 / -0.00200669 | 0.000779236 / -0.000779236 | 0.00253991 / -0.00253991 | -2.10274e-07 / 2.10274e-07 | -0.000147971 / 0.000147971 | 0.000744761 / -0.000744761 | 0.000307605 / -0.000307605 | 0.00199713 / -0.00199713 | -0.0103801 / 0.0103801 | 0.000352671 / -0.000352671 | 0.00335647 / -0.00335647 |
 | bTagSF_eigenvars_C_1 | 0.000153084 / -0.000153084 | 5.75947e-05 / -5.75947e-05 | 9.99787e-05 / -9.99787e-05 | 2.13523e-06 / -2.13523e-06 | 0.000132883 / -0.000132883 | 0.000107299 / -0.000107299 | 0.000191736 / -0.000191736 | 0.000496426 / -0.000496426 | 0.00112592 / -0.00112592 | 0.000151296 / -0.000151296 | 0.000173395 / -0.000173395 |
 | bTagSF_eigenvars_C_2 | -0.000152737 / 0.000152737 | -6.13322e-06 / 6.13322e-06 | -7.51721e-05 / 7.51721e-05 | -1.2568e-06 / 1.2568e-06 | 1.47169e-05 / -1.47169e-05 | -5.45384e-06 / 5.45384e-06 | 4.40038e-05 / -4.40038e-05 | 0.000116021 / -0.000116021 | -0.000852017 / 0.000852017 | -8.35741e-05 / 8.35741e-05 | -0.000336839 / 0.000336839 |
 | bTagSF_eigenvars_C_3 | 2.3517e-05 / -2.3517e-05 | -2.80229e-06 / 2.80229e-06 | 2.64437e-05 / -2.64437e-05 | 1.33805e-06 / -1.33805e-06 | -2.15677e-05 / 2.15677e-05 | 4.8478e-06 / -4.8478e-06 | -5.35863e-05 / 5.35863e-05 | -0.000137766 / 0.000137766 | 0.000271773 / -0.000271773 | 4.591e-05 / -4.591e-05 | 3.67334e-05 / -3.67334e-05 |
 | bTagSF_eigenvars_Light_0 | 0.000805539 / -0.000805539 | -0.0002443 / 0.0002443 | 0.000396656 / -0.000396656 | -0.00086956 / 0.00086956 | -5.9744e-05 / 5.9744e-05 | 0.000789831 / -0.000789831 | -0.000303048 / 0.000303048 | 0.00346548 / -0.00346548 | 0.00100497 / -0.00100497 | 0.000436025 / -0.000436025 | 0.000110483 / -0.000110483 |
 | bTagSF_eigenvars_Light_1 | -3.30674e-05 / 3.30674e-05 | 0.000190875 / -0.000190875 | 8.53352e-05 / -8.53352e-05 | 0.000178269 / -0.000178269 | 7.85162e-05 / -7.85162e-05 | 2.89423e-05 / -2.89423e-05 | 5.75922e-05 / -5.75922e-05 | -0.00103794 / 0.00103794 | -0.000442322 / 0.000442322 | 0.000128994 / -0.000128994 | -4.66362e-06 / 4.66362e-06 |
 | bTagSF_eigenvars_Light_2 | -4.57576e-05 / 4.57576e-05 | -0.000114851 / 0.000114851 | -0.000100618 / 0.000100618 | -0.000127592 / 0.000127592 | -6.11231e-05 / 6.11231e-05 | 6.58931e-06 / -6.58931e-06 | 0.000164574 / -0.000164574 | 0.000493804 / -0.000493804 | -2.47244e-05 / 2.47244e-05 | -4.33163e-05 / 4.33163e-05 | -9.17579e-06 / 9.17579e-06 |
 | bTagSF_eigenvars_Light_3 | 1.16975e-05 / -1.16975e-05 | -5.11785e-06 / 5.11785e-06 | 5.6151e-05 / -5.6151e-05 | -4.51827e-07 / 4.51827e-07 | 1.45069e-05 / -1.45069e-05 | 1.23823e-05 / -1.23823e-05 | -9.88133e-05 / 9.88133e-05 | -0.000117691 / 0.000117691 | -6.63614e-05 / 6.63614e-05 | 6.22071e-06 / -6.22071e-06 | 1.42536e-05 / -1.42536e-05 |
 | EG_RESOLUTION_ALL | -0.000222696 / 0.000222713 | -0.00093309 / 0.000933086 | 0.000367793 / -0.000367824 | 5.23229e-05 / -5.22704e-05 | 2.13774e-05 / -2.13445e-05 | -0.000281192 / 0.000281251 | -0.00303175 / 0.00303177 | 8.34499e-09 / 0.023126 | -0.000490544 / 0.000490559 | -0.000552234 / 0.000552276 | -3.98779e-05 / 3.98341e-05 |
 | EG_SCALE_ALL | 0.000289811 / -0.000289794 | -0.00194006 / 0.00194005 | 0.00079843 / -0.000798461 | -6.13882e-05 / 6.1336e-05 | -2.95873e-05 / 2.96202e-05 | -0.000263598 / 0.000263657 | -2.70212e-05 / 2.70406e-05 | 0.023126 / -0.0231259 | -0.000198137 / 0.000198152 | 0.000189817 / -0.000189775 | 0.000141775 / -0.000141819 |
 | GlobalReduction_JET_BJES_Response | 0.0035256 / -0.00352558 | 0.0021637 / -0.0021637 | 0.00389564 / -0.00389567 | -3.02618e-05 / 3.02095e-05 | 0.001258 / -0.00125797 | 0.00421585 / -0.00421587 | -0.00331753 / 0.00331755 | -1.85249e-05 / 1.85416e-05 | -0.000254889 / 0.000254904 | 0.000493203 / -0.00049316 | 0.00178937 / -0.00178941 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00284386 / -0.00284384 | 0.00281601 / -0.00281602 | 0.00334042 / -0.00334045 | 0.000249772 / -0.000249719 | 0.00142487 / -0.00142483 | 0.00333526 / -0.00333528 | -0.000428856 / 0.000428875 | 0.023185 / -0.0231851 | 0.000269378 / -0.000269363 | 0.00174485 / -0.00174481 | 0.00260446 / -0.00260444 |
