 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_2 | -0.00182275 / 0.00182273 | -0.00473314 / 0.00473299 | -0.00360487 / 0.00360478 | 5.75972e-06 / -5.75972e-06 | 0.000739112 / -0.000739116 | 0.000587023 / -0.000587026 | 0.00146865 / -0.00146866 | 0.000635228 / -0.000635231 | -0.000734063 / 0.000734059 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | 0.000263852 / -0.000263853 | 0.00043495 / -0.000434951 | 7.59581e-05 / -7.59581e-05 | -3.11991e-06 / 3.11991e-06 | -0.000153049 / 0.000153049 | 0.000258034 / -0.000258035 | -0.000258252 / 0.000258252 | -7.8712e-05 / 7.8712e-05 | -0.000581044 / 0.000581042 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | 4.00565e-05 / -4.00565e-05 | 0.000211024 / -0.000211025 | 0.000154161 / -0.000154161 | 5.56903e-07 / -5.56903e-07 | 4.76402e-06 / -4.76402e-06 | -5.47613e-05 / 5.47613e-05 | -0.000100933 / 0.000100933 | 0.000138347 / -0.000138347 | 7.37292e-05 / -7.37293e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | -4.11694e-06 / 4.11694e-06 | -1.91623e-05 / 1.91623e-05 | -6.14789e-07 / 6.14789e-07 | -1.25484e-07 / 1.25484e-07 | -4.46636e-06 / 4.46636e-06 | -2.539e-07 / 2.539e-07 | 5.22386e-06 / -5.22386e-06 | -5.49106e-05 / 5.49106e-05 | 1.69627e-05 / -1.69627e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | -3.64747e-07 / 3.64747e-07 | -1.56727e-06 / 1.56727e-06 | -2.34936e-06 / 2.34936e-06 | 1.82289e-08 / -1.82289e-08 | 8.01417e-09 / -8.01417e-09 | 2.20282e-07 / -2.20282e-07 | 8.48633e-08 / -8.48633e-08 | 3.54029e-06 / -3.54029e-06 | -6.65053e-06 / 6.65053e-06 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | 9.66824e-08 / -9.66824e-08 | 4.62621e-07 / -4.62621e-07 | 5.51367e-08 / -5.51367e-08 | -1.4703e-09 / 1.4703e-09 | -2.65103e-08 / 2.65103e-08 | -9.44079e-09 / 9.44079e-09 | 2.33252e-07 / -2.33252e-07 | -3.86232e-08 / 3.86232e-08 | 5.15633e-07 / -5.15633e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_8 | -6.42116e-10 / 6.42116e-10 | -1.69131e-08 / 1.69131e-08 | -6.02639e-09 / 6.02639e-09 | -3.51171e-11 / 3.51173e-11 | 5.24373e-09 / -5.24372e-09 | -5.35725e-09 / 5.35725e-09 | -1.38843e-08 / 1.38843e-08 | -3.94744e-08 / 3.94744e-08 | -4.66021e-08 / 4.66021e-08 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_0 | 0.00291079 / -0.00291072 | 0.000840233 / -0.000840228 | 0.00346902 / -0.00346893 | -0.00693771 / 0.00693803 | -0.0271682 / 0.0271722 | 0.000607322 / -0.00060732 | 0.000262873 / -0.000262873 | -0.0149889 / 0.0149903 | -0.0206138 / 0.0206163 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_1 | 9.01129e-05 / -9.01129e-05 | -2.27729e-05 / 2.27729e-05 | 9.55922e-05 / -9.55923e-05 | 0.000373437 / -0.000373438 | -0.00289543 / 0.00289539 | 7.10824e-05 / -7.10825e-05 | 3.24095e-05 / -3.24095e-05 | -0.000166734 / 0.000166734 | -0.00229993 / 0.00229991 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_2 | -0.000176592 / 0.000176592 | -1.92772e-05 / 1.92772e-05 | -0.000164238 / 0.000164238 | 0.000165802 / -0.000165802 | 0.00120494 / -0.00120495 | -5.46746e-05 / 5.46746e-05 | -7.97552e-06 / 7.97552e-06 | 0.00111599 / -0.001116 | 0.00248184 / -0.00248188 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_3 | 3.83954e-05 / -3.83954e-05 | 9.25218e-06 / -9.25218e-06 | 4.34327e-05 / -4.34327e-05 | -0.000116309 / 0.000116309 | -0.000337935 / 0.000337934 | 1.0247e-05 / -1.0247e-05 | 2.20507e-05 / -2.20507e-05 | -0.000227418 / 0.000227417 | -3.3117e-05 / 3.3117e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_0 | 0.0014251 / -0.00142505 | 0.00111618 / -0.00111615 | 0.000954537 / -0.000954514 | -0.123209 / 0.12342 | -0.00209557 / 0.00209568 | 0.000411936 / -0.000411932 | 0.00168544 / -0.00168537 | -0.00150754 / 0.00150759 | -0.00460553 / 0.00460605 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_1 | -0.000179478 / 0.000179478 | -7.35389e-05 / 7.35388e-05 | 4.73266e-06 / -4.73266e-06 | 0.00722595 / -0.00722625 | 0.000174551 / -0.000174551 | -3.24993e-05 / 3.24993e-05 | -0.000309058 / 0.000309058 | 0.000378108 / -0.000378108 | 0.000398411 / -0.000398412 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_2 | -3.85218e-05 / 3.85218e-05 | -4.02722e-05 / 4.02722e-05 | -8.18458e-05 / 8.18458e-05 | -0.00161266 / 0.00161264 | -5.72611e-05 / 5.7261e-05 | -6.8636e-05 / 6.8636e-05 | 7.86113e-05 / -7.86113e-05 | 1.59481e-05 / -1.59481e-05 | -0.000197595 / 0.000197595 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_3 | 3.50129e-05 / -3.50129e-05 | 4.95083e-06 / -4.95083e-06 | 4.76031e-05 / -4.76031e-05 | -0.00256838 / 0.00256834 | -1.66647e-05 / 1.66647e-05 | 2.52118e-05 / -2.52118e-05 | 3.54379e-06 / -3.54379e-06 | -8.33841e-05 / 8.3384e-05 | -0.000180623 / 0.000180623 | -nan / -nan | -nan / -nan |
 | EG_RESOLUTION_ALL | 0.000145999 / -0.000146061 | -0.00191596 / 0.00191595 | 0.00135563 / -0.00135565 | 0.000648535 / -0.000648539 | 5.18738e-05 / -5.19047e-05 | -1.10655e-05 / 1.10587e-05 | -0.00453584 / 0.00453581 | -0.00383128 / 0.00383125 | 0.00448563 / -0.00448564 | -nan / -nan | -nan / -nan |
 | EG_SCALE_ALL | -0.000698572 / 0.000698582 | 0.0021937 / -0.00219374 | 0.000658822 / -0.000658777 | -0.000713577 / 0.000713571 | 5.98764e-05 / -5.99075e-05 | 0.00035297 / -0.000352977 | 0.00245253 / -0.00245257 | 0.0333953 / -0.033402 | -0.000801541 / 0.000801566 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_BJES_Response | 0.000881713 / -0.000881781 | 0.00603761 / -0.00603789 | 0.000362955 / -0.000362908 | 0.000192519 / -0.000192522 | 0.00432004 / -0.00432011 | 0.00342837 / -0.00342847 | 0.00463138 / -0.00463154 | 0.01683 / -0.0168321 | -0.00114198 / 0.001142 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00377496 / -0.00377519 | 0.00741516 / -0.0074158 | 0.00580535 / -0.00580576 | 0.0175849 / -0.0175884 | 0.0113074 / -0.0113089 | 0.0078133 / -0.00781394 | 0.00703717 / -0.00703775 | 0.0221507 / -0.0221563 | 0.000754256 / -0.000754323 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00205325 / 0.00205325 | -0.00496009 / 0.00496004 | -0.00128414 / 0.00128412 | -0.00541505 / 0.00541499 | -0.00321443 / 0.00321448 | -0.00222166 / 0.00222165 | -0.000345616 / 0.000345616 | -0.00668703 / 0.00668693 | -0.0039657 / 0.00396562 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000972582 / -0.00097257 | 0.000891879 / -0.000891887 | 0.000383454 / -0.000383408 | 0.00207966 / -0.00207967 | 0.00141457 / -0.0014146 | 0.00132795 / -0.00132796 | 0.00128934 / -0.00128934 | 2.54635e-06 / -2.55766e-06 | 0.000616938 / -0.000616998 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000306971 / 0.000306984 | -0.000429266 / 0.000429257 | -0.00015775 / 0.000157734 | -0.000818808 / 0.000818801 | -0.000793166 / 0.000793131 | -0.000619877 / 0.000619868 | -0.000931005 / 0.000931 | 2.328e-06 / -2.33965e-06 | -0.000793934 / 0.00079396 | -nan / -nan | -nan / -nan |
