 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00727267 / 0.00727231 | -0.00673775 / 0.00673744 | -0.00720966 / 0.00720931 | -1.46472e-06 / 1.46472e-06 | -0.00204682 / 0.00204679 | -0.00597843 / 0.00597819 | -0.00605381 / 0.00605357 | -0.00321733 / 0.00321726 | -0.00383109 / 0.00383099 | -0.00663951 / 0.00663921 | -0.00301761 / 0.00301755 |
 | bTagSF_eigenvars_B_2 | 0.00326544 / -0.00326551 | 0.00360504 / -0.00360512 | 0.00377924 / -0.00377934 | 5.15653e-06 / -5.15653e-06 | 0.000904992 / -0.000904998 | 0.00359918 / -0.00359927 | 0.00398451 / -0.00398461 | 0.00284832 / -0.00284837 | 0.00299489 / -0.00299495 | 0.00298175 / -0.00298181 | 0.0020073 / -0.00200732 |
 | bTagSF_eigenvars_B_3 | 0.000588113 / -0.000588115 | 0.000588389 / -0.000588391 | 0.000823217 / -0.000823221 | -6.03582e-06 / 6.03582e-06 | -6.27934e-05 / 6.27934e-05 | 9.36151e-05 / -9.36152e-05 | 0.000300244 / -0.000300245 | -0.000876504 / 0.000876498 | -2.02758e-05 / 2.02758e-05 | 0.000434047 / -0.000434049 | 6.44058e-05 / -6.44058e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119102 / 0.000119102 | -0.000133754 / 0.000133754 | -0.000107922 / 0.000107922 | 2.11933e-06 / -2.11933e-06 | -6.63153e-06 / 6.63153e-06 | -8.87883e-05 / 8.87882e-05 | -0.000150099 / 0.000150099 | -3.84391e-05 / 3.84391e-05 | -0.000333605 / 0.000333604 | -2.82982e-06 / 2.82982e-06 | -8.89663e-05 / 8.89662e-05 |
 | bTagSF_eigenvars_B_5 | -2.76137e-05 / 2.76137e-05 | -1.3327e-05 / 1.3327e-05 | -3.48894e-05 / 3.48894e-05 | -8.06712e-07 / 8.06712e-07 | -6.7915e-06 / 6.7915e-06 | -1.45917e-05 / 1.45917e-05 | -2.58409e-05 / 2.58409e-05 | 1.18858e-05 / -1.18858e-05 | 3.37455e-05 / -3.37455e-05 | -1.43729e-05 / 1.43729e-05 | -9.04665e-07 / 9.04665e-07 |
 | bTagSF_eigenvars_B_6 | 8.66742e-07 / -8.66742e-07 | -3.88311e-07 / 3.88311e-07 | 2.45974e-06 / -2.45974e-06 | 2.0536e-07 / -2.0536e-07 | -1.20961e-07 / 1.20961e-07 | 1.64544e-06 / -1.64544e-06 | 3.0406e-06 / -3.0406e-06 | -5.69439e-07 / 5.69439e-07 | 1.02646e-05 / -1.02646e-05 | -9.22819e-07 / 9.22819e-07 | 1.15653e-06 / -1.15653e-06 |
 | bTagSF_eigenvars_B_7 | -1.51803e-07 / 1.51803e-07 | -1.43928e-07 / 1.43928e-07 | 4.39347e-08 / -4.39347e-08 | -3.23224e-08 / 3.23224e-08 | -5.97802e-08 / 5.97802e-08 | -1.9318e-08 / 1.9318e-08 | 3.62721e-07 / -3.62721e-07 | 2.91157e-07 / -2.91157e-07 | -1.5854e-06 / 1.5854e-06 | -3.7694e-08 / 3.7694e-08 | 1.91125e-07 / -1.91125e-07 |
 | bTagSF_eigenvars_B_8 | 1.95936e-08 / -1.95936e-08 | -8.61556e-09 / 8.61556e-09 | -3.28635e-09 / 3.28635e-09 | -2.70066e-09 / 2.70066e-09 | 8.16215e-09 / -8.16215e-09 | 1.50439e-08 / -1.50439e-08 | 2.24126e-08 / -2.24126e-08 | -7.26665e-09 / 7.26665e-09 | 4.08086e-08 / -4.08086e-08 | 1.04947e-08 / -1.04947e-08 | 2.22532e-08 / -2.22532e-08 |
 | bTagSF_eigenvars_C_0 | -0.00141138 / 0.00141137 | -9.04252e-05 / 9.04252e-05 | -0.000492365 / 0.000492365 | -0.0094232 / 0.00942305 | -0.0292666 / 0.029264 | -0.00135295 / 0.00135295 | -0.000243145 / 0.000243145 | -0.00931618 / 0.00931603 | -0.0147264 / 0.014726 | -0.00290369 / 0.00290368 | -0.0227824 / 0.022781 |
 | bTagSF_eigenvars_C_1 | -0.000246188 / 0.000246188 | 1.08158e-05 / -1.08158e-05 | -0.00026813 / 0.00026813 | 0.000567528 / -0.00056753 | -0.00926269 / 0.0092622 | -0.000325806 / 0.000325806 | -5.8348e-07 / 5.8348e-07 | -0.000236832 / 0.000236832 | -0.00262887 / 0.00262883 | -0.000284798 / 0.000284798 | -0.00357536 / 0.00357529 |
 | bTagSF_eigenvars_C_2 | 4.77043e-05 / -4.77043e-05 | -1.1146e-05 / 1.1146e-05 | -4.69388e-05 / 4.69388e-05 | 0.000114633 / -0.000114633 | 0.00103427 / -0.00103428 | 6.44872e-05 / -6.44872e-05 | 3.8517e-05 / -3.8517e-05 | 0.000979078 / -0.000979084 | 0.000648565 / -0.000648568 | 0.000108077 / -0.000108077 | 0.00295711 / -0.00295717 |
