 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | MU_SF_ID_SYST | 0.00377363 / -0.00377372 | 0.00319463 / -0.0031947 | 0.00282782 / -0.00282788 | 0.00333094 / -0.00333101 | 0.00417463 / -0.00417475 | 0.00357365 / -0.00357374 | 0.00201108 / -0.00201111 | 0.015933 / -0.0159347 | 0.00339783 / -0.0033979 | 0.00500777 / -0.00500794 | 0.00325937 / -0.00325944 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00895765 / -0.00895817 | 0.00897255 / -0.00897308 | 0.00293626 / -0.00293632 | 0.00774753 / -0.00774793 | 0.00784535 / -0.00784575 | 0.00353061 / -0.00353069 | 0.00628851 / -0.00628877 | 0.0630524 / -0.0630779 | 0.00563591 / -0.00563612 | 0.00440818 / -0.00440831 | 0.00374701 / -0.0037471 |
 | MU_SF_Isol_SYST | 0.0196671 / -0.0196698 | 0.0227381 / -0.0227418 | 0.0159514 / -0.0159531 | 0.0171779 / -0.0171799 | 0.0187791 / -0.0187815 | 0.0153679 / -0.0153695 | 0.0191579 / -0.0191605 | 0.138055 / -0.138327 | 0.0188345 / -0.018837 | 0.0132018 / -0.013203 | 0.0158032 / -0.0158049 |
 | MU_SF_TTVA_STAT | 0.00058933 / -0.000589333 | 0.000457881 / -0.000457883 | 0.000477017 / -0.000477019 | 0.0004986 / -0.000498602 | 0.000607437 / -0.000607439 | 0.000523552 / -0.000523554 | 0.000353002 / -0.000353003 | 0.00460274 / -0.00460288 | 0.000524329 / -0.00052433 | 0.000680947 / -0.000680951 | 0.00050743 / -0.000507431 |
 | MU_SF_TTVA_SYST | 0.00074788 / -0.000747884 | 0.000543863 / -0.000543865 | 0.000543422 / -0.000543424 | 0.000814402 / -0.000814407 | 0.000727483 / -0.000727487 | 0.000617371 / -0.000617373 | 0.000441591 / -0.000441592 | 0.00037006 / -0.000370061 | 0.000583081 / -0.000583083 | 0.000861944 / -0.000861949 | 0.000607899 / -0.000607902 |
 | bTagSF_eigenvars_B_0 | -0.0233808 / 0.0233605 | -0.0253243 / 0.0253004 | -0.0224726 / 0.0224538 | 0.00224883 / -0.00224902 | -0.0250141 / 0.0249909 | -0.0289121 / 0.0288811 | -0.0276571 / 0.0276287 | -0.182449 / 0.181266 | -0.00146216 / 0.00146208 | -0.016218 / 0.0162082 | -0.0173905 / 0.0173792 |
 | bTagSF_eigenvars_B_1 | -0.00986419 / 0.00986353 | -0.0102447 / 0.010244 | -0.00946028 / 0.00945967 | -0.000252081 / 0.00025208 | -0.00628267 / 0.0062824 | -0.0102046 / 0.0102039 | -0.0111164 / 0.0111156 | 0.0124821 / -0.0124831 | 0.000346701 / -0.000346701 | -0.00605734 / 0.00605709 | -0.00502639 / 0.00502622 |
 | bTagSF_eigenvars_B_2 | 0.00571802 / -0.00571824 | 0.00627303 / -0.0062733 | 0.00582775 / -0.00582798 | 0.000208176 / -0.000208176 | 0.00382304 / -0.00382314 | 0.00573814 / -0.00573836 | 0.00654281 / -0.0065431 | 0.00795918 / -0.00795961 | -8.64373e-07 / 8.64373e-07 | 0.00282204 / -0.00282209 | 0.00375454 / -0.00375463 |
 | bTagSF_eigenvars_B_3 | -3.55747e-05 / 3.55746e-05 | 6.94e-05 / -6.94e-05 | 2.59585e-05 / -2.59585e-05 | -0.000102743 / 0.000102743 | -0.000829746 / 0.000829741 | -0.000298032 / 0.000298031 | -3.69593e-05 / 3.69593e-05 | -0.0270767 / 0.0270718 | -8.59011e-05 / 8.5901e-05 | -3.07161e-05 / 3.07161e-05 | -0.000181637 / 0.000181637 |
