 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | -2.97246e-05 / 2.97246e-05 | -7.63043e-06 / 7.63043e-06 | -0.000150107 / 0.000150107 | 0.000326102 / -0.000326103 | 0.00103458 / -0.00103458 | 3.89856e-06 / -3.89856e-06 | -1.63046e-05 / 1.63046e-05 | 0.000385636 / -0.000385637 | 4.90664e-05 / -4.90664e-05 | 4.2311e-05 / -4.2311e-05 | 0.000225989 / -0.000225989 |
 | bTagSF_eigenvars_C_3 | 1.40669e-05 / -1.40669e-05 | -5.14436e-08 / 5.14436e-08 | 3.04383e-05 / -3.04383e-05 | -3.00808e-05 / 3.00808e-05 | -0.000370996 / 0.000370995 | -5.93887e-06 / 5.93887e-06 | 5.81697e-06 / -5.81697e-06 | 2.90533e-05 / -2.90533e-05 | -0.000102048 / 0.000102048 | 1.97668e-05 / -1.97668e-05 | -0.000258223 / 0.000258222 |
 | bTagSF_eigenvars_Light_0 | 0.000264127 / -0.000264125 | 0.000754525 / -0.000754512 | 0.000948762 / -0.000948742 | -0.121978 / 0.122155 | -0.00190975 / 0.00190983 | -0.000991393 / 0.000991416 | 0.000310286 / -0.000310284 | -0.0121386 / 0.0121418 | -0.00630723 / 0.00630811 | 0.00195245 / -0.00195237 | -0.000494455 / 0.000494461 |
 | bTagSF_eigenvars_Light_1 | 0.000113412 / -0.000113413 | -0.000124722 / 0.000124722 | -1.68258e-05 / 1.68258e-05 | 0.00456115 / -0.00456129 | 0.000176082 / -0.000176082 | 0.000413178 / -0.000413179 | -4.21189e-05 / 4.21188e-05 | 0.0019978 / -0.00199783 | 0.000418964 / -0.000418965 | 5.54235e-05 / -5.54235e-05 | 0.000193766 / -0.000193767 |
 | bTagSF_eigenvars_Light_2 | -5.6524e-05 / 5.6524e-05 | 4.78038e-05 / -4.78038e-05 | -2.97901e-05 / 2.97901e-05 | -0.00690594 / 0.0069056 | -0.000317071 / 0.00031707 | -0.000148484 / 0.000148484 | 4.8656e-05 / -4.8656e-05 | 0.00106275 / -0.00106276 | -1.36098e-05 / 1.36098e-05 | -7.02792e-07 / 7.02792e-07 | 7.69158e-06 / -7.69158e-06 |
 | bTagSF_eigenvars_Light_3 | 2.53148e-05 / -2.53148e-05 | -3.65838e-06 / 3.65838e-06 | 3.48214e-05 / -3.48214e-05 | -0.00396908 / 0.00396898 | 1.34681e-05 / -1.34681e-05 | 5.59152e-05 / -5.59153e-05 | -3.89469e-06 / 3.89469e-06 | -0.000675614 / 0.000675611 | -0.000160571 / 0.000160571 | -7.51664e-05 / 7.51664e-05 | -3.66774e-05 / 3.66773e-05 |
 | EG_RESOLUTION_ALL | -0.00113358 / 0.00113358 | 0.00022751 / -0.000227562 | -0.000151708 / 0.000151699 | 0.00353215 / -0.0035322 | -0.00213423 / 0.00213424 | -0.00456213 / 0.00456214 | 0.000364147 / -0.000364128 | 0.000780775 / -0.000780757 | -0.00188735 / 0.00188731 | -0.000372972 / 0.000372974 | 0.000122134 / -0.000122131 |
 | EG_SCALE_ALL | -0.000810377 / 0.000810386 | -6.26376e-05 / 6.26603e-05 | 0.00115571 / -0.00115573 | -0.000152502 / 0.000152479 | -0.000765114 / 0.000765133 | 0.000532406 / -0.000532429 | 0.00419941 / -0.00419954 | 0.00102675 / -0.00102674 | 0.00117726 / -0.00117723 | 0.00341123 / -0.00341131 | -9.24848e-05 / 9.24873e-05 |
 | GlobalReduction_JET_BJES_Response | 0.000331051 / -0.000331045 | -0.00230703 / 0.00230705 | -0.00278014 / 0.00278007 | 2.57578e-08 / 2.64518e-08 | 0.0129493 / -0.0129505 | 0.00158837 / -0.00158841 | 0.00186983 / -0.00186985 | 1.51332e-05 / -1.5114e-05 | -0.00255619 / 0.00255611 | 0.00319611 / -0.00319619 | 0.015311 / -0.0153128 |
 | GlobalReduction_JET_EffectiveNP_1 | -0.00129126 / 0.00129123 | -0.00109703 / 0.00109703 | -0.00164192 / 0.00164187 | 0.0367811 / -0.0368024 | 0.0122395 / -0.012242 | 0.00126347 / -0.00126345 | 0.00131823 / -0.00131832 | 0.000610322 / -0.00061037 | 0.000902028 / -0.000901995 | 0.00240969 / -0.00240979 | 0.0152202 / -0.0152239 |
