 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00319413 / 0.00319393 | -0.00119497 / 0.00119495 | -0.00415367 / 0.00415334 | 0.00434006 / -0.00434042 | -0.000882722 / 0.000882707 | -0.00144592 / 0.00144588 | -0.00302075 / 0.00302057 | -0.00143939 / 0.00143935 | 0.0255611 / -0.025573 | 0.00329885 / -0.00329906 | -0.00354408 / 0.00354384 |
 | jvt | 0.00215855 / -0.00215858 | 0.00253917 / -0.00253922 | 0.00068581 / -0.000685813 | 0.00322692 / -0.00322699 | 0.00346459 / -0.00346467 | 0.00248874 / -0.00248878 | 0.00310849 / -0.00310855 | 0.00554718 / -0.00554739 | 0.00393421 / -0.00393431 | 0.0035494 / -0.00354949 | 0.00297417 / -0.00297423 |
 | EL_SF_Trigger | 0.000134855 / -0.000134855 | 0.000186276 / -0.000186276 | 0.00018912 / -0.00018912 | 0.000164836 / -0.000164836 | 0.000159921 / -0.000159921 | 0.00016741 / -0.00016741 | 0.000310245 / -0.000310246 | 0.000263634 / -0.000263635 | 9.57258e-05 / -9.57259e-05 | 0.000143618 / -0.000143618 | 0.000150522 / -0.000150522 |
 | EL_SF_Reco | 0.00240686 / -0.0024069 | 0.00238763 / -0.00238767 | 0.0026685 / -0.00266855 | 0.00250496 / -0.002505 | 0.00238718 / -0.00238722 | 0.0024318 / -0.00243184 | 0.00437064 / -0.00437077 | 0.00439255 / -0.00439268 | 0.00276096 / -0.00276101 | 0.00287206 / -0.00287211 | 0.00246727 / -0.00246731 |
 | EL_SF_ID | 0.0132611 / -0.0132637 | 0.0145946 / -0.0145977 | 0.0150059 / -0.0150092 | 0.0134522 / -0.0134548 | 0.0133127 / -0.0133152 | 0.0139124 / -0.0139152 | 0.0256645 / -0.0256742 | 0.0351721 / -0.0351905 | 0.0118755 / -0.0118776 | 0.0158485 / -0.0158521 | 0.0126943 / -0.0126967 |
 | EL_SF_Isol | 0.0191036 / -0.01911 | 0.0178249 / -0.0178305 | 0.0182757 / -0.0182816 | 0.0169074 / -0.0169125 | 0.016552 / -0.0165569 | 0.0176397 / -0.0176452 | 0.0183351 / -0.0183411 | 0.0188084 / -0.0188147 | 0.0132373 / -0.0132404 | 0.0188698 / -0.0188761 | 0.0178348 / -0.0178404 |
 | MU_SF_Trigger_STAT | 0.000236209 / -0.000236209 | 0.000242694 / -0.000242694 | 0.00027686 / -0.00027686 | 0.000229581 / -0.000229582 | 0.000244388 / -0.000244389 | 0.00025617 / -0.000256171 | 0.000363078 / -0.000363079 | 0.000518296 / -0.000518297 | 0.00013272 / -0.00013272 | 0.000275969 / -0.00027597 | 0.00026108 / -0.00026108 |
 | MU_SF_Trigger_SYST | -0.000526366 / 0.000526364 | -0.000632447 / 0.000632444 | -0.000655281 / 0.000655278 | -0.000521055 / 0.000521053 | -0.000540742 / 0.00054074 | -0.000630474 / 0.000630471 | -0.000900643 / 0.000900637 | -0.00186046 / 0.00186044 | -0.000421686 / 0.000421684 | -0.00062693 / 0.000626927 | -0.000591553 / 0.000591551 |
 | MU_SF_ID_STAT | 0.000903421 / -0.000903426 | 0.0009337 / -0.000933706 | 0.000897792 / -0.000897797 | 0.000866219 / -0.000866224 | 0.000898146 / -0.000898151 | 0.000892847 / -0.000892853 | 0.000773335 / -0.000773339 | 0.000901617 / -0.000901622 | 0.000631107 / -0.00063111 | 0.000899478 / -0.000899483 | 0.000907693 / -0.000907699 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
