 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_C_2 | -0.000126214 / 0.000126214 | -1.13887e-05 / 1.13887e-05 | -0.000114655 / 0.000114655 | 0.000169728 / -0.000169728 | 0.00125838 / -0.00125838 | -4.49066e-05 / 4.49066e-05 | 1.52977e-06 / -1.52977e-06 | 0.00129594 / -0.00129594 | 0.00267493 / -0.00267493 | -8.33265e-05 / 8.33265e-05 | -0.000588368 / 0.000588368 |
 | bTagSF_eigenvars_C_3 | 3.82359e-05 / -3.82359e-05 | 6.38851e-06 / -6.38851e-06 | 3.79933e-05 / -3.79933e-05 | -0.000120227 / 0.000120227 | -0.000339205 / 0.000339205 | 1.11947e-05 / -1.11947e-05 | 2.87335e-05 / -2.87335e-05 | -0.000261614 / 0.000261614 | -2.42382e-05 / 2.42382e-05 | 5.48917e-05 / -5.48917e-05 | 6.86903e-05 / -6.86903e-05 |
 | bTagSF_eigenvars_Light_0 | 0.00146424 / -0.00146424 | 0.000779381 / -0.000779381 | 0.000998667 / -0.000998667 | -0.126257 / 0.126257 | -0.00176488 / 0.00176488 | 0.000501 / -0.000501 | 0.00172147 / -0.00172147 | 0.00182066 / -0.00182066 | -0.00451759 / 0.00451759 | 0.000831366 / -0.000831366 | 0.00053685 / -0.00053685 |
 | bTagSF_eigenvars_Light_1 | -0.000193468 / 0.000193468 | 2.99543e-05 / -2.99543e-05 | -1.96501e-05 / 1.96501e-05 | 0.00730178 / -0.00730178 | 0.000173148 / -0.000173148 | -2.10424e-05 / 2.10424e-05 | -0.000319783 / 0.000319783 | -0.00041339 / 0.00041339 | 0.000369296 / -0.000369296 | -0.000161648 / 0.000161648 | -0.000123223 / 0.000123223 |
 | bTagSF_eigenvars_Light_2 | -3.81547e-05 / 3.81547e-05 | -7.58159e-05 / 7.58159e-05 | -7.18922e-05 / 7.18922e-05 | -0.00161245 / 0.00161245 | -6.15757e-05 / 6.15757e-05 | -6.07177e-05 / 6.07177e-05 | 8.05802e-05 / -8.05802e-05 | 5.3927e-05 / -5.3927e-05 | -0.000188038 / 0.000188038 | 5.1779e-05 / -5.1779e-05 | 1.06431e-05 / -1.06431e-05 |
 | bTagSF_eigenvars_Light_3 | 3.22375e-05 / -3.22375e-05 | 9.33477e-06 / -9.33477e-06 | 4.18926e-05 / -4.18926e-05 | -0.00254563 / 0.00254563 | -7.47965e-06 / 7.47965e-06 | 2.61072e-05 / -2.61072e-05 | 1.85634e-06 / -1.85634e-06 | 1.1578e-05 / -1.1578e-05 | -0.000172154 / 0.000172154 | 1.17651e-05 / -1.17651e-05 | 1.05759e-05 / -1.05759e-05 |
 | EG_RESOLUTION_ALL | -1.25958e-05 / 1.25861e-05 | -0.00137545 / 0.00137547 | 0.00155723 / -0.00155718 | 0.000596313 / -0.000596346 | 1.91455e-05 / -1.91281e-05 | -0.00016229 / 0.000162297 | -0.00437664 / 0.00437659 | -0.00420101 / 0.00420102 | 0.00437951 / -0.00437952 | 0.00220793 / -0.00220797 | -0.000273501 / 0.000273444 |
 | EG_SCALE_ALL | -0.000627921 / 0.000627912 | 0.00279066 / -0.00279064 | 0.000882472 / -0.000882503 | -0.000673316 / 0.00067335 | 0.000133966 / -0.000133949 | 0.000655406 / -0.000655399 | 0.00388236 / -0.0038824 | 0.0365689 / -0.0365689 | 0.0695264 / -0.0695263 | 0.00057053 / -0.000570499 | 0.000738771 / -0.000738762 |
 | GlobalReduction_JET_BJES_Response | 0.00017038 / -0.00017039 | 0.00629242 / -0.00629239 | -0.000318202 / 0.000318171 | 0.000160782 / -0.000160748 | 0.00410704 / -0.00410702 | 0.00312546 / -0.00312545 | 0.00318196 / -0.00318191 | 0.0183765 / -0.0183765 | -0.000489324 / 0.000489309 | 0.00219268 / -0.00219265 | 0.00371602 / -0.00371601 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00373026 / -0.00373027 | 0.00809567 / -0.00809565 | 0.00568579 / -0.00568583 | 0.0175591 / -0.0175591 | 0.0110733 / -0.0110732 | 0.00833769 / -0.00833769 | 0.00663105 / -0.006631 | 0.0243406 / -0.0243406 | 0.069974 / -0.069974 | 0.0148239 / -0.0148238 | 0.00846983 / -0.00846982 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00209717 / 0.00209716 | -0.00413239 / 0.00413241 | -0.00155952 / 0.00155949 | -0.00558742 / 0.00558745 | -0.00319316 / 0.00319307 | -0.00232931 / 0.00232932 | -0.000363792 / 0.000363843 | -0.00735792 / 0.00735793 | -0.00391749 / 0.00391748 | -0.00330568 / 0.00330564 | -0.00272773 / 0.00272774 |
