 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00727264 / 0.00727229 | -0.00673773 / 0.00673742 | -0.00720963 / 0.00720928 | -1.46507e-06 / 1.46507e-06 | -0.0020468 / 0.00204677 | -0.00597839 / 0.00597815 | -0.00605378 / 0.00605353 | -0.00321729 / 0.00321722 | -0.00383106 / 0.00383096 | -0.00663947 / 0.00663917 | -0.00301761 / 0.00301754 |
 | bTagSF_eigenvars_B_2 | 0.00326544 / -0.00326551 | 0.00360503 / -0.00360512 | 0.00377924 / -0.00377933 | 5.15689e-06 / -5.15689e-06 | 0.000904995 / -0.000905 | 0.00359918 / -0.00359927 | 0.0039845 / -0.00398461 | 0.00284831 / -0.00284837 | 0.00299487 / -0.00299493 | 0.00298175 / -0.00298181 | 0.0020073 / -0.00200733 |
 | bTagSF_eigenvars_B_3 | 0.000588109 / -0.000588111 | 0.000588384 / -0.000588386 | 0.000823217 / -0.000823221 | -6.03606e-06 / 6.03606e-06 | -6.27959e-05 / 6.27958e-05 | 9.36038e-05 / -9.36039e-05 | 0.000300236 / -0.000300236 | -0.000876511 / 0.000876506 | -2.02746e-05 / 2.02746e-05 | 0.000434037 / -0.000434038 | 6.44e-05 / -6.44001e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119101 / 0.000119101 | -0.000133753 / 0.000133753 | -0.000107921 / 0.000107921 | 2.11939e-06 / -2.11939e-06 | -6.63098e-06 / 6.63098e-06 | -8.87869e-05 / 8.87868e-05 | -0.000150098 / 0.000150097 | -3.84358e-05 / 3.84357e-05 | -0.000333602 / 0.000333601 | -2.82938e-06 / 2.82938e-06 | -8.89652e-05 / 8.89651e-05 |
 | bTagSF_eigenvars_B_5 | -2.76138e-05 / 2.76138e-05 | -1.33271e-05 / 1.33271e-05 | -3.48896e-05 / 3.48896e-05 | -8.06729e-07 / 8.06729e-07 | -6.79162e-06 / 6.79162e-06 | -1.45917e-05 / 1.45917e-05 | -2.58408e-05 / 2.58408e-05 | 1.18853e-05 / -1.18853e-05 | 3.37448e-05 / -3.37448e-05 | -1.4373e-05 / 1.4373e-05 | -9.04859e-07 / 9.04859e-07 |
 | bTagSF_eigenvars_B_6 | 8.66768e-07 / -8.66768e-07 | -3.88368e-07 / 3.88368e-07 | 2.45971e-06 / -2.45971e-06 | 2.05364e-07 / -2.05364e-07 | -1.2094e-07 / 1.2094e-07 | 1.64545e-06 / -1.64545e-06 | 3.04052e-06 / -3.04052e-06 | -5.69542e-07 / 5.69542e-07 | 1.02645e-05 / -1.02645e-05 | -9.22809e-07 / 9.22809e-07 | 1.15652e-06 / -1.15652e-06 |
 | bTagSF_eigenvars_B_7 | -1.51799e-07 / 1.51799e-07 | -1.43922e-07 / 1.43922e-07 | 4.39366e-08 / -4.39366e-08 | -3.23229e-08 / 3.23229e-08 | -5.97799e-08 / 5.97799e-08 | -1.93156e-08 / 1.93156e-08 | 3.62728e-07 / -3.62728e-07 | 2.91169e-07 / -2.91169e-07 | -1.58537e-06 / 1.58537e-06 | -3.76913e-08 / 3.76913e-08 | 1.91127e-07 / -1.91127e-07 |
 | bTagSF_eigenvars_B_8 | 1.95935e-08 / -1.95935e-08 | -8.6155e-09 / 8.6155e-09 | -3.28652e-09 / 3.28652e-09 | -2.7007e-09 / 2.7007e-09 | 8.16211e-09 / -8.16211e-09 | 1.50441e-08 / -1.50441e-08 | 2.24126e-08 / -2.24126e-08 | -7.26699e-09 / 7.26699e-09 | 4.08083e-08 / -4.08083e-08 | 1.04946e-08 / -1.04946e-08 | 2.22533e-08 / -2.22533e-08 |
 | bTagSF_eigenvars_C_0 | -0.0014114 / 0.0014114 | -9.04268e-05 / 9.04267e-05 | -0.000492391 / 0.00049239 | -0.00942343 / 0.00942333 | -0.0292666 / 0.0292644 | -0.00135298 / 0.00135298 | -0.000243148 / 0.000243148 | -0.00931632 / 0.00931622 | -0.0147267 / 0.0147264 | -0.00290376 / 0.00290375 | -0.0227824 / 0.0227813 |
 | bTagSF_eigenvars_C_1 | -0.000246191 / 0.00024619 | 1.08159e-05 / -1.08159e-05 | -0.000268138 / 0.000268137 | 0.000567551 / -0.000567553 | -0.00926281 / 0.00926232 | -0.000325811 / 0.00032581 | -5.83484e-07 / 5.83484e-07 | -0.000236821 / 0.00023682 | -0.00262891 / 0.00262887 | -0.0002848 / 0.000284799 | -0.00357545 / 0.00357538 |
