 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00727144 / 0.00727109 | -0.00673657 / 0.00673627 | -0.00720827 / 0.00720792 | -1.47516e-06 / 1.47516e-06 | -0.00204623 / 0.0020462 | -0.00597695 / 0.00597671 | -0.00605231 / 0.00605207 | -0.00321601 / 0.00321594 | -0.00383056 / 0.00383046 | -0.00663779 / 0.0066375 | -0.00301689 / 0.00301683 |
 | bTagSF_eigenvars_B_2 | 0.00326563 / -0.00326571 | 0.00360488 / -0.00360497 | 0.00377895 / -0.00377905 | 5.16728e-06 / -5.16728e-06 | 0.000905083 / -0.000905089 | 0.00359918 / -0.00359927 | 0.00398445 / -0.00398456 | 0.00284852 / -0.00284857 | 0.0029949 / -0.00299496 | 0.00298173 / -0.00298179 | 0.00200732 / -0.00200735 |
 | bTagSF_eigenvars_B_3 | 0.000587938 / -0.00058794 | 0.000588344 / -0.000588346 | 0.000823411 / -0.000823416 | -6.04301e-06 / 6.04301e-06 | -6.28719e-05 / 6.28718e-05 | 9.33248e-05 / -9.33248e-05 | 0.000300096 / -0.000300097 | -0.000876826 / 0.000876821 | -2.01674e-05 / 2.01674e-05 | 0.000433644 / -0.000433646 | 6.42071e-05 / -6.42071e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119073 / 0.000119073 | -0.000133752 / 0.000133752 | -0.000107923 / 0.000107923 | 2.12105e-06 / -2.12105e-06 | -6.62186e-06 / 6.62186e-06 | -8.87616e-05 / 8.87616e-05 | -0.000150125 / 0.000150125 | -3.83178e-05 / 3.83178e-05 | -0.000333594 / 0.000333593 | -2.8031e-06 / 2.8031e-06 | -8.89579e-05 / 8.89578e-05 |
 | bTagSF_eigenvars_B_5 | -2.76163e-05 / 2.76163e-05 | -1.33279e-05 / 1.33279e-05 | -3.48968e-05 / 3.48968e-05 | -8.07232e-07 / 8.07232e-07 | -6.7939e-06 / 6.7939e-06 | -1.4589e-05 / 1.4589e-05 | -2.58318e-05 / 2.58318e-05 | 1.18718e-05 / -1.18718e-05 | 3.37379e-05 / -3.37379e-05 | -1.43683e-05 / 1.43683e-05 | -9.08906e-07 / 9.08906e-07 |
 | bTagSF_eigenvars_B_6 | 8.67301e-07 / -8.67301e-07 | -3.89286e-07 / 3.89286e-07 | 2.4586e-06 / -2.4586e-06 | 2.05471e-07 / -2.05471e-07 | -1.20453e-07 / 1.20453e-07 | 1.64544e-06 / -1.64544e-06 | 3.03875e-06 / -3.03875e-06 | -5.73235e-07 / 5.73235e-07 | 1.02642e-05 / -1.02642e-05 | -9.22418e-07 / 9.22418e-07 | 1.15792e-06 / -1.15792e-06 |
 | bTagSF_eigenvars_B_7 | -1.51725e-07 / 1.51725e-07 | -1.43724e-07 / 1.43724e-07 | 4.41136e-08 / -4.41136e-08 | -3.23376e-08 / 3.23376e-08 | -5.9767e-08 / 5.9767e-08 | -1.93021e-08 / 1.93021e-08 | 3.62799e-07 / -3.62799e-07 | 2.91624e-07 / -2.91624e-07 | -1.58519e-06 / 1.58519e-06 | -3.77047e-08 / 3.77047e-08 | 1.91084e-07 / -1.91084e-07 |
 | bTagSF_eigenvars_B_8 | 1.96027e-08 / -1.96027e-08 | -8.61042e-09 / 8.61042e-09 | -3.27618e-09 / 3.27618e-09 | -2.70186e-09 / 2.70186e-09 | 8.16131e-09 / -8.16131e-09 | 1.50471e-08 / -1.50471e-08 | 2.23939e-08 / -2.23939e-08 | -7.25522e-09 / 7.25522e-09 | 4.08067e-08 / -4.08067e-08 | 1.04961e-08 / -1.04961e-08 | 2.22656e-08 / -2.22656e-08 |
 | bTagSF_eigenvars_C_0 | -0.00143291 / 0.00143301 | -9.12883e-05 / 9.12887e-05 | -0.000500088 / 0.000500101 | -0.00957658 / 0.00958148 | -0.0298073 / 0.0298567 | -0.00137364 / 0.00137374 | -0.000246791 / 0.000246795 | -0.00946339 / 0.00946817 | -0.0149717 / 0.0149839 | -0.00294829 / 0.00294875 | -0.0231856 / 0.0232151 |
 | bTagSF_eigenvars_C_1 | -0.000246187 / 0.000246187 | 1.07655e-05 / -1.07655e-05 | -0.000268271 / 0.00026827 | 0.000567995 / -0.000567997 | -0.00925994 / 0.00925945 | -0.000325909 / 0.000325909 | -5.83721e-07 / 5.83721e-07 | -0.000236034 / 0.000236034 | -0.00262794 / 0.0026279 | -0.000284673 / 0.000284673 | -0.00357696 / 0.00357689 |
 | bTagSF_eigenvars_C_2 | 4.77001e-05 / -4.77001e-05 | -1.1104e-05 / 1.1104e-05 | -4.69862e-05 / 4.69861e-05 | 0.000114611 / -0.000114611 | 0.00103484 / -0.00103485 | 6.45416e-05 / -6.45416e-05 | 3.85225e-05 / -3.85225e-05 | 0.000978594 / -0.0009786 | 0.0006486 / -0.000648603 | 0.000108067 / -0.000108067 | 0.00295717 / -0.00295723 |
 | bTagSF_eigenvars_C_3 | 4.64796e-06 / -4.64797e-06 | 5.31893e-06 / -5.31893e-06 | -3.91768e-05 / 3.91767e-05 | -0.000143699 / 0.000143699 | -0.000169548 / 0.000169548 | 7.81459e-06 / -7.81459e-06 | -6.80801e-06 / 6.80801e-06 | -0.000127095 / 0.000127095 | -0.000218732 / 0.000218732 | -2.15486e-05 / 2.15486e-05 | 0.000154107 / -0.000154108 |
 | bTagSF_eigenvars_Light_0 | -0.000164123 / 0.000164124 | -0.000290841 / 0.000290842 | -0.000241236 / 0.000241237 | -0.119374 / 0.119484 | -7.31824e-05 / 7.31825e-05 | -0.00176136 / 0.00176141 | -0.00155263 / 0.00155268 | -0.00332579 / 0.00332599 | -0.00925326 / 0.00925473 | -6.75474e-05 / 6.75475e-05 | -0.00108068 / 0.0010807 |
 | bTagSF_eigenvars_Light_1 | 7.61993e-05 / -7.61993e-05 | 7.91804e-05 / -7.91804e-05 | 4.54711e-05 / -4.54711e-05 | -0.00844938 / 0.00844927 | 3.06703e-05 / -3.06703e-05 | 7.63579e-05 / -7.63579e-05 | 0.000351185 / -0.000351185 | 0.000886144 / -0.000886145 | -0.000483137 / 0.000483137 | -3.81885e-05 / 3.81885e-05 | 0.000171198 / -0.000171198 |
 | bTagSF_eigenvars_Light_2 | -8.63319e-06 / 8.63319e-06 | -1.52478e-05 / 1.52478e-05 | -9.56374e-06 / 9.56374e-06 | -0.0046349 / 0.00463475 | -1.85907e-05 / 1.85907e-05 | 2.55539e-05 / -2.55539e-05 | 1.193e-05 / -1.193e-05 | -0.000142037 / 0.000142037 | -0.000736151 / 0.000736147 | -1.45832e-05 / 1.45832e-05 | -0.000133459 / 0.000133459 |
 | bTagSF_eigenvars_Light_3 | 7.72388e-06 / -7.72388e-06 | -3.29493e-06 / 3.29493e-06 | 9.19317e-06 / -9.19317e-06 | -0.00180246 / 0.00180244 | 6.53588e-06 / -6.53588e-06 | 6.6526e-07 / -6.6526e-07 | -6.01765e-05 / 6.01765e-05 | -5.80044e-05 / 5.80044e-05 | -0.000385781 / 0.00038578 | 1.11119e-05 / -1.11119e-05 | 2.8659e-05 / -2.8659e-05 |
 | EG_RESOLUTION_ALL | 0.00194897 / -0.00194888 | 0.00100338 / -0.00100339 | 0.00324556 / -0.00324556 | 0.00097718 / -0.000977167 | -0.000661544 / 0.000661561 | -0.00370286 / 0.00370302 | 0.00748382 / -0.0074831 | 0.0422561 / -0.0422393 | -0.0839383 / 0.0840628 | 0.0013023 / -0.00130229 | 0.00400535 / -0.00400518 |
 | EG_SCALE_ALL | 0.00248062 / -0.0024807 | -0.000649379 / 0.000649341 | 0.00362638 / -0.00362625 | 0.00126504 / -0.00126516 | -0.00201123 / 0.00201115 | 0.00444996 / -0.00444986 | -0.00143143 / 0.00143141 | -0.0239543 / 0.0239564 | 0.267893 / -0.0750743 | -0.0111629 / 0.0111634 | -0.0142018 / 0.0142026 |
 | GlobalReduction_JET_BJES_Response | -0.0145461 / 0.014545 | -0.0228103 / 0.0228075 | -0.00387692 / 0.00387683 | -0.000607825 / 0.000607828 | 0.00110355 / -0.00110354 | -9.78915e-05 / 9.76226e-05 | -0.0159084 / 0.015907 | -0.0220222 / 0.0220196 | -0.0161986 / 0.0161972 | 0.00420516 / -0.0042052 | -0.0153947 / 0.0153934 |
 | GlobalReduction_JET_EffectiveNP_1 | -0.0213752 / 0.0213993 | -0.0202653 / 0.0202872 | -0.0275467 / 0.0275864 | 0.0117209 / -0.011713 | -0.0113481 / 0.0113551 | 0.000329897 / -0.000329787 | 0.00138623 / -0.00138616 | 0.0134216 / -0.0134114 | -0.0565732 / 0.056732 | -0.00242719 / 0.00242745 | -0.0207372 / 0.0207601 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.00834017 / -0.00834068 | 0.00934048 / -0.00934121 | 0.0116997 / -0.0117008 | -0.00561378 / 0.00561383 | 0.00465034 / -0.00465052 | 0.00158528 / -0.0015853 | -0.00601925 / 0.00601901 | -0.0729707 / 0.0729101 | -0.0742691 / 0.074206 | 0.0104732 / -0.0104742 | 0.0161963 / -0.0161984 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.00257792 / 0.00257808 | -0.00669607 / 0.00669744 | -0.00199726 / 0.00199735 | 0.00113213 / -0.00113206 | -0.00587846 / 0.00587947 | -0.00124166 / 0.00124169 | -0.00686149 / 0.00686295 | -0.083209 / 0.0833733 | 0.338196 / -0.0342333 | 0.00540204 / -0.00540115 | -0.0129267 / 0.0129319 |
 | GlobalReduction_JET_EffectiveNP_4 | 0.00178423 / -0.00178416 | -0.00163258 / 0.00163254 | 0.00286417 / -0.00286418 | -0.000135436 / 0.00013521 | 0.00339354 / -0.00339348 | 0.00652877 / -0.00652845 | -0.00246325 / 0.00246324 | -0.0465344 / 0.0465368 | 0.359515 / -0.035799 | 0.0070301 / -0.00702993 | -0.000634654 / 0.000634642 |
 | GlobalReduction_JET_EffectiveNP_5 | 0.00151663 / -0.00151658 | -0.00213772 / 0.00213774 | -0.00195592 / 0.00195587 | -0.00769051 / 0.00769004 | 0.000997325 / -0.000997309 | -0.00283155 / 0.00283148 | -0.00739241 / 0.00739202 | -0.00500897 / 0.00500875 | -0.0790512 / 0.0789977 | 0.00472813 / -0.00472837 | 0.00713239 / -0.00713284 |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000925196 / 0.000925155 | 0.00299062 / -0.00299056 | 0.000641909 / -0.00064193 | -0.00644365 / 0.00644404 | 0.000400579 / -0.000400548 | 0.0012675 / -0.00126745 | 0.0147292 / -0.0147271 | -0.0659611 / 0.0659822 | 0.00237484 / -0.00237476 | -0.00546522 / 0.00546558 | 0.00504027 / -0.00503998 |
 | GlobalReduction_JET_EffectiveNP_7 | -0.00203684 / 0.00203686 | 0.0024446 / -0.00244467 | -0.00275236 / 0.00275229 | -0.00976995 / 0.00976936 | -0.00237285 / 0.00237284 | 0.00385484 / -0.00385494 | -0.00327943 / 0.00327943 | 0.0193551 / -0.0193576 | -0.000673798 / 0.000673823 | 0.0110347 / -0.0110354 | -0.0017439 / 0.00174387 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | -0.00325524 / 0.00325523 | -0.000724623 / 0.000724596 | 0.000901875 / -0.000901802 | 0.0019885 / -0.0019885 | -0.0020506 / 0.00205054 | -0.00278682 / 0.00278677 | -0.0123242 / 0.0123249 | -0.0478914 / 0.0478952 | -0.00181696 / 0.00181692 | -0.0039896 / 0.00398965 | -0.0314949 / 0.0314975 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.0175236 / 0.0175317 | -0.0195241 / 0.019534 | -0.0287209 / 0.0287413 | 0.0246679 / -0.0246481 | -0.00460019 / 0.0046008 | -0.00391215 / 0.00391257 | -0.0198386 / 0.0198489 | -0.0157506 / 0.0157572 | -0.124453 / 0.124713 | -0.00354018 / 0.00354051 | -0.0284791 / 0.0284998 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -0.000310337 / 0.000310296 | -0.00648256 / 0.00648262 | -0.00719721 / 0.00719731 | 0.00284561 / -0.00284587 | -0.00318342 / 0.00318345 | -0.00364153 / 0.00364153 | -0.0134805 / 0.0134807 | 0.0547484 / -0.0547575 | 0.390903 / -0.0631678 | -0.0022248 / 0.00222433 | -0.00172224 / 0.00172223 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -5.45337e-05 / 5.44827e-05 | 3.54492e-08 / 3.54492e-08 | 3.53431e-08 / 3.53431e-08 | -1.70504e-06 / 1.6047e-06 | 1.20666e-08 / 1.20666e-08 | -0.000147872 / 0.000147875 | -1.50007e-08 / -1.50007e-08 | -5.34535e-10 / -5.34535e-10 | -2.39581e-08 / -2.39581e-08 | -0.000752881 / 0.000752871 | 2.39383e-08 / 2.39383e-08 |
