 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_0 | 0.00834992 / -0.00835156 | 0.0187336 / -0.0187415 | 0.0144821 / -0.0144869 | 5.76151e-05 / -5.76151e-05 | -0.00458233 / 0.00458181 | -0.000645557 / 0.000645547 | -0.0035974 / 0.00359709 | -0.00887055 / 0.00886859 | 0.00130871 / -0.00130875 | -0.0113939 / 0.0113907 | -0.0130818 / 0.0130775 |
 | bTagSF_eigenvars_B_1 | 0.00135052 / -0.00135054 | 0.005101 / -0.00510117 | 0.00330305 / -0.00330312 | -6.82225e-06 / 6.82225e-06 | -0.00130531 / 0.0013053 | -0.00190389 / 0.00190386 | -0.00230319 / 0.00230316 | -0.0014234 / 0.00142339 | 0.00159379 / -0.0015938 | -0.00553087 / 0.00553067 | -0.00419182 / 0.0041917 |
 | bTagSF_eigenvars_B_2 | -0.00125766 / 0.00125765 | -0.00390567 / 0.00390557 | -0.00280909 / 0.00280904 | 5.93657e-06 / -5.93657e-06 | 0.000785755 / -0.000785759 | 0.0010372 / -0.0010372 | 0.00197103 / -0.00197106 | 0.00124279 / -0.0012428 | -0.00026746 / 0.000267459 | 0.00336717 / -0.00336725 | 0.00331336 / -0.00331343 |
 | bTagSF_eigenvars_B_3 | 0.000332671 / -0.000332672 | 0.000510218 / -0.00051022 | 0.000208767 / -0.000208767 | -3.21608e-06 / 3.21608e-06 | -0.000165842 / 0.000165842 | 0.000254085 / -0.000254085 | -7.59746e-05 / 7.59745e-05 | -0.000319127 / 0.000319127 | -0.000526622 / 0.000526621 | 0.000126393 / -0.000126394 | -0.00028888 / 0.00028888 |
 | bTagSF_eigenvars_B_4 | 1.44316e-05 / -1.44316e-05 | 0.000164133 / -0.000164133 | 0.000117668 / -0.000117668 | 5.74198e-07 / -5.74198e-07 | 5.10226e-06 / -5.10226e-06 | -7.01256e-05 / 7.01256e-05 | -0.000122895 / 0.000122895 | 0.000148617 / -0.000148617 | 2.08772e-05 / -2.08772e-05 | -0.000100431 / 0.000100431 | -9.65105e-05 / 9.65104e-05 |
 | bTagSF_eigenvars_B_5 | -4.14543e-06 / 4.14543e-06 | -2.85328e-05 / 2.85328e-05 | -6.91306e-07 / 6.91306e-07 | -1.2943e-07 / 1.2943e-07 | -4.23141e-06 / 4.23141e-06 | -9.56656e-07 / 9.56656e-07 | -2.0168e-06 / 2.0168e-06 | -5.05478e-05 / 5.05478e-05 | 1.46677e-05 / -1.46677e-05 | 5.94025e-07 / -5.94025e-07 | -1.595e-07 / 1.595e-07 |
 | bTagSF_eigenvars_B_6 | -1.96623e-07 / 1.96623e-07 | -2.12548e-06 / 2.12548e-06 | -1.843e-06 / 1.843e-06 | 1.88173e-08 / -1.88173e-08 | 1.80044e-08 / -1.80044e-08 | 3.26017e-07 / -3.26017e-07 | 6.24978e-07 / -6.24978e-07 | 1.95832e-06 / -1.95832e-06 | -6.65794e-06 / 6.65794e-06 | 2.06863e-07 / -2.06863e-07 | 8.79037e-07 / -8.79037e-07 |
 | bTagSF_eigenvars_B_7 | 1.24632e-07 / -1.24632e-07 | 7.09316e-07 / -7.09316e-07 | 9.00366e-09 / -9.00366e-09 | -1.52087e-09 / 1.52087e-09 | -3.55143e-08 / 3.55143e-08 | -2.95711e-08 / 2.95711e-08 | 2.73492e-07 / -2.73492e-07 | 1.01213e-07 / -1.01213e-07 | 3.00686e-07 / -3.00686e-07 | -8.40602e-08 / 8.40602e-08 | 6.85264e-08 / -6.85264e-08 |
 | bTagSF_eigenvars_B_8 | 1.92771e-09 / -1.92771e-09 | -1.49695e-08 / 1.49695e-08 | -4.59575e-09 / 4.59575e-09 | -3.66739e-11 / 3.66731e-11 | 4.73393e-09 / -4.73393e-09 | -6.3919e-09 / 6.3919e-09 | 7.85315e-10 / -7.85315e-10 | -3.30136e-08 / 3.30136e-08 | -3.11126e-08 / 3.11126e-08 | -7.63076e-09 / 7.63076e-09 | 1.11042e-08 / -1.11042e-08 |
 | bTagSF_eigenvars_C_0 | 0.00231837 / -0.00231809 | 0.000892579 / -0.000892537 | 0.00278535 / -0.00278494 | -0.00706727 / 0.00706992 | -0.0278777 / 0.0279207 | 0.000553551 / -0.000553535 | 0.000381543 / -0.000381535 | -0.016082 / 0.016096 | -0.0219025 / 0.0219287 | 0.00244822 / -0.0024479 | 0.00679191 / -0.00678952 |
 | bTagSF_eigenvars_C_1 | 4.07404e-05 / -4.07404e-05 | -1.55389e-05 / 1.55389e-05 | 4.46189e-05 / -4.46189e-05 | 0.000384679 / -0.00038468 | -0.00297091 / 0.00297086 | 4.17484e-05 / -4.17484e-05 | 2.35141e-05 / -2.35141e-05 | -0.00024174 / 0.00024174 | -0.00246085 / 0.00246081 | -0.000128388 / 0.000128388 | 0.000320899 / -0.0003209 |
