 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0126249 / 0.0126211 | -0.0159896 / 0.0159833 | -0.0103255 / 0.0103229 | -0.00173566 / 0.00173559 | -0.0121621 / 0.0121585 | -0.0125988 / 0.0125949 | -0.0236435 / 0.0236297 | 0.0162119 / -0.016218 | -0.0226161 / 0.0226034 | -0.00976245 / 0.00976014 | -0.0126432 / 0.0126393 |
 | jvt | -0.00550408 / 0.00550388 | -0.00208208 / 0.00208205 | -0.00401754 / 0.00401744 | 0.00108605 / -0.00108606 | 0.000652217 / -0.00065222 | -0.000395763 / 0.000395762 | 0.000343297 / -0.000343298 | -0.000171898 / 0.000171897 | 0.00312596 / -0.00312602 | -0.000356088 / 0.000356087 | -0.0020708 / 0.00207077 |
 | EL_SF_Trigger | 0.000145708 / -0.000145708 | 0.000153736 / -0.000153736 | 0.000214844 / -0.000214844 | 0.000194862 / -0.000194863 | 0.000174207 / -0.000174208 | 0.000173189 / -0.000173189 | 0.000318681 / -0.000318681 | 0.00042563 / -0.000425631 | 0.000109252 / -0.000109252 | 9.669e-05 / -9.66901e-05 | 0.000149672 / -0.000149672 |
 | EL_SF_Reco | 0.00249701 / -0.00249706 | 0.00250685 / -0.00250689 | 0.00275176 / -0.00275181 | 0.00265047 / -0.00265052 | 0.0023415 / -0.00234154 | 0.00248976 / -0.00248981 | 0.00406191 / -0.00406202 | 0.00495585 / -0.00495601 | 0.00340734 / -0.00340742 | 0.00308927 / -0.00308933 | 0.00267161 / -0.00267165 |
 | EL_SF_ID | 0.0141497 / -0.0141513 | 0.0142888 / -0.0142904 | 0.0159958 / -0.0159978 | 0.0147113 / -0.014713 | 0.0130863 / -0.0130877 | 0.0144305 / -0.0144321 | 0.0231776 / -0.023182 | 0.0277268 / -0.0277332 | 0.0105356 / -0.0105364 | 0.0132662 / -0.0132675 | 0.0150729 / -0.0150747 |
 | EL_SF_Isol | 0.0189259 / -0.0189278 | 0.0177828 / -0.0177845 | 0.0173101 / -0.0173117 | 0.0182119 / -0.0182137 | 0.0161497 / -0.0161511 | 0.0173985 / -0.0174001 | 0.0177906 / -0.0177923 | 0.0200429 / -0.0200452 | 0.0180458 / -0.0180475 | 0.0317443 / -0.0317506 | 0.0234258 / -0.0234289 |
 | MU_SF_Trigger_STAT | 0.000252048 / -0.000252048 | 0.000305834 / -0.000305835 | 0.000268556 / -0.000268556 | 0.000194991 / -0.000194991 | 0.000279701 / -0.000279701 | 0.000277807 / -0.000277808 | 0.000371485 / -0.000371486 | 0.000135464 / -0.000135464 | 4.09573e-05 / -4.09573e-05 | 6.29779e-05 / -6.29779e-05 | 0.000230289 / -0.000230289 |
 | MU_SF_Trigger_SYST | -0.000571229 / 0.000571226 | -0.000666604 / 0.000666601 | -0.000658579 / 0.000658576 | -0.000542875 / 0.000542873 | -0.00061372 / 0.000613717 | -0.000663062 / 0.000663059 | -0.000991255 / 0.000991249 | -0.000945038 / 0.000945032 | -0.00126265 / 0.00126264 | -0.000630119 / 0.000630116 | -0.000638173 / 0.00063817 |
 | MU_SF_ID_STAT | 0.000879085 / -0.00087909 | 0.000923621 / -0.000923627 | 0.000863104 / -0.000863109 | 0.000533569 / -0.000533571 | 0.000910838 / -0.000910844 | 0.000917428 / -0.000917434 | 0.000869079 / -0.000869084 | 0.000655497 / -0.0006555 | 0.000608509 / -0.000608512 | 0.000669177 / -0.00066918 | 0.000866365 / -0.00086637 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
