 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00236183 / -0.00236187 | 0.00303994 / -0.00304 | 0.00359563 / -0.00359571 | 0 / 0 | -0.000742641 / 0.000742637 | -0.00319912 / 0.00319905 | -0.00334473 / 0.00334466 | -0.00458634 / 0.00458621 | 0.00531018 / -0.00531037 | -0.00552149 / 0.00552128 | -0.00342218 / 0.00342211 |
 | bTagSF_eigenvars_B_2 | -0.000949883 / 0.000949877 | -0.00155476 / 0.00155475 | -0.00217945 / 0.00217942 | 0 / 0 | 0.000713889 / -0.000713893 | 0.00232152 / -0.00232156 | 0.00281244 / -0.0028125 | 0.00569493 / -0.00569515 | -0.00271544 / 0.00271539 | 0.00222926 / -0.0022293 | 0.00253713 / -0.00253717 |
 | bTagSF_eigenvars_B_3 | -0.000104589 / 0.000104589 | -0.000103174 / 0.000103174 | 6.89558e-06 / -6.89558e-06 | 0 / 0 | -0.000195036 / 0.000195036 | -0.000352612 / 0.000352612 | -0.000320058 / 0.000320057 | -0.00214402 / 0.00214399 | 2.11329e-05 / -2.11329e-05 | 0.000210127 / -0.000210127 | -3.26287e-06 / 3.26287e-06 |
 | bTagSF_eigenvars_B_4 | 3.52482e-05 / -3.52482e-05 | 1.72945e-05 / -1.72945e-05 | 5.34129e-05 / -5.34129e-05 | 0 / 0 | 4.73659e-06 / -4.73659e-06 | -7.06437e-05 / 7.06436e-05 | -0.000107086 / 0.000107086 | -1.36088e-05 / 1.36088e-05 | -2.19631e-05 / 2.19631e-05 | -7.97495e-05 / 7.97495e-05 | -3.50697e-05 / 3.50697e-05 |
 | bTagSF_eigenvars_B_5 | 1.12371e-05 / -1.12371e-05 | 5.51721e-06 / -5.51721e-06 | 2.67492e-06 / -2.67492e-06 | 0 / 0 | -2.17329e-06 / 2.17329e-06 | -2.74608e-06 / 2.74608e-06 | 5.55806e-06 / -5.55806e-06 | -5.17611e-05 / 5.17611e-05 | -3.53406e-07 / 3.53406e-07 | -1.88289e-05 / 1.88289e-05 | -5.16225e-05 / 5.16225e-05 |
 | bTagSF_eigenvars_B_6 | 9.95531e-07 / -9.95531e-07 | -7.54045e-07 / 7.54045e-07 | 1.00263e-07 / -1.00263e-07 | 0 / 0 | 1.82332e-06 / -1.82332e-06 | -3.57219e-06 / 3.57219e-06 | 1.43536e-06 / -1.43536e-06 | 2.97876e-05 / -2.97876e-05 | 2.25289e-06 / -2.25289e-06 | 6.41139e-07 / -6.41139e-07 | 7.65376e-06 / -7.65376e-06 |
 | bTagSF_eigenvars_B_7 | 5.04957e-08 / -5.04957e-08 | -5.13708e-08 / 5.13708e-08 | 5.86179e-08 / -5.86179e-08 | 0 / 0 | -1.99986e-07 / 1.99986e-07 | 2.52422e-07 / -2.52422e-07 | -1.70405e-07 / 1.70405e-07 | -2.88932e-06 / 2.88932e-06 | 3.8957e-07 / -3.8957e-07 | 1.27114e-07 / -1.27114e-07 | 6.76872e-07 / -6.76872e-07 |
 | bTagSF_eigenvars_B_8 | -1.61404e-08 / 1.61404e-08 | -1.63363e-08 / 1.63363e-08 | -2.32625e-09 / 2.32625e-09 | 0 / 0 | -1.00052e-08 / 1.00052e-08 | 1.33649e-08 / -1.33649e-08 | -7.92795e-10 / 7.92795e-10 | -6.50965e-08 / 6.50965e-08 | -2.02848e-08 / 2.02848e-08 | 5.88396e-08 / -5.88396e-08 | 5.61902e-08 / -5.61902e-08 |
 | bTagSF_eigenvars_C_0 | 0.000835228 / -0.000835192 | 0.000381725 / -0.000381717 | 0.00239772 / -0.00239742 | -0.00524697 / 0.00524843 | -0.0339317 / 0.0339963 | 0.000405749 / -0.00040574 | 0.000143068 / -0.000143067 | 0.00555047 / -0.00554888 | -0.00479946 / 0.00480068 | 0.00166638 / -0.00166623 | 0.000993359 / -0.000993307 |
 | bTagSF_eigenvars_C_1 | 4.948e-05 / -4.94801e-05 | 5.07765e-06 / -5.07765e-06 | 0.000128715 / -0.000128715 | 9.05805e-05 / -9.05805e-05 | -0.00437503 / 0.00437492 | -1.35588e-05 / 1.35588e-05 | 5.72749e-05 / -5.72749e-05 | -0.000258885 / 0.000258885 | -0.0010162 / 0.00101619 | -0.00015351 / 0.00015351 | 0.00048443 / -0.000484431 |
 | bTagSF_eigenvars_C_2 | -2.97214e-05 / 2.97214e-05 | -7.62912e-06 / 7.62912e-06 | -0.000150108 / 0.000150108 | 0.000326084 / -0.000326085 | 0.00103458 / -0.00103459 | 3.91475e-06 / -3.91475e-06 | -1.6304e-05 / 1.6304e-05 | 0.000385635 / -0.000385636 | 4.90932e-05 / -4.90932e-05 | 4.23173e-05 / -4.23173e-05 | 0.000226022 / -0.000226023 |
 | bTagSF_eigenvars_C_3 | 1.40658e-05 / -1.40658e-05 | -5.03172e-08 / 5.03172e-08 | 3.04387e-05 / -3.04387e-05 | -3.00811e-05 / 3.00811e-05 | -0.000370997 / 0.000370996 | -5.93794e-06 / 5.93794e-06 | 5.81797e-06 / -5.81797e-06 | 2.90582e-05 / -2.90582e-05 | -0.000102053 / 0.000102053 | 1.97667e-05 / -1.97667e-05 | -0.000258205 / 0.000258204 |
 | bTagSF_eigenvars_Light_0 | 0.000263604 / -0.000263603 | 0.000753333 / -0.000753323 | 0.000947201 / -0.000947185 | -0.121855 / 0.121966 | -0.00190649 / 0.00190655 | -0.000989691 / 0.000989708 | 0.000309784 / -0.000309782 | -0.0121197 / 0.0121222 | -0.00629721 / 0.0062979 | 0.00194925 / -0.00194918 | -0.000493756 / 0.000493761 |
 | bTagSF_eigenvars_Light_1 | 0.000113491 / -0.000113491 | -0.000124798 / 0.000124798 | -1.68336e-05 / 1.68336e-05 | 0.00456381 / -0.00456383 | 0.000176177 / -0.000176177 | 0.000413432 / -0.000413432 | -4.21469e-05 / 4.21469e-05 | 0.00199898 / -0.00199899 | 0.000419207 / -0.000419208 | 5.54529e-05 / -5.54529e-05 | 0.000193884 / -0.000193884 |
