 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00986265 / 0.009862 | -0.0102431 / 0.0102424 | -0.00945885 / 0.00945825 | -0.000252031 / 0.000252031 | -0.00628178 / 0.00628152 | -0.010203 / 0.0102023 | -0.0111147 / 0.0111139 | 0.0124816 / -0.0124826 | 0.000346769 / -0.00034677 | -0.00605643 / 0.00605619 | -0.00502574 / 0.00502557 |
 | bTagSF_eigenvars_B_2 | 0.00571802 / -0.00571824 | 0.00627305 / -0.00627331 | 0.00582773 / -0.00582796 | 0.000208152 / -0.000208152 | 0.00382304 / -0.00382314 | 0.00573815 / -0.00573837 | 0.00654279 / -0.00654307 | 0.00795921 / -0.00795963 | -8.64711e-07 / 8.64711e-07 | 0.00282207 / -0.00282212 | 0.00375451 / -0.00375461 |
 | bTagSF_eigenvars_B_3 | -3.55896e-05 / 3.55896e-05 | 6.93792e-05 / -6.93793e-05 | 2.59505e-05 / -2.59505e-05 | -0.000102732 / 0.000102732 | -0.000829756 / 0.000829752 | -0.000298041 / 0.00029804 | -3.69784e-05 / 3.69784e-05 | -0.0270767 / 0.0270718 | -8.59035e-05 / 8.59035e-05 | -3.07243e-05 / 3.07243e-05 | -0.000181651 / 0.000181651 |
 | bTagSF_eigenvars_B_4 | -0.00014714 / 0.00014714 | -0.000148764 / 0.000148763 | -0.000156324 / 0.000156324 | 1.48259e-05 / -1.48259e-05 | 2.00293e-05 / -2.00293e-05 | -9.62446e-05 / 9.62446e-05 | -5.91853e-05 / 5.91853e-05 | 0.00736601 / -0.00736638 | 4.85687e-05 / -4.85688e-05 | -5.96496e-05 / 5.96495e-05 | -6.79817e-05 / 6.79816e-05 |
 | bTagSF_eigenvars_B_5 | -5.61623e-06 / 5.61623e-06 | -4.84191e-05 / 4.84191e-05 | -1.84975e-06 / 1.84975e-06 | -2.09492e-06 / 2.09492e-06 | -2.15194e-05 / 2.15194e-05 | -2.19726e-05 / 2.19726e-05 | 1.60954e-05 / -1.60954e-05 | 0.000344916 / -0.000344917 | -1.81679e-05 / 1.81679e-05 | -1.20799e-05 / 1.20799e-05 | -1.13481e-05 / 1.13481e-05 |
 | bTagSF_eigenvars_B_6 | -5.26986e-07 / 5.26986e-07 | 3.69105e-06 / -3.69105e-06 | 2.52131e-07 / -2.52131e-07 | -6.05191e-08 / 6.05191e-08 | 8.21368e-07 / -8.21368e-07 | 1.14013e-06 / -1.14013e-06 | -3.32716e-06 / 3.32716e-06 | -0.000429094 / 0.000429094 | -2.8352e-07 / 2.8352e-07 | -2.13399e-06 / 2.13399e-06 | 5.65042e-07 / -5.65042e-07 |
 | bTagSF_eigenvars_B_7 | -4.32567e-08 / 4.32567e-08 | 6.10619e-07 / -6.10619e-07 | -9.50877e-08 / 9.50877e-08 | 7.49284e-08 / -7.49284e-08 | -1.68705e-07 / 1.68705e-07 | -2.33916e-07 / 2.33916e-07 | 1.99406e-08 / -1.99406e-08 | 1.79413e-05 / -1.79413e-05 | -1.74971e-07 / 1.74971e-07 | -3.13249e-07 / 3.13249e-07 | 1.76577e-07 / -1.76577e-07 |
 | bTagSF_eigenvars_B_8 | 1.37098e-08 / -1.37098e-08 | 5.96668e-09 / -5.96668e-09 | 7.05888e-09 / -7.05888e-09 | 8.64558e-09 / -8.64559e-09 | 3.0042e-08 / -3.0042e-08 | 2.62225e-08 / -2.62225e-08 | 8.25326e-09 / -8.25326e-09 | -1.72039e-06 / 1.72039e-06 | -1.96963e-08 / 1.96963e-08 | 4.71008e-09 / -4.71008e-09 | 1.7731e-08 / -1.7731e-08 |
 | bTagSF_eigenvars_C_0 | -0.0012047 / 0.00120478 | 0.00163511 / -0.00163497 | -0.000771092 / 0.000771124 | -0.00262806 / 0.00262842 | -0.0192866 / 0.0193069 | -0.000361283 / 0.00036129 | -0.00227075 / 0.00227102 | -0.361703 / 0.374161 | -0.000103259 / 0.00010326 | -0.0334402 / 0.0335029 | -0.0414107 / 0.0415083 |
 | bTagSF_eigenvars_C_1 | -0.000134807 / 0.000134807 | -2.2402e-05 / 2.2402e-05 | 3.00875e-05 / -3.00875e-05 | 7.79215e-05 / -7.79215e-05 | -0.00207516 / 0.00207513 | -4.17484e-05 / 4.17484e-05 | -0.000323692 / 0.000323691 | -0.112964 / 0.112863 | -0.000255626 / 0.000255625 | -0.00533857 / 0.00533841 | -0.0034574 / 0.00345734 |
 | bTagSF_eigenvars_C_2 | 3.36679e-05 / -3.36679e-05 | 1.60295e-05 / -1.60295e-05 | -3.64808e-05 / 3.64808e-05 | 6.40943e-05 / -6.40943e-05 | 0.000673776 / -0.000673779 | 3.17679e-06 / -3.17679e-06 | 6.58727e-05 / -6.58727e-05 | 0.0928035 / -0.0928618 | -3.70048e-05 / 3.70048e-05 | 0.00119049 / -0.0011905 | 0.00302203 / -0.0030221 |
 | bTagSF_eigenvars_C_3 | -4.45242e-06 / 4.45242e-06 | -1.2951e-05 / 1.2951e-05 | 6.05182e-06 / -6.05182e-06 | -4.52881e-05 / 4.52881e-05 | -0.000273071 / 0.00027307 | -1.43568e-05 / 1.43568e-05 | -0.000130617 / 0.000130616 | 0.000916518 / -0.000916524 | -5.43935e-05 / 5.43935e-05 | -0.000328492 / 0.000328491 | -0.000460724 / 0.000460723 |
 | bTagSF_eigenvars_Light_0 | -0.000582833 / 0.000582839 | 0.000657526 / -0.000657518 | 0.000616249 / -0.000616243 | -0.262929 / 0.262567 | -0.0145094 / 0.0145129 | -0.000121771 / 0.000121772 | -0.00111688 / 0.0011169 | -0.00627125 / 0.00627194 | -0.00171335 / 0.00171341 | -0.0104106 / 0.0104124 | -0.00657712 / 0.00657787 |
 | bTagSF_eigenvars_Light_1 | 3.76799e-05 / -3.76799e-05 | 3.15557e-05 / -3.15557e-05 | -8.83848e-05 / 8.83848e-05 | 0.00437352 / -0.00437354 | 0.000237442 / -0.000237442 | 6.34852e-07 / -6.34852e-07 | -0.000183649 / 0.000183649 | 0.00170103 / -0.00170104 | 0.000116915 / -0.000116915 | 0.000421978 / -0.000421979 | 0.000297165 / -0.000297165 |
 | bTagSF_eigenvars_Light_2 | -5.77334e-05 / 5.77334e-05 | -0.000307538 / 0.000307538 | -4.38554e-05 / 4.38554e-05 | -0.0148538 / 0.0148523 | -0.00043331 / 0.000433309 | 1.49873e-05 / -1.49873e-05 | 0.000661485 / -0.000661488 | -0.0020561 / 0.00205607 | 0.00034656 / -0.000346561 | -0.000187114 / 0.000187114 | -5.67119e-05 / 5.67119e-05 |
 | bTagSF_eigenvars_Light_3 | -1.74942e-06 / 1.74942e-06 | 9.86599e-05 / -9.86599e-05 | 2.76893e-05 / -2.76893e-05 | -0.00740742 / 0.00740705 | -0.00029346 / 0.000293459 | -4.31411e-05 / 4.31411e-05 | -0.000145683 / 0.000145683 | -0.000372248 / 0.000372247 | -6.40998e-05 / 6.40998e-05 | -0.000276361 / 0.000276361 | -4.84362e-05 / 4.84362e-05 |
 | EG_RESOLUTION_ALL | 0.000445345 / -0.000445275 | 0.00111211 / -0.00111212 | 4.28782e-05 / -4.28622e-05 | 1.15438e-05 / -1.14977e-05 | 0.000775109 / -0.000775134 | -9.36437e-06 / 9.36895e-06 | -0.00818182 / 0.00818264 | -0.0329574 / 0.032973 | 1.29536e-05 / -1.29538e-05 | 0.00124488 / -0.00124481 | -0.00169873 / 0.00169876 |
 | EG_SCALE_ALL | 0.000300938 / -0.000300961 | 0.00225208 / -0.00225197 | 0.00137893 / -0.00137891 | 9.22691e-06 / -9.18025e-06 | 0.00167439 / -0.00167441 | -5.08644e-05 / 5.08709e-05 | -0.0203045 / 0.0203061 | 0 / 0 | 0.00449474 / -0.00449464 | 0.000677547 / -0.000677497 | -0.0018813 / 0.00188132 |
 | GlobalReduction_JET_BJES_Response | 0.00773114 / -0.00773134 | 0.00586083 / -0.00586101 | 0.008062 / -0.00806228 | -2.36471e-05 / 2.3694e-05 | 0.014368 / -0.014369 | 0.0134938 / -0.0134946 | 0.0181922 / -0.0181936 | 0.00095201 / -0.000952014 | 0.00402218 / -0.00402226 | 0.0159504 / -0.0159515 | 0.00706541 / -0.00706564 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.0104456 / -0.0104394 | 0.0183672 / -0.0183478 | 0.0109468 / -0.0109401 | 0.0610235 / -0.0607937 | 0.0226684 / -0.0226387 | 0.014827 / -0.0148145 | 0.0292716 / -0.0292215 | 0.0223638 / -0.0223349 | 0.0026077 / -0.00260732 | 0.0192532 / -0.0192319 | 0.0191592 / -0.0191381 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00245098 / 0.002451 | -0.0043042 / 0.00430401 | -0.00277771 / 0.00277766 | 3.78877e-05 / -3.79134e-05 | -0.00507501 / 0.00507476 | -0.00450923 / 0.00450906 | -0.0121558 / 0.0121545 | 0.000762912 / -0.000762917 | -0.00169113 / 0.00169111 | -0.00402921 / 0.00402912 | -0.00375165 / 0.00375154 |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000595436 / -0.000595446 | 0.000617207 / -0.000617218 | 0.00122527 / -0.00122521 | 3.08525e-05 / -3.08769e-05 | 0.00119422 / -0.00119413 | 0.00117178 / -0.00117173 | -7.19737e-06 / 7.16517e-06 | -0.000340253 / 0.000340256 | -4.0385e-05 / 4.03849e-05 | 0.00185726 / -0.00185716 | -0.001025 / 0.00102504 |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000244801 / 0.000244778 | 0.00111561 / -0.00111563 | -0.000930449 / 0.000930468 | 2.00944e-05 / -2.00479e-05 | -0.00016934 / 0.000169309 | -0.000650466 / 0.000650473 | 7.7992e-06 / -7.75557e-06 | 0.00036228 / -0.000362279 | -3.36324e-05 / 3.36322e-05 | 0.00112254 / -0.00112254 | -0.00235826 / 0.00235821 |
 | GlobalReduction_JET_EffectiveNP_5 | 7.09756e-06 / -7.12059e-06 | -6.14509e-06 / 6.12045e-06 | 5.05418e-05 / -5.05256e-05 | -5.05108e-05 / 5.05579e-05 | -0.000280463 / 0.000280431 | -2.49719e-05 / 2.49772e-05 | -3.51673e-06 / 3.56097e-06 | -0.000460034 / 0.000460032 | -0.000172415 / 0.000172415 | -1.44588e-05 / 1.44458e-05 | 0.000438802 / -0.0004388 |
 | GlobalReduction_JET_EffectiveNP_8 | -6.79328e-05 / 6.79103e-05 | 5.28171e-06 / -5.30572e-06 | -0.000328587 / 0.000328519 | 3.10327e-05 / -3.10581e-05 | -4.54457e-05 / 4.54151e-05 | -0.000304772 / 0.000304778 | 4.01281e-06 / -3.96972e-06 | 0.000480649 / -0.000480647 | -0.000185639 / 0.000185639 | 2.04699e-05 / -2.04825e-05 | 0.000551077 / -0.000551071 |
 | GlobalReduction_JET_EffectiveNP_7 | -4.18775e-05 / 4.18544e-05 | -3.19537e-07 / 2.94894e-07 | -0.000111157 / 0.000111173 | -1.0342e-05 / 1.03159e-05 | 0.000273472 / -0.000273504 | -2.8044e-05 / 2.80493e-05 | -1.15896e-06 / 1.12456e-06 | -0.000515823 / 0.000515821 | 0.000142057 / -0.000142057 | -4.93043e-06 / 4.9175e-06 | -0.000452387 / 0.000452389 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 0.000174444 / -0.000174466 | 1.92757e-06 / -1.95182e-06 | 4.53958e-05 / -4.53797e-05 | -1.25367e-06 / 1.22799e-06 | -4.62464e-05 / 4.62889e-05 | 0.000399494 / -0.000399488 | 3.47795e-06 / -3.5118e-06 | -0.000543856 / 0.000543858 | -0.000150452 / 0.000150451 | 1.1981e-05 / -1.19938e-05 | 0.000460166 / -0.000460163 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | 0.00891075 / -0.00890839 | 0.0149818 / -0.0149752 | 0.00847671 / -0.00847462 | 0.0309625 / -0.0309329 | 0.0195809 / -0.0195694 | 0.01817 / -0.0181602 | 0.0286998 / -0.0286747 | 0.0256112 / -0.0255913 | 0.00601519 / -0.00601416 | 0.0184718 / -0.0184617 | 0.0152547 / -0.0152479 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | 0.00169417 / -0.00169419 | 0.00350073 / -0.00350076 | 0.00150585 / -0.00150583 | -0.000110347 / 0.000110322 | 0.00414393 / -0.00414389 | 0.00333886 / -0.00333886 | 0.0244615 / -0.0244624 | 0.00154249 / -0.00154249 | 0.00200217 / -0.00200217 | 0.00793838 / -0.00793837 | 0.00472601 / -0.00472608 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | -8.52385e-06 / 8.50063e-06 | -1.24294e-08 / -1.24294e-08 | -3.59335e-08 / -3.59335e-08 | -1.31641e-08 / -1.31641e-08 | -1.59009e-08 / -1.59009e-08 | -3.00909e-08 / -3.00909e-08 | 2.23075e-08 / 2.23075e-08 | 0 / 0 | 5.60172e-08 / 5.60172e-08 | 2.4296e-08 / 2.4296e-08 | 1.53236e-09 / 1.53236e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 8.22191e-05 / -8.22422e-05 | 0.000498746 / -0.00049867 | 0.000111648 / -0.000111632 | -7.34449e-06 / 7.31834e-06 | 0.00064156 / -0.000641519 | 0.00112785 / -0.00112785 | 3.48842e-06 / -3.4441e-06 | 0 / 0 | 0.000335686 / -0.000335687 | -0.00145321 / 0.00145325 | 0.00113386 / -0.00113386 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | 0.000135516 / -0.000135539 | 0.00229347 / -0.00229342 | -0.000157398 / 0.000157414 | 1.59944e-06 / -1.62557e-06 | 0.000870345 / -0.000870306 | 0.00068631 / -0.000686308 | 1.80052e-07 / -1.35767e-07 | 0 / 0 | -0.000151523 / 0.000151523 | 0.00243249 / -0.00243254 | 0.00127902 / -0.00127903 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | 0.0022559 / -0.00225597 | 0.00264713 / -0.00264721 | 0.00217639 / -0.00217642 | 0.00306139 / -0.0030615 | 0.00516826 / -0.00516852 | 0.00445929 / -0.00445945 | 0.00658146 / -0.00658178 | -0.000817794 / 0.000817788 | 0.00174389 / -0.00174392 | 0.00514158 / -0.00514182 | 0.00475216 / -0.00475241 |
 | GlobalReduction_JET_Flavor_Composition | 0.0204112 / -0.0200375 | 0.0582933 / -0.0553405 | 0.0230966 / -0.0226193 | 0.16208 / -0.14106 | 0.0385142 / -0.037204 | 0.0349259 / -0.0338452 | 0.0635445 / -0.0600508 | 0.00692706 / -0.00688353 | 0.0161672 / -0.0159319 | 0.0516161 / -0.0492882 | 0.0426463 / -0.0410453 |
 | GlobalReduction_JET_Flavor_Response | -0.0106035 / 0.0106222 | -0.028714 / 0.0288536 | -0.0104611 / 0.0104792 | -0.0688338 / 0.0696741 | -0.0210315 / 0.0211057 | -0.0169692 / 0.0170173 | -0.0454723 / 0.0458292 | -0.021428 / 0.021505 | -0.000828998 / 0.000829111 | -0.0241874 / 0.0242859 | -0.019841 / 0.0199069 |
 | GlobalReduction_JET_PunchThrough_MC16 | 2.23711e-05 / -2.23943e-05 | 9.06597e-08 / -1.15519e-07 | -3.5799e-08 / 5.21871e-08 | -1.31641e-08 / -1.31641e-08 | -1.59182e-08 / 5.94524e-08 | 0.000126956 / -0.000126951 | 2.23075e-08 / 2.23075e-08 | 0 / 0 | 3.92694e-07 / -3.92885e-07 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | -0.00147619 / 0.00147626 | 0.00838498 / -0.00838268 | -0.000188758 / 0.000188759 | -0.101358 / 0.101814 | 0.00598025 / -0.00597907 | -0.00420865 / 0.00420925 | 0.00470309 / -0.00470236 | -0.0165911 / 0.0166009 | -0.0019234 / 0.00192352 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | -0.00354259 / 0.00354221 | 0.00260848 / -0.00260868 | 0.000791229 / -0.000791248 | 0.0487694 / -0.048842 | 0.0166993 / -0.0167078 | 0.00150487 / -0.00150494 | -0.0154975 / 0.0154901 | -0.0923441 / 0.0920831 | 0.0058539 / -0.00585494 | -0.0127517 / 0.0127468 | 0.0068609 / -0.00686233 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | -0.00355489 / 0.00355592 | -0.00131751 / 0.00131765 | 0.000237175 / -0.00023717 | 0.0539236 / -0.0536643 | 0.0228497 / -0.0228052 | 0.00588016 / -0.00587729 | 0.0338074 / -0.0337084 | -0.0955942 / 0.0962266 | 3.51163e-05 / -3.51162e-05 | -0.0338054 / 0.0338942 | 0.0235179 / -0.0234707 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | -0.00218359 / 0.00218397 | -0.00324756 / 0.00324839 | 0.00155003 / -0.00154984 | 0.0307235 / -0.030645 | 0.0188751 / -0.018846 | 0.00317566 / -0.00317485 | 0.0211316 / -0.021095 | -0.0911191 / 0.0916813 | 0.00245339 / -0.00245291 | -0.00973437 / 0.00974178 | 0.0201921 / -0.0201587 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | -0.000671581 / 0.000671584 | -0.00230196 / 0.002302 | 0.00167532 / -0.0016753 | 0.0510635 / -0.051054 | 0.0178976 / -0.0178955 | 0.00785928 / -0.00785883 | 0.0274552 / -0.0274509 | -0.0961967 / 0.096346 | 0.0067486 / -0.00674826 | -0.0169577 / 0.0169604 | 0.0161068 / -0.016105 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | -0.00223236 / 0.00223231 | -0.0126918 / 0.0126903 | -0.00203089 / 0.00203085 | 0.0517008 / -0.0517357 | 0.00971784 / -0.00971886 | 0.00235596 / -0.00235602 | -0.020992 / 0.020988 | -0.078409 / 0.0783716 | 0.00221045 / -0.0022105 | -0.0213622 / 0.0213581 | 0.0156056 / -0.0156083 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | -0.00292794 / 0.00292922 | -0.00702205 / 0.00702941 | -0.00173046 / 0.00173091 | 0.0302986 / -0.030157 | 0.00483331 / -0.00482978 | 0.00353295 / -0.00353107 | 0.00946401 / -0.00945044 | -0.0074668 / 0.00747511 | 0.00856673 / -0.00855562 | -0.0125354 / 0.0125587 | 0.00437692 / -0.00437404 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | -0.00134984 / 0.00135 | 0.00289862 / -0.00289792 | -0.00114753 / 0.00114764 | 0.0421869 / -0.0420493 | 0.013607 / -0.0135919 | 0.000884926 / -0.00088486 | 0.0020088 / -0.00200847 | -0.00593719 / 0.00594017 | 0.00779136 / -0.00778636 | 0.00346246 / -0.00346146 | 0.0127515 / -0.0127382 |
 | GlobalReduction_JET_Pileup_OffsetMu | 0.00343838 / -0.00343829 | 0.0095854 / -0.0095846 | 0.00393329 / -0.00393313 | 0.0204582 / -0.0204549 | 0.0112242 / -0.0112231 | 0.00778074 / -0.00778018 | 0.00708049 / -0.00708007 | -0.000154711 / 0.000154711 | 0.00178466 / -0.00178463 | 0.00899149 / -0.00899071 | 0.0105587 / -0.0105577 |
 | GlobalReduction_JET_Pileup_OffsetNPV | 0.00837832 / -0.00836038 | 0.0238799 / -0.0237331 | 0.0109079 / -0.0108774 | 0.0841812 / -0.0823121 | 0.0238315 / -0.0236852 | 0.0191801 / -0.0190856 | -0.00477851 / 0.00478435 | -0.00153296 / 0.00153356 | 0.00339399 / -0.00339105 | 0.0213903 / -0.0212726 | 0.0169974 / -0.0169232 |
 | GlobalReduction_JET_Pileup_PtTerm | -5.49326e-05 / 5.49096e-05 | -0.00100899 / 0.00100895 | 0.000432151 / -0.000432224 | -0.000185244 / 0.000185218 | 0.0014807 / -0.00148076 | -0.00180908 / 0.00180904 | 7.565e-05 / -7.56843e-05 | -0.00032059 / 0.000320589 | -0.000147785 / 0.000147785 | 0.000127768 / -0.00012772 | 0.000113609 / -0.000113606 |
