NUISANCE_PARAMETERS
#mu  0.121077 +0.19909 -0.19909
ttZrad  -0.068321 +0.974505 -0.974505
ttbarA14  -0.123861 +0.986459 -0.986459
ttbarBottomMeson  0.0903012 +0.97136 -0.97136
ttbarFSR  0.412165 +0.893312 -0.893312
ttbarPDF  -0.00159866 +0.993068 -0.993068
ttbarPS  0.199799 +0.92792 -0.92792
ttbarPhotConv  -0.353319 +1.02171 -1.02171
ttbarXsec  -0.0014112 +0.993468 -0.993468
ttbarhdamp  -0.0274563 +0.925104 -0.925104
gamma_stat_SBCR1_bin_0  1.00196 +0.0143681 -0.0143681
gamma_stat_SBCR1_bin_1  0.998541 +0.0124391 -0.0124391
gamma_stat_SBCR1_bin_2  1.00041 +0.0150637 -0.0150637
gamma_stat_SBCR1_bin_3  1.00369 +0.0177561 -0.0177561
gamma_stat_SBCR1_bin_4  1.00304 +0.0200806 -0.0200806
gamma_stat_SBCR1_bin_5  0.993335 +0.0302382 -0.0302382
gamma_stat_SBCR1_bin_6  0.99872 +0.0269968 -0.0269968
gamma_stat_SBCR1_bin_7  1.00454 +0.0349584 -0.0349584
gamma_stat_SBCR2_bin_0  1.02108 +0.0547474 -0.0547474
gamma_stat_SBCR2_bin_1  1.00683 +0.0615194 -0.0615194
gamma_stat_SBCR2_bin_2  1.00732 +0.0514268 -0.0514268
gamma_stat_SBCR2_bin_3  0.98857 +0.050423 -0.050423
gamma_stat_SBCR2_bin_4  0.983243 +0.0511953 -0.0511953
gamma_stat_SBCR2_bin_5  1.00234 +0.0509973 -0.0509973
gamma_stat_SBCR2_bin_6  1.02532 +0.0537459 -0.0537459
gamma_stat_SBCR2_bin_7  0.992737 +0.0434592 -0.0434592
gamma_stat_SR1_bin_0  0.999868 +0.00977527 -0.00977527
gamma_stat_SR1_bin_1  0.998305 +0.0129698 -0.0129698
gamma_stat_SR1_bin_2  0.999606 +0.0133227 -0.0133227
gamma_stat_SR1_bin_3  1.00123 +0.0201642 -0.0201642
gamma_stat_SR1_bin_4  0.995422 +0.0218227 -0.0218227
gamma_stat_SR1_bin_5  1.00018 +0.0222084 -0.0222084
gamma_stat_SR1_bin_6  1.00038 +0.019381 -0.019381
gamma_stat_SR1_bin_7  1.00074 +0.0208462 -0.0208462
gamma_stat_SR1_bin_8  1.00227 +0.0268309 -0.0268309
gamma_stat_SR1_bin_9  0.996773 +0.0222536 -0.0222536
gamma_stat_SR2_bin_0  0.992867 +0.0328747 -0.0328747
gamma_stat_SR2_bin_1  0.999744 +0.0251416 -0.0251416
gamma_stat_SR2_bin_2  0.988706 +0.0253621 -0.0253621
