 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00385236 / 0.00385226 | -0.00159718 / 0.00159716 | -0.00383929 / 0.00383919 | 0 / 0 | -0.00172073 / 0.00172071 | -0.0039282 / 0.0039281 | -0.000926851 / 0.000926845 | -0.00527145 / 0.00527126 | 0.000591733 / -0.000591736 | -0.00315627 / 0.0031562 | -0.00365408 / 0.00365399 |
 | bTagSF_eigenvars_B_2 | 0.00249536 / -0.0024954 | 0.00170617 / -0.00170619 | 0.0025228 / -0.00252285 | 0 / 0 | 0.00128759 / -0.0012876 | 0.00257011 / -0.00257016 | 0.00184602 / -0.00184605 | 0.00229716 / -0.00229719 | -0.00145079 / 0.00145078 | 0.00162091 / -0.00162093 | 0.00275937 / -0.00275942 |
 | bTagSF_eigenvars_B_3 | -0.000139763 / 0.000139763 | -0.000269371 / 0.000269371 | -5.3184e-05 / 5.3184e-05 | 0 / 0 | -0.000338126 / 0.000338125 | -0.000366304 / 0.000366303 | -0.000241382 / 0.000241381 | 0.00122164 / -0.00122165 | 8.95103e-05 / -8.95103e-05 | -7.4427e-05 / 7.44269e-05 | -0.00020655 / 0.000206549 |
 | bTagSF_eigenvars_B_4 | -5.93941e-05 / 5.93941e-05 | -0.00011826 / 0.00011826 | -6.19245e-05 / 6.19245e-05 | 0 / 0 | 3.74037e-05 / -3.74037e-05 | -2.53443e-05 / 2.53443e-05 | -2.86147e-05 / 2.86147e-05 | -0.000846319 / 0.000846315 | 3.34035e-05 / -3.34035e-05 | -6.26474e-05 / 6.26474e-05 | -7.90037e-05 / 7.90037e-05 |
 | bTagSF_eigenvars_B_5 | 3.4772e-06 / -3.4772e-06 | -1.03023e-05 / 1.03023e-05 | 1.13041e-05 / -1.13041e-05 | 0 / 0 | 8.6417e-07 / -8.6417e-07 | 3.61971e-06 / -3.61971e-06 | -1.7026e-05 / 1.7026e-05 | 0.00026434 / -0.00026434 | -2.88093e-05 / 2.88093e-05 | 2.04434e-05 / -2.04434e-05 | 3.87644e-07 / -3.87644e-07 |
 | bTagSF_eigenvars_B_6 | -3.80844e-07 / 3.80844e-07 | 3.63549e-06 / -3.63549e-06 | -7.38788e-07 / 7.38788e-07 | 0 / 0 | -1.08797e-06 / 1.08797e-06 | 1.00267e-06 / -1.00267e-06 | 4.58727e-07 / -4.58727e-07 | -3.83242e-05 / 3.83242e-05 | -1.05736e-06 / 1.05736e-06 | -4.73563e-09 / 4.73563e-09 | 4.50767e-07 / -4.50767e-07 |
 | bTagSF_eigenvars_B_7 | -1.57994e-08 / 1.57994e-08 | -9.13734e-08 / 9.13734e-08 | -3.53787e-07 / 3.53787e-07 | 0 / 0 | -1.06158e-07 / 1.06158e-07 | -5.27441e-07 / 5.27441e-07 | -1.50841e-07 / 1.50841e-07 | 1.7384e-06 / -1.7384e-06 | -1.29355e-06 / 1.29355e-06 | -4.73187e-07 / 4.73187e-07 | 1.13141e-08 / -1.13141e-08 |
 | bTagSF_eigenvars_B_8 | 5.96335e-09 / -5.96334e-09 | -1.93691e-08 / 1.93691e-08 | -1.43045e-08 / 1.43045e-08 | 0 / 0 | -1.10314e-08 / 1.10314e-08 | 2.18924e-08 / -2.18924e-08 | 5.61058e-08 / -5.61058e-08 | -4.51252e-08 / 4.51252e-08 | 3.80415e-08 / -3.80415e-08 | 8.61943e-09 / -8.61943e-09 | 3.56695e-09 / -3.56695e-09 |
 | bTagSF_eigenvars_C_0 | 0.00102761 / -0.00102761 | 0.000305396 / -0.000305396 | 0.00197831 / -0.00197831 | -0.00286634 / 0.00286634 | -0.014188 / 0.0141877 | 0.000428703 / -0.000428703 | -0.00277912 / 0.00277911 | -0.0518307 / 0.0518196 | -0.00424296 / 0.00424295 | -0.007445 / 0.00744494 | -0.00495787 / 0.00495785 |
 | bTagSF_eigenvars_C_1 | 8.26328e-05 / -8.26328e-05 | 6.54322e-05 / -6.54322e-05 | 9.69719e-05 / -9.69719e-05 | 0.000150729 / -0.000150729 | -0.000991572 / 0.000991566 | -1.6931e-05 / 1.6931e-05 | 0.000695284 / -0.000695287 | 0.000975705 / -0.000975711 | -0.000865883 / 0.000865878 | -0.000399778 / 0.000399777 | -0.000379242 / 0.000379241 |
 | bTagSF_eigenvars_C_2 | -9.34855e-05 / 9.34854e-05 | -2.46285e-05 / 2.46285e-05 | -8.41389e-05 / 8.41389e-05 | 1.65374e-05 / -1.65374e-05 | 0.000582636 / -0.000582638 | 7.17468e-05 / -7.17468e-05 | 0.000128884 / -0.000128884 | 0.00576559 / -0.00576582 | 0.00072152 / -0.000721524 | 0.000175004 / -0.000175004 | 0.000317485 / -0.000317485 |
 | bTagSF_eigenvars_C_3 | 1.63551e-05 / -1.63551e-05 | -5.25833e-06 / 5.25833e-06 | 3.35669e-05 / -3.35669e-05 | -3.03135e-05 / 3.03134e-05 | -0.000227018 / 0.000227018 | 7.23579e-06 / -7.23579e-06 | -0.000118694 / 0.000118694 | -0.00146631 / 0.00146629 | 9.07014e-05 / -9.07015e-05 | -7.00964e-05 / 7.00964e-05 | -3.33152e-05 / 3.33152e-05 |
 | bTagSF_eigenvars_Light_0 | 0.000515137 / -0.000515131 | -0.00133546 / 0.00133551 | 1.59762e-05 / -1.59761e-05 | -0.131387 / 0.131584 | -0.00804457 / 0.00804602 | 0.000515238 / -0.000515232 | -0.00526359 / 0.00526422 | 0.00065177 / -0.00065176 | -0.00243121 / 0.00243135 | -0.00117759 / 0.00117762 | -0.000670898 / 0.000670908 |
 | bTagSF_eigenvars_Light_1 | -3.77759e-06 / 3.77759e-06 | 0.000695812 / -0.000695815 | 0.000226336 / -0.000226337 | 0.010957 / -0.0109578 | 0.0004641 / -0.000464102 | 8.38036e-06 / -8.38036e-06 | 0.000883287 / -0.000883292 | -0.000120198 / 0.000120198 | -0.00152967 / 0.00152966 | 0.000420397 / -0.000420398 | 7.45778e-05 / -7.45779e-05 |
 | bTagSF_eigenvars_Light_2 | -4.86846e-05 / 4.86846e-05 | -0.000209027 / 0.000209027 | -0.000169218 / 0.000169218 | -0.002872 / 0.00287194 | -0.000190905 / 0.000190905 | -1.18694e-05 / 1.18694e-05 | 0.000469166 / -0.000469168 | 6.10332e-05 / -6.10333e-05 | -0.00111005 / 0.00111004 | 6.87361e-05 / -6.87361e-05 | -8.07928e-06 / 8.07928e-06 |
 | bTagSF_eigenvars_Light_3 | -1.03469e-06 / 1.03469e-06 | 6.38187e-05 / -6.38187e-05 | 6.4525e-05 / -6.4525e-05 | -0.00289978 / 0.00289973 | -0.000157683 / 0.000157683 | 5.95957e-06 / -5.95957e-06 | -0.000351241 / 0.00035124 | 1.64763e-05 / -1.64763e-05 | -0.000527357 / 0.000527355 | -9.42286e-05 / 9.42285e-05 | -3.20415e-06 / 3.20415e-06 |
 | EG_RESOLUTION_ALL | -0.000395526 / 0.000395557 | -0.00156285 / 0.00156286 | 0.000603858 / -0.000603869 | 0.00393964 / -0.00393969 | 0.000171323 / -0.000171332 | -0.000816353 / 0.000816284 | -0.0102834 / 0.0102833 | 1.34676e-08 / 1.19046e-08 | -0.00368409 / 0.00368409 | -0.00291895 / 0.00291893 | -0.000114289 / 0.000114277 |
 | EG_SCALE_ALL | 0.000515442 / -0.000515412 | -0.00325315 / 0.0032531 | 0.00131249 / -0.00131251 | -0.00462619 / 0.00462603 | -0.000237478 / 0.000237468 | -0.000766194 / 0.000766238 | -9.16788e-05 / 9.16705e-05 | 1.24939e-08 / 1.30693e-08 | -0.00148965 / 0.00148965 | 0.00100432 / -0.00100433 | 0.000407091 / -0.000407103 |
 | GlobalReduction_JET_BJES_Response | 0.00626732 / -0.0062676 | 0.00362641 / -0.0036265 | 0.00640028 / -0.00640055 | -0.00228019 / 0.00228019 | 0.0100881 / -0.0100889 | 0.0122462 / -0.0122474 | -0.0112567 / 0.0112557 | -0.000182283 / 0.000182309 | -0.00191537 / 0.00191535 | 0.0026084 / -0.00260847 | 0.00513463 / -0.00513485 |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00501258 / -0.00501301 | 0.00467967 / -0.00467999 | 0.00544162 / -0.00544209 | 0.0186616 / -0.0186669 | 0.0113297 / -0.0113317 | 0.00960631 / -0.00960768 | -0.00144291 / 0.00144287 | -0.00207089 / 0.22777 | 0.00200736 / -0.00200748 | 0.00915011 / -0.00915141 | 0.00741023 / -0.00741109 |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00137216 / 0.00137218 | -2.0229e-05 / 2.01659e-05 | -0.00164882 / 0.00164881 | -0.00311779 / 0.00311775 | -0.0032171 / 0.00321706 | -0.00290771 / 0.00290773 | -0.0075482 / 0.00754803 | -0.000600949 / 0.000600906 | -0.000363309 / 0.000363245 | -0.00337037 / 0.00337033 | -0.00205722 / 0.00205729 |
