 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00236199 / -0.00236202 | 0.00304024 / -0.00304031 | 0.00359589 / -0.00359598 | 0 / 0 | -0.000742708 / 0.000742704 | -0.00319952 / 0.00319945 | -0.0033451 / 0.00334502 | -0.00458703 / 0.00458689 | 0.00531063 / -0.00531082 | -0.00552225 / 0.00552205 | -0.00342264 / 0.00342256 |
 | bTagSF_eigenvars_B_2 | -0.000949879 / 0.000949873 | -0.0015548 / 0.00155478 | -0.00217949 / 0.00217946 | 0 / 0 | 0.000713902 / -0.000713905 | 0.00232158 / -0.00232162 | 0.00281248 / -0.00281253 | 0.00569505 / -0.00569527 | -0.00271551 / 0.00271546 | 0.00222934 / -0.00222937 | 0.00253716 / -0.0025372 |
 | bTagSF_eigenvars_B_3 | -0.00010458 / 0.00010458 | -0.000103182 / 0.000103182 | 6.88608e-06 / -6.88608e-06 | 0 / 0 | -0.000195033 / 0.000195032 | -0.000352615 / 0.000352614 | -0.000320061 / 0.000320061 | -0.00214399 / 0.00214396 | 2.11271e-05 / -2.11271e-05 | 0.000210086 / -0.000210086 | -3.27906e-06 / 3.27906e-06 |
 | bTagSF_eigenvars_B_4 | 3.52457e-05 / -3.52457e-05 | 1.72909e-05 / -1.72909e-05 | 5.34149e-05 / -5.34149e-05 | 0 / 0 | 4.73254e-06 / -4.73254e-06 | -7.0647e-05 / 7.06469e-05 | -0.000107088 / 0.000107088 | -1.36342e-05 / 1.36342e-05 | -2.19751e-05 / 2.19751e-05 | -7.97493e-05 / 7.97493e-05 | -3.50506e-05 / 3.50506e-05 |
 | bTagSF_eigenvars_B_5 | 1.12388e-05 / -1.12388e-05 | 5.51845e-06 / -5.51845e-06 | 2.67485e-06 / -2.67485e-06 | 0 / 0 | -2.17359e-06 / 2.17359e-06 | -2.7437e-06 / 2.7437e-06 | 5.55758e-06 / -5.55758e-06 | -5.17546e-05 / 5.17546e-05 | -3.53616e-07 / 3.53616e-07 | -1.88276e-05 / 1.88276e-05 | -5.16267e-05 / 5.16267e-05 |
 | bTagSF_eigenvars_B_6 | 9.95346e-07 / -9.95346e-07 | -7.54027e-07 / 7.54027e-07 | 1.00245e-07 / -1.00245e-07 | 0 / 0 | 1.82367e-06 / -1.82367e-06 | -3.57221e-06 / 3.57221e-06 | 1.43564e-06 / -1.43564e-06 | 2.97869e-05 / -2.97869e-05 | 2.25307e-06 / -2.25307e-06 | 6.40919e-07 / -6.40919e-07 | 7.654e-06 / -7.654e-06 |
 | bTagSF_eigenvars_B_7 | 5.04464e-08 / -5.04464e-08 | -5.13881e-08 / 5.13881e-08 | 5.86352e-08 / -5.86352e-08 | 0 / 0 | -2.00024e-07 / 2.00024e-07 | 2.52354e-07 / -2.52354e-07 | -1.70409e-07 / 1.70409e-07 | -2.88932e-06 / 2.88932e-06 | 3.89594e-07 / -3.89594e-07 | 1.27193e-07 / -1.27193e-07 | 6.76923e-07 / -6.76923e-07 |
 | bTagSF_eigenvars_B_8 | -1.61432e-08 / 1.61432e-08 | -1.63374e-08 / 1.63374e-08 | -2.32553e-09 / 2.32553e-09 | 0 / 0 | -1.00057e-08 / 1.00057e-08 | 1.33658e-08 / -1.33658e-08 | -7.90288e-10 / 7.90289e-10 | -6.51026e-08 / 6.51026e-08 | -2.02843e-08 / 2.02843e-08 | 5.8838e-08 / -5.8838e-08 | 5.6191e-08 / -5.6191e-08 |
 | bTagSF_eigenvars_C_0 | 0.000823087 / -0.000823087 | 0.000376151 / -0.000376151 | 0.00236345 / -0.00236345 | -0.00516656 / 0.00516654 | -0.0333026 / 0.0332995 | 0.00039974 / -0.00039974 | 0.000141019 / -0.000141019 | 0.00547362 / -0.00547362 | -0.00472658 / 0.00472656 | 0.00164251 / -0.00164252 | 0.000978447 / -0.000978447 |
 | bTagSF_eigenvars_C_1 | 4.94666e-05 / -4.94667e-05 | 5.07575e-06 / -5.07575e-06 | 0.000128683 / -0.000128683 | 9.05085e-05 / -9.05085e-05 | -0.00437427 / 0.00437416 | -1.35126e-05 / 1.35126e-05 | 5.72609e-05 / -5.72609e-05 | -0.000258817 / 0.000258817 | -0.00101596 / 0.00101596 | -0.000153473 / 0.000153473 | 0.00048438 / -0.000484382 |
