NUISANCE_PARAMETERS
#mu  0.00302842 +0.173251 -0.173251
ttZrad  -0.0676202 +0.976319 -0.976319
ttbarA14  -0.0465255 +0.9856 -0.9856
ttbarBottomMeson  0.0850327 +0.972868 -0.972868
ttbarFSR  0.301594 +0.885921 -0.885921
ttbarPDF  -0.000559295 +0.993051 -0.993051
ttbarPS  -0.0298208 +0.983357 -0.983357
ttbarPhotConv  -0.297763 +1.02079 -1.02079
ttbarXsec  -1.36714e-06 +0.993348 -0.993348
ttbarhdamp  -0.115702 +0.931944 -0.931944
gamma_stat_SBCR1_bin_0  1.00133 +0.0143598 -0.0143598
gamma_stat_SBCR1_bin_1  0.998033 +0.0124331 -0.0124331
gamma_stat_SBCR1_bin_2  0.999877 +0.0150563 -0.0150563
gamma_stat_SBCR1_bin_3  1.00317 +0.0177474 -0.0177474
gamma_stat_SBCR1_bin_4  1.00257 +0.020072 -0.020072
gamma_stat_SBCR1_bin_5  0.992345 +0.0302114 -0.0302114
gamma_stat_SBCR1_bin_6  0.998038 +0.0269818 -0.0269818
gamma_stat_SBCR1_bin_7  1.00366 +0.0349383 -0.0349383
gamma_stat_SBCR2_bin_0  1.01974 +0.054537 -0.054537
gamma_stat_SBCR2_bin_1  1.00493 +0.0614022 -0.0614022
gamma_stat_SBCR2_bin_2  1.00569 +0.051349 -0.051349
gamma_stat_SBCR2_bin_3  0.987342 +0.0503646 -0.0503646
gamma_stat_SBCR2_bin_4  0.983697 +0.0512108 -0.0512108
gamma_stat_SBCR2_bin_5  1.00158 +0.0509214 -0.0509214
gamma_stat_SBCR2_bin_6  1.02552 +0.0537553 -0.0537553
gamma_stat_SBCR2_bin_7  0.992313 +0.0434365 -0.0434365
gamma_stat_SR1_bin_0  0.999994 +0.00995629 -0.00995629
gamma_stat_SR1_bin_1  0.999995 +0.012779 -0.012779
gamma_stat_SR1_bin_2  0.999993 +0.0131865 -0.0131865
gamma_stat_SR1_bin_3  0.999992 +0.0196945 -0.0196945
gamma_stat_SR1_bin_4  0.999995 +0.0212025 -0.0212025
gamma_stat_SR1_bin_5  0.999995 +0.0219679 -0.0219679
gamma_stat_SR1_bin_6  0.999989 +0.0189624 -0.0189624
gamma_stat_SR1_bin_7  0.99999 +0.0203718 -0.0203718
gamma_stat_SR1_bin_8  0.999983 +0.0263228 -0.0263228
gamma_stat_SR1_bin_9  0.999985 +0.0206987 -0.0206987
gamma_stat_SR2_bin_0  1.00002 +0.0329695 -0.0329695
gamma_stat_SR2_bin_1  1.00001 +0.0250797 -0.0250797
gamma_stat_SR2_bin_2  1 +0.025481 -0.025481
gamma_stat_SR2_bin_3  1.00001 +0.0236135 -0.0236135
gamma_stat_SR2_bin_4  1.00001 +0.0251008 -0.0251008
gamma_stat_SR2_bin_5  1.00001 +0.0277372 -0.0277372
gamma_stat_SR2_bin_6  1.00001 +0.024085 -0.024085
gamma_stat_SR2_bin_7  1.00001 +0.0283434 -0.0283434
gamma_stat_SR2_bin_8  1.00001 +0.026962 -0.026962
gamma_stat_SR2_bin_9  1 +0.0196871 -0.0196871
gamma_stat_SR3_bin_0  0.999993 +0.017648 -0.017648
gamma_stat_SR3_bin_1  0.999991 +0.0187978 -0.0187978
gamma_stat_SR3_bin_2  0.999993 +0.0207008 -0.0207008
gamma_stat_SR3_bin_3  0.999993 +0.0206337 -0.0206337
gamma_stat_SR3_bin_4  0.999995 +0.0216536 -0.0216536
gamma_stat_SR3_bin_5  0.999993 +0.0294377 -0.0294377
gamma_stat_SR3_bin_6  0.999991 +0.0254085 -0.0254085
gamma_stat_SR3_bin_7  0.999989 +0.0295511 -0.0295511
gamma_stat_SR3_bin_8  0.99998 +0.0455827 -0.0455827
gamma_stat_SR3_bin_9  0.999981 +0.0374768 -0.0374768
gamma_stat_TTCR_bin_0  1.00843 +0.0407343 -0.0407343
gamma_stat_TTCR_bin_1  0.987466 +0.0378558 -0.0378558
gamma_stat_TTCR_bin_2  0.994832 +0.0363677 -0.0363677
gamma_stat_TTCR_bin_3  0.997128 +0.0408579 -0.0408579
gamma_stat_TTCR_bin_4  1.00797 +0.03886 -0.03886
gamma_stat_TTCR_bin_5  1.00923 +0.0376992 -0.0376992
gamma_stat_TTCR_bin_6  0.999707 +0.0312619 -0.0312619
gamma_stat_TTCR_bin_7  0.996873 +0.0300732 -0.0300732
gamma_stat_TTZCR_bin_0  1.00071 +0.018181 -0.018181
gamma_stat_TTZCR_bin_1  1.00107 +0.0172845 -0.0172845
gamma_stat_TTZCR_bin_2  1.00166 +0.0181252 -0.0181252
gamma_stat_TTZCR_bin_3  0.997645 +0.0162695 -0.0162695
gamma_stat_TTZCR_bin_4  0.999679 +0.0158047 -0.0158047
