NUISANCE_PARAMETERS
ttbarBottomMeson  0.083488 +0.97231 -0.97231
ttbarFSR  0.299738 +0.909323 -0.909323
ttbarPDF  -0.000565443 +0.993077 -0.993077
ttbarPS  -0.0306419 +0.993796 -0.993796
ttbarPhotConv  -0.285868 +1.0233 -1.0233
ttbarXsec  0 +0.993347 -0.993347
ttbarhdamp  -0.115433 +0.934557 -0.934557
gamma_stat_SBCR1_bin_0  1.00132 +0.0143718 -0.0143718
gamma_stat_SBCR1_bin_1  0.998022 +0.0124379 -0.0124379
gamma_stat_SBCR1_bin_2  0.999873 +0.0150617 -0.0150617
gamma_stat_SBCR1_bin_3  1.00323 +0.0177561 -0.0177561
gamma_stat_SBCR1_bin_4  1.00263 +0.0200817 -0.0200817
gamma_stat_SBCR1_bin_5  0.992475 +0.0302361 -0.0302361
gamma_stat_SBCR1_bin_6  0.998058 +0.026992 -0.026992
gamma_stat_SBCR1_bin_7  1.00376 +0.0349603 -0.0349603
gamma_stat_SBCR2_bin_0  1.01989 +0.0546108 -0.0546108
gamma_stat_SBCR2_bin_1  1.00478 +0.0614381 -0.0614381
gamma_stat_SBCR2_bin_2  1.00562 +0.0513766 -0.0513766
gamma_stat_SBCR2_bin_3  0.987292 +0.0503861 -0.0503861
gamma_stat_SBCR2_bin_4  0.983779 +0.0512353 -0.0512353
gamma_stat_SBCR2_bin_5  1.00151 +0.0509589 -0.0509589
gamma_stat_SBCR2_bin_6  1.0259 +0.0538051 -0.0538051
gamma_stat_SBCR2_bin_7  0.992293 +0.0434501 -0.0434501
gamma_stat_TTCR_bin_0  1.00867 +0.0407556 -0.0407556
gamma_stat_TTCR_bin_1  0.987724 +0.0378757 -0.0378757
gamma_stat_TTCR_bin_2  0.994845 +0.0363704 -0.0363704
gamma_stat_TTCR_bin_3  0.997096 +0.0408554 -0.0408554
gamma_stat_TTCR_bin_4  1.00812 +0.0388721 -0.0388721
gamma_stat_TTCR_bin_5  1.00942 +0.0377144 -0.0377144
gamma_stat_TTCR_bin_6  0.999682 +0.03126 -0.03126
gamma_stat_TTCR_bin_7  0.996856 +0.0300723 -0.0300723
gamma_stat_TTZCR_bin_0  1.00072 +0.018182 -0.018182
gamma_stat_TTZCR_bin_1  1.00109 +0.0172859 -0.0172859
gamma_stat_TTZCR_bin_2  1.00168 +0.0181272 -0.0181272
gamma_stat_TTZCR_bin_3  0.997642 +0.0162697 -0.0162697
gamma_stat_TTZCR_bin_4  0.999673 +0.0158049 -0.0158049
gamma_stat_TTZCR_bin_5  0.998748 +0.0160303 -0.0160303
gamma_stat_TTZCR_bin_6  1.00074 +0.0146691 -0.0146691
gamma_stat_TTZCR_bin_7  0.999441 +0.0146266 -0.0146266
