NUISANCE_PARAMETERS
#mu  0.00455549 +0.199889 -0.199889
ttZmuRmuF  0.0269993 +0.988492 -0.988492
ttZnorm  -0.332091 +0.738265 -0.738265
ttZrad  -0.0707071 +0.971882 -0.971882
ttbarA14  -0.0464379 +0.985503 -0.985503
ttbarBottomMeson  0.084852 +0.972557 -0.972557
ttbarFSR  0.301027 +0.887855 -0.887855
ttbarPDF  -0.000532452 +0.993053 -0.993053
ttbarPS  -0.0305505 +0.98307 -0.98307
ttbarPhotConv  -0.297273 +1.01994 -1.01994
ttbarXsec  -5.85247e-06 +0.993349 -0.993349
ttbarhdamp  -0.115924 +0.930545 -0.930545
gamma_stat_SBCR1_bin_0  1.00133 +0.0143601 -0.0143601
gamma_stat_SBCR1_bin_1  0.998027 +0.0124334 -0.0124334
gamma_stat_SBCR1_bin_2  0.999873 +0.0150568 -0.0150568
gamma_stat_SBCR1_bin_3  1.00317 +0.0177478 -0.0177478
gamma_stat_SBCR1_bin_4  1.00257 +0.0200724 -0.0200724
gamma_stat_SBCR1_bin_5  0.992352 +0.0302125 -0.0302125
gamma_stat_SBCR1_bin_6  0.998049 +0.0269826 -0.0269826
gamma_stat_SBCR1_bin_7  1.00369 +0.0349395 -0.0349395
gamma_stat_SBCR2_bin_0  1.01979 +0.0545351 -0.0545351
gamma_stat_SBCR2_bin_1  1.00497 +0.0614028 -0.0614028
gamma_stat_SBCR2_bin_2  1.00571 +0.0513496 -0.0513496
gamma_stat_SBCR2_bin_3  0.987352 +0.0503655 -0.0503655
gamma_stat_SBCR2_bin_4  0.983703 +0.0512114 -0.0512114
gamma_stat_SBCR2_bin_5  1.00158 +0.0509239 -0.0509239
gamma_stat_SBCR2_bin_6  1.02552 +0.0537556 -0.0537556
gamma_stat_SBCR2_bin_7  0.992315 +0.0434362 -0.0434362
gamma_stat_SR1_bin_0  0.999993 +0.00935431 -0.00935431
gamma_stat_SR1_bin_1  0.999996 +0.012142 -0.012142
gamma_stat_SR1_bin_2  0.999996 +0.011926 -0.011926
gamma_stat_SR1_bin_3  1 +0.0183279 -0.0183279
gamma_stat_SR1_bin_4  1 +0.0200271 -0.0200271
gamma_stat_SR1_bin_5  0.999994 +0.0191902 -0.0191902
gamma_stat_SR1_bin_6  0.999989 +0.017279 -0.017279
gamma_stat_SR1_bin_7  0.999988 +0.0186854 -0.0186854
gamma_stat_SR1_bin_8  0.999976 +0.0241354 -0.0241354
gamma_stat_SR1_bin_9  0.999977 +0.0194032 -0.0194032
gamma_stat_SR2_bin_0  1.00001 +0.0344479 -0.0344479
gamma_stat_SR2_bin_1  1.00001 +0.0254991 -0.0254991
gamma_stat_SR2_bin_2  1.00001 +0.0242561 -0.0242561
gamma_stat_SR2_bin_3  1.00002 +0.023245 -0.023245
gamma_stat_SR2_bin_4  1.00001 +0.0246875 -0.0246875
gamma_stat_SR2_bin_5  1.00001 +0.0272076 -0.0272076
gamma_stat_SR2_bin_6  1 +0.023579 -0.023579
gamma_stat_SR2_bin_7  0.999993 +0.0278636 -0.0278636
gamma_stat_SR2_bin_8  0.999996 +0.026421 -0.026421
gamma_stat_SR2_bin_9  0.999995 +0.019371 -0.019371
gamma_stat_SR3_bin_0  0.999992 +0.0217526 -0.0217526
gamma_stat_SR3_bin_1  0.999998 +0.0223895 -0.0223895
gamma_stat_SR3_bin_2  1 +0.0225256 -0.0225256
gamma_stat_SR3_bin_3  1 +0.0249032 -0.0249032
gamma_stat_SR3_bin_4  1 +0.0256584 -0.0256584
gamma_stat_SR3_bin_5  1.00001 +0.0374719 -0.0374719
gamma_stat_SR3_bin_6  1 +0.034736 -0.034736
gamma_stat_SR3_bin_7  0.999999 +0.0337745 -0.0337745
gamma_stat_SR3_bin_8  0.99999 +0.0789312 -0.0789312
gamma_stat_SR3_bin_9  0.999987 +0.0502878 -0.0502878
gamma_stat_TTCR_bin_0  1.00843 +0.0407337 -0.0407337
gamma_stat_TTCR_bin_1  0.987464 +0.0378556 -0.0378556
gamma_stat_TTCR_bin_2  0.994829 +0.0363679 -0.0363679
gamma_stat_TTCR_bin_3  0.997126 +0.0408577 -0.0408577
gamma_stat_TTCR_bin_4  1.00797 +0.03886 -0.03886
gamma_stat_TTCR_bin_5  1.00923 +0.0376992 -0.0376992
gamma_stat_TTCR_bin_6  0.999707 +0.0312618 -0.0312618
gamma_stat_TTCR_bin_7  0.996874 +0.0300733 -0.0300733
gamma_stat_TTZCR_bin_0  1.00071 +0.0181808 -0.0181808
gamma_stat_TTZCR_bin_1  1.00107 +0.0172842 -0.0172842
gamma_stat_TTZCR_bin_2  1.00166 +0.0181249 -0.0181249
gamma_stat_TTZCR_bin_3  0.997642 +0.0162693 -0.0162693
gamma_stat_TTZCR_bin_4  0.999676 +0.0158046 -0.0158046
gamma_stat_TTZCR_bin_5  0.998756 +0.0160303 -0.0160303
gamma_stat_TTZCR_bin_6  1.00074 +0.0146685 -0.0146685
gamma_stat_TTZCR_bin_7  0.999456 +0.0146269 -0.0146269
mu_ttbar_Wt  0.932154 +0.25328 -0.25328


CORRELATION_MATRIX
167   167
-0.00327615   0.000725347   0.000697994   0.000363273   0.000613299   0.000227074   -0.000526328   0.000114486   6.86665e-05   0.00239167   0.00253449   0.00191953   0.00158774   0.0014606   0.000544436   0.000118885   0.00024035   -0.0100411   -0.00884508   -0.00264673   -0.00079079   0.00246345   0.00270326   0.00436369   0.00485985   0.00480713   0.00394504   -0.0102234   -0.0060895   -0.0039931   0.000335169   0.00018264   0.00190856   0.00512357   0.00674815   0.010514   0.0132149   -0.0477098   -0.0430146   -0.0238916   -0.0171892   -0.0142187   -0.00446628   -0.00220608   -0.000968144   0.00220871   0.00120515   -0.00396117   -0.00229134   -0.00784069   -0.000929337   -0.00170646   -0.000397832   0.0013497   0.0106313   0.0086586   0.00999086   0.013604   0.0109755   0.0109395   0.012562   0.0108185   0.00431193   -0.00390984   -0.0019757   -0.0103779   0.0373996   0.00017374   -0.00998659   0.00175916   0.00109029   0.0840374   -0.0695845   0.0119291   -0.079857   0.00157785   -0.00139507   0.0420299   -0.155697   -0.0646428   0.00907263   1.5383e-05   -0.00381438   0.040845   -0.0309692   0.00094743   0.000491998   -0.00404915   -0.0036528   -0.0113291   -4.59763e-06   2.15158e-05   -0.00202214   0.00948285   1.61908e-06   2.08143e-06   0.000359302   0.000135725   -0.00197139   -0.00233533   -0.0123812   0.0106082   0.0218779   0.0102024   0.00494457   -0.0114268   -0.00695698   0.0168155   0.0355446   -0.0775909   0.075279   0.054681   -0.074194   -0.089813   0.06196   -0.00460338   -0.123364   0.000795679   -0.000480321   -3.21713e-06   -1.87276e-06   -0.0430285   0.000376175   -2.63582e-05   -2.60613e-06   0.00109563   0.0019793   0.00630787   -0.00127801   0.01382   -0.0233984   0.00011549   0.0229857   -0.00597656   0.0115434   0.0377825   0.0287276   0.00995347   0.0119841   0.0666881   0.0167952   0.0530146   0.0906892   0.0398572   0.000223537   0.0235266   0.00797129   -0.000301857   -0.00158147   -0.0071463   0.0573272   0.00166395   -0.00801394   0.00339713   0.00453876   -0.00560508   -0.00302523   -0.0087825   0.052865   0.00952244   -1.03062e-07   0.000683866   -0.0298284   -0.0262249   -0.00809169   0.00428954   1   
