 |       | t#bar{t}Z      | tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}      | Wt      | Z+jets      | VH      | t#bar{t}WW      | VVV      | 4 tops      | 3 tops      | t#bar{t}Z (2l)      | VV (2l)      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | stat_SR2_bin_0 | 0.00163351 / -0.00163351 | 0.00216371 / -0.00216371 | 0.00409709 / -0.00409709 | 0.00289153 / -0.00289153 | 0.00848231 / -0.00848231 | 0.00658512 / -0.00658512 | 0.00323753 / -0.00323753 | 0.0033369 / -0.0033369 | 0.00605433 / -0.00605433 | 0.00516467 / -0.00516467 | 0.00391263 / -0.00391263 | 1.20662e-06 / -1.20662e-06 | 0.00675018 / -0.00675018 | 0.0055651 / -0.0055651 | 3.05224e-05 / -3.05224e-05 | 3.54448e-06 / -3.54448e-06 | 1.1114e-07 / -1.1114e-07 | 0.000732373 / -0.000732373 | 0.00152693 / -0.00152693 |
 | stat_SR2_bin_1 | 0.00166787 / -0.00166787 | 0.00195095 / -0.00195095 | 0.00361755 / -0.00361755 | 0.00350402 / -0.00350402 | 0.00458129 / -0.00458129 | 0.00407971 / -0.00407971 | 0.00258369 / -0.00258369 | 0.00386957 / -0.00386957 | 0.00460665 / -0.00460665 | 0.00460292 / -0.00460292 | 0.00213728 / -0.00213728 | 9.19985e-07 / -9.19985e-07 | 0.00348531 / -0.00348531 | 0.00574825 / -0.00574825 | 2.32717e-05 / -2.32717e-05 | 0.0250656 / -0.0250656 | 0.00462694 / -0.00462694 | 0.000886368 / -0.000886368 | 0.00185331 / -0.00185331 |
 | stat_SR2_bin_2 | 0.00174246 / -0.00174246 | 0.00181912 / -0.00181912 | 0.00349026 / -0.00349026 | 0.00396769 / -0.00396769 | 0.00317341 / -0.00317341 | 0.00319695 / -0.00319695 | 0.00284205 / -0.00284205 | 0.00336325 / -0.00336325 | 0.00443605 / -0.00443605 | 0.00427868 / -0.00427868 | 0.00574369 / -0.00574369 | 0.00708736 / -0.00708736 | 0.00231585 / -0.00231585 | 0.00190292 / -0.00190292 | 0.00732773 / -0.00732773 | 2.74711e-06 / -2.74711e-06 | 0.00262117 / -0.00262117 | 0.00108055 / -0.00108055 | 0.00246228 / -0.00246228 |
 | stat_SR2_bin_3 | 0.00218002 / -0.00218002 | 0.00229171 / -0.00229171 | 0.00398014 / -0.00398014 | 0.00349096 / -0.00349096 | 0.00225723 / -0.00225723 | 0.0027485 / -0.0027485 | 0.00322655 / -0.00322655 | 0.00369444 / -0.00369444 | 0.00717558 / -0.00717558 | 0.00371199 / -0.00371199 | 7.6016e-09 / -7.6016e-09 | 8.88922e-07 / -8.88922e-07 | 0.0023417 / -0.0023417 | 0.00434862 / -0.00434862 | 0.00901879 / -0.00901879 | 2.61123e-06 / -2.61123e-06 | 0.00168357 / -0.00168357 | 0.00135992 / -0.00135992 | 0.00258236 / -0.00258236 |
 | stat_SR2_bin_4 | 0.00216515 / -0.00216515 | 0.00233788 / -0.00233788 | 0.00356898 / -0.00356898 | 0.00297497 / -0.00297497 | 0.00217968 / -0.00217968 | 0.00227139 / -0.00227139 | 0.00299388 / -0.00299388 | 0.00358697 / -0.00358697 | 3.23298e-08 / -3.23298e-08 | 0.00242648 / -0.00242648 | 0.0028653 / -0.0028653 | 9.26853e-07 / -9.26853e-07 | 0.00271218 / -0.00271218 | 8.32072e-06 / -8.32072e-06 | 2.34455e-05 / -2.34455e-05 | 2.72265e-06 / -2.72265e-06 | 0.00152144 / -0.00152144 | 0.00152217 / -0.00152217 | 0.00287527 / -0.00287527 |
 | stat_SR2_bin_5 | 0.00300907 / -0.00300907 | 0.00356831 / -0.00356831 | 0.00358024 / -0.00358024 | 0.00337426 / -0.00337426 | 0.00214363 / -0.00214363 | 0.00236261 / -0.00236261 | 0.00308813 / -0.00308813 | 0.00359981 / -0.00359981 | 3.56989e-08 / -3.56989e-08 | 0.00179704 / -0.00179704 | 0.00366469 / -0.00366469 | 0.00107283 / -0.00107283 | 0.0033464 / -0.0033464 | 0.00846053 / -0.00846053 | 2.58887e-05 / -2.58887e-05 | 3.00638e-06 / -3.00638e-06 | 0.00562004 / -0.00562004 | 0.00227708 / -0.00227708 | 0.00351699 / -0.00351699 |
 | stat_SR2_bin_6 | 0.00309901 / -0.00309901 | 0.0030264 / -0.0030264 | 0.0020105 / -0.0020105 | 0.00232927 / -0.00232927 | 0.00164546 / -0.00164546 | 0.00199167 / -0.00199167 | 0.00248661 / -0.00248661 | 0.00244764 / -0.00244764 | 0.00407555 / -0.00407555 | 0.00306629 / -0.00306629 | 7.8646e-09 / -7.8646e-09 | 9.19677e-07 / -9.19677e-07 | 0.00227042 / -0.00227042 | 0.00108768 / -0.00108768 | 2.32639e-05 / -2.32639e-05 | 2.70157e-06 / -2.70157e-06 | 0.00172433 / -0.00172433 | 0.00250507 / -0.00250507 | 0.00312798 / -0.00312798 |
 | stat_SR2_bin_7 | 0.00400179 / -0.00400179 | 0.00333642 / -0.00333642 | 0.00142882 / -0.00142882 | 0.00214715 / -0.00214715 | 0.00145042 / -0.00145042 | 0.00202554 / -0.00202554 | 0.00244541 / -0.00244541 | 0.0017747 / -0.0017747 | 3.65773e-08 / -3.65773e-08 | 0.000406395 / -0.000406395 | 0.00531125 / -0.00531125 | 0.0195456 / -0.0195456 | 0.00208977 / -0.00208977 | 9.41389e-06 / -9.41389e-06 | 0.0095574 / -0.0095574 | 3.08035e-06 / -3.08035e-06 | 9.65869e-08 / -9.65869e-08 | 0.00367649 / -0.00367649 | 0.00359963 / -0.00359963 |
 | stat_SR2_bin_8 | 0.00389909 / -0.00389909 | 0.003748 / -0.003748 | 0.000624268 / -0.000624268 | 0.00137149 / -0.00137149 | 0.00112124 / -0.00112124 | 0.00127708 / -0.00127708 | 0.00230686 / -0.00230686 | 0.000455609 / -0.000455609 | 3.49396e-08 / -3.49396e-08 | 0.00114426 / -0.00114426 | 0.00383444 / -0.00383444 | 1.00167e-06 / -1.00167e-06 | 0.00123548 / -0.00123548 | 8.9924e-06 / -8.9924e-06 | 2.53381e-05 / -2.53381e-05 | 2.94243e-06 / -2.94243e-06 | 0.00600423 / -0.00600423 | 0.00513278 / -0.00513278 | 0.00318534 / -0.00318534 |
 | stat_SR2_bin_9 | 0.00377814 / -0.00377814 | 0.00287284 / -0.00287284 | 0.000235776 / -0.000235776 | 0.000485293 / -0.000485293 | 0.000651342 / -0.000651342 | 0.000812266 / -0.000812266 | 0.00167804 / -0.00167804 | 0.000387528 / -0.000387528 | 3.83542e-08 / -3.83542e-08 | 2.54247e-09 / -2.54247e-09 | 9.4029e-09 / -9.4029e-09 | 1.09956e-06 / -1.09956e-06 | 0.000976672 / -0.000976672 | 9.87121e-06 / -9.87121e-06 | 2.78143e-05 / -2.78143e-05 | 3.22999e-06 / -3.22999e-06 | 0.00279798 / -0.00279798 | 0.00857259 / -0.00857259 | 0.00209186 / -0.00209186 |
