 |       | t#bar{t}Z      | tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}      | Wt      | Z+jets      | VH      | t#bar{t}WW      | VVV      | 4 tops      | 3 tops      | t#bar{t}Z (2l)      | VV (2l)      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | stat_SR1_bin_0 | 0.00216638 / -0.00216638 | 0.00211303 / -0.00211303 | 0.00219254 / -0.00219254 | 0.00226006 / -0.00226006 | 0.00261218 / -0.00261218 | 0.00257187 / -0.00257187 | 0.00066062 / -0.00066062 | 0.0013119 / -0.0013119 | 0.0013724 / -0.0013724 | 1.13185e-09 / -1.13185e-09 | 9.39679e-09 / -9.39679e-09 | 0.00388936 / -0.00388936 | 0.00413418 / -0.00413418 | 0.00441814 / -0.00441814 | 0.00448942 / -0.00448942 | 0.00171104 / -0.00171104 | 0.00047358 / -0.00047358 | 0.000394499 / -0.000394499 | 0.000160799 / -0.000160799 |
 | stat_SR1_bin_1 | 0.00256986 / -0.00256986 | 0.00223089 / -0.00223089 | 0.00273778 / -0.00273778 | 0.00282596 / -0.00282596 | 0.00208354 / -0.00208354 | 0.00226801 / -0.00226801 | 0.00127538 / -0.00127538 | 0.00206472 / -0.00206472 | 0.00435173 / -0.00435173 | 0.00140697 / -0.00140697 | 1.15292e-08 / -1.15292e-08 | 0.00139609 / -0.00139609 | 0.00253878 / -0.00253878 | 0.00329939 / -0.00329939 | 0.00343471 / -0.00343471 | 2.9651e-07 / -2.9651e-07 | 0.00146543 / -0.00146543 | 0.000904085 / -0.000904085 | 0.000542426 / -0.000542426 |
 | stat_SR1_bin_2 | 0.00230895 / -0.00230895 | 0.0018615 / -0.0018615 | 0.00184575 / -0.00184575 | 0.00223095 / -0.00223095 | 0.00168367 / -0.00168367 | 0.00186402 / -0.00186402 | 0.0015701 / -0.0015701 | 0.00220412 / -0.00220412 | 2.06981e-08 / -2.06981e-08 | 0.000646361 / -0.000646361 | 1.2198e-08 / -1.2198e-08 | 0.00232973 / -0.00232973 | 0.0014218 / -0.0014218 | 0.00154611 / -0.00154611 | 0.00165976 / -0.00165976 | 3.13709e-07 / -3.13709e-07 | 0.000917766 / -0.000917766 | 0.00159997 / -0.00159997 | 0.000881027 / -0.000881027 |
 | stat_SR1_bin_3 | 0.00238001 / -0.00238001 | 0.00228495 / -0.00228495 | 0.00169511 / -0.00169511 | 0.00230018 / -0.00230018 | 0.00217006 / -0.00217006 | 0.00214973 / -0.00214973 | 0.00259086 / -0.00259086 | 0.00256389 / -0.00256389 | 2.80906e-08 / -2.80906e-08 | 0.00338133 / -0.00338133 | 0.0069912 / -0.0069912 | 0.00190631 / -0.00190631 | 0.00146138 / -0.00146138 | 0.00158166 / -0.00158166 | 0.0012721 / -0.0012721 | 4.25753e-07 / -4.25753e-07 | 0.00219217 / -0.00219217 | 0.00300899 / -0.00300899 | 0.00157399 / -0.00157399 |
 | stat_SR1_bin_4 | 0.00207964 / -0.00207964 | 0.00221591 / -0.00221591 | 0.0019061 / -0.0019061 | 0.00192845 / -0.00192845 | 0.00191665 / -0.00191665 | 0.00206197 / -0.00206197 | 0.00282503 / -0.00282503 | 0.00245399 / -0.00245399 | 3.02434e-08 / -3.02434e-08 | 0.00467264 / -0.00467264 | 0.00708463 / -0.00708463 | 0.00159717 / -0.00159717 | 0.00145474 / -0.00145474 | 0.0014415 / -0.0014415 | 0.000902022 / -0.000902022 | 4.58382e-07 / -4.58382e-07 | 0.00781093 / -0.00781093 | 0.00313733 / -0.00313733 | 0.00204858 / -0.00204858 |
 | stat_SR1_bin_5 | 0.00180893 / -0.00180893 | 0.00194192 / -0.00194192 | 0.00163739 / -0.00163739 | 0.00153074 / -0.00153074 | 0.00189566 / -0.00189566 | 0.00196762 / -0.00196762 | 0.00279762 / -0.00279762 | 0.00195122 / -0.00195122 | 0.00894846 / -0.00894846 | 0.00423284 / -0.00423284 | 1.96435e-08 / -1.96435e-08 | 0.00248026 / -0.00248026 | 0.0017128 / -0.0017128 | 0.00115316 / -0.00115316 | 0.000817735 / -0.000817735 | 5.05192e-07 / -5.05192e-07 | 0.00229435 / -0.00229435 | 0.00369734 / -0.00369734 | 0.0027366 / -0.0027366 |
 | stat_SR1_bin_6 | 0.00131274 / -0.00131274 | 0.00149589 / -0.00149589 | 0.00125253 / -0.00125253 | 0.00109995 / -0.00109995 | 0.00190242 / -0.00190242 | 0.00139574 / -0.00139574 | 0.00242924 / -0.00242924 | 0.00179215 / -0.00179215 | 0.00382005 / -0.00382005 | 0.00102762 / -0.00102762 | 1.78209e-08 / -1.78209e-08 | 0.001134 / -0.001134 | 0.000772139 / -0.000772139 | 0.000486238 / -0.000486238 | 0.000326863 / -0.000326863 | 4.58318e-07 / -4.58318e-07 | 0.00156048 / -0.00156048 | 0.00272264 / -0.00272264 | 0.0026026 / -0.0026026 |
 | stat_SR1_bin_7 | 0.00110005 / -0.00110005 | 0.00140742 / -0.00140742 | 0.00160079 / -0.00160079 | 0.00110283 / -0.00110283 | 0.00158239 / -0.00158239 | 0.00138331 / -0.00138331 | 0.00228968 / -0.00228968 | 0.00182254 / -0.00182254 | 3.27923e-08 / -3.27923e-08 | 0.00231919 / -0.00231919 | 1.93255e-08 / -1.93255e-08 | 0.000860417 / -0.000860417 | 0.000987732 / -0.000987732 | 0.000522794 / -0.000522794 | 0.00116891 / -0.00116891 | 0.0104221 / -0.0104221 | 0.0020854 / -0.0020854 | 0.00231234 / -0.00231234 | 0.00312065 / -0.00312065 |
 | stat_SR1_bin_8 | 0.000948567 / -0.000948567 | 0.00150025 / -0.00150025 | 0.00165984 / -0.00165984 | 0.00116844 / -0.00116844 | 0.00103865 / -0.00103865 | 0.00111087 / -0.00111087 | 0.00221796 / -0.00221796 | 0.00148823 / -0.00148823 | 3.76522e-08 / -3.76522e-08 | 0.00300424 / -0.00300424 | 0.00829101 / -0.00829101 | 0.00062609 / -0.00062609 | 0.000992427 / -0.000992427 | 1.75301e-07 / -1.75301e-07 | 0.00034728 / -0.00034728 | 0.0104717 / -0.0104717 | 0.000281062 / -0.000281062 | 0.00179492 / -0.00179492 | 0.00404884 / -0.00404884 |
 | stat_SR1_bin_9 | 0.000560505 / -0.000560505 | 0.000832926 / -0.000832926 | 0.00114566 / -0.00114566 | 0.000641078 / -0.000641078 | 0.000590117 / -0.000590117 | 0.00055375 / -0.00055375 | 0.00161887 / -0.00161887 | 0.000908479 / -0.000908479 | 3.83548e-08 / -3.83548e-08 | 0.000530222 / -0.000530222 | 2.26036e-08 / -2.26036e-08 | 6.93264e-08 / -6.93264e-08 | 0.000461451 / -0.000461451 | 0.000470279 / -0.000470279 | 0.000408574 / -0.000408574 | 5.81321e-07 / -5.81321e-07 | 0.00101902 / -0.00101902 | 0.0009616 / -0.0009616 | 0.0049224 / -0.0049224 |
 | #mu | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 1115.05 / -1115.05 | 1115.05 / -1115.05 |
