 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.00322382 / 0.0032237 | -0.00120609 / 0.00120608 | -0.00419227 / 0.00419208 | 0.00438042 / -0.00438063 | -0.000890934 / 0.000890925 | -0.00145938 / 0.00145936 | -0.00304885 / 0.00304875 | -0.00145281 / 0.00145278 | 0.0258003 / -0.025807 | -nan / -nan | -nan / -nan |
 | jvt | 0.00215865 / -0.00215868 | 0.00253928 / -0.00253933 | 0.000685838 / -0.000685841 | 0.00322707 / -0.00322714 | 0.00346475 / -0.00346483 | 0.00248886 / -0.0024889 | 0.00310863 / -0.0031087 | 0.00554744 / -0.00554764 | 0.00393438 / -0.00393449 | -nan / -nan | -nan / -nan |
 | EL_SF_Trigger | 0.000134855 / -0.000134855 | 0.000186275 / -0.000186276 | 0.00018912 / -0.00018912 | 0.000164835 / -0.000164836 | 0.000159921 / -0.000159921 | 0.00016741 / -0.00016741 | 0.000310245 / -0.000310245 | 0.000263634 / -0.000263634 | 9.57255e-05 / -9.57256e-05 | -nan / -nan | -nan / -nan |
 | EL_SF_Reco | 0.00240687 / -0.00240691 | 0.00238764 / -0.00238768 | 0.00266851 / -0.00266856 | 0.00250497 / -0.00250501 | 0.00238719 / -0.00238723 | 0.00243181 / -0.00243185 | 0.00437066 / -0.00437078 | 0.00439257 / -0.00439269 | 0.00276098 / -0.00276103 | -nan / -nan | -nan / -nan |
 | EL_SF_ID | 0.0132763 / -0.0132787 | 0.0146113 / -0.0146141 | 0.015023 / -0.0150261 | 0.0134676 / -0.01347 | 0.0133279 / -0.0133303 | 0.0139283 / -0.0139309 | 0.0256941 / -0.0257031 | 0.035213 / -0.03523 | 0.0118891 / -0.011891 | -nan / -nan | -nan / -nan |
 | EL_SF_Isol | 0.0191319 / -0.0191378 | 0.0178513 / -0.0178565 | 0.0183027 / -0.0183082 | 0.0169324 / -0.0169371 | 0.0165765 / -0.016581 | 0.0176658 / -0.0176709 | 0.0183623 / -0.0183677 | 0.0188363 / -0.018842 | 0.0132569 / -0.0132597 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_STAT | 0.000236209 / -0.000236209 | 0.000242694 / -0.000242694 | 0.000276859 / -0.00027686 | 0.000229581 / -0.000229581 | 0.000244388 / -0.000244388 | 0.00025617 / -0.000256171 | 0.000363078 / -0.000363079 | 0.000518297 / -0.000518298 | 0.00013272 / -0.00013272 | -nan / -nan | -nan / -nan |
 | MU_SF_Trigger_SYST | -0.000526366 / 0.000526364 | -0.000632447 / 0.000632444 | -0.000655281 / 0.000655278 | -0.000521055 / 0.000521053 | -0.000540742 / 0.00054074 | -0.000630474 / 0.000630471 | -0.000900643 / 0.000900638 | -0.00186046 / 0.00186044 | -0.000421685 / 0.000421684 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT | 0.00090342 / -0.000903425 | 0.000933699 / -0.000933705 | 0.000897791 / -0.000897796 | 0.000866218 / -0.000866223 | 0.000898145 / -0.00089815 | 0.000892847 / -0.000892852 | 0.000773334 / -0.000773338 | 0.000901616 / -0.000901621 | 0.000631106 / -0.000631108 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST | 0.00330834 / -0.00330842 | 0.00296341 / -0.00296347 | 0.0027282 / -0.00272825 | 0.00325148 / -0.00325155 | 0.00330093 / -0.003301 | 0.00286254 / -0.0028626 | 0.00249089 / -0.00249093 | 0.00260919 / -0.00260924 | 0.00289079 / -0.00289084 | -nan / -nan | -nan / -nan |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_STAT | 0.00851029 / -0.00851076 | 0.0077164 / -0.0077168 | 0.002764 / -0.00276405 | 0.00694937 / -0.00694969 | 0.00694934 / -0.00694966 | 0.00296826 / -0.00296832 | 0.00656194 / -0.00656222 | 0.00276584 / -0.00276589 | 0.00963919 / -0.0096398 | -nan / -nan | -nan / -nan |
 | MU_SF_Isol_SYST | 0.0204156 / -0.0204178 | 0.0227552 / -0.022758 | 0.0166518 / -0.0166533 | 0.02066 / -0.0206623 | 0.0202755 / -0.0202777 | 0.016409 / -0.0164103 | 0.022909 / -0.0229118 | 0.0194396 / -0.0194416 | 0.0190864 / -0.0190883 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_STAT | 0.000538617 / -0.000538619 | 0.000460808 / -0.00046081 | 0.000457624 / -0.000457625 | 0.000501777 / -0.000501779 | 0.000521142 / -0.000521144 | 0.000455615 / -0.000455617 | 0.000396807 / -0.000396808 | 0.000421847 / -0.000421848 | 0.000364553 / -0.000364554 | -nan / -nan | -nan / -nan |
 | MU_SF_TTVA_SYST | 0.000655439 / -0.000655442 | 0.000517693 / -0.000517694 | 0.000497451 / -0.000497453 | 0.000579639 / -0.000579642 | 0.000607982 / -0.000607984 | 0.000513391 / -0.000513393 | 0.000391765 / -0.000391766 | 0.000421812 / -0.000421813 | 0.000350182 / -0.000350182 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_0 | 0.00858439 / -0.00858634 | 0.0192431 / -0.019253 | 0.014881 / -0.0148869 | 5.93777e-05 / -5.93778e-05 | -0.00471559 / 0.00471501 | -0.000662432 / 0.000662421 | -0.00369684 / 0.00369648 | -0.00913605 / 0.00913386 | 0.00135171 / -0.00135176 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_1 | 0.0013506 / -0.00135061 | 0.00510249 / -0.00510266 | 0.00330338 / -0.00330345 | -6.83523e-06 / 6.83523e-06 | -0.0013054 / 0.00130538 | -0.0019041 / 0.00190407 | -0.0023028 / 0.00230277 | -0.00142498 / 0.00142497 | 0.00159588 / -0.0015959 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_2 | -0.00125758 / 0.00125757 | -0.00390514 / 0.00390503 | -0.00280894 / 0.00280889 | 5.94697e-06 / -5.94697e-06 | 0.00078582 / -0.000785824 | 0.00103709 / -0.0010371 | 0.00197044 / -0.00197046 | 0.00124412 / -0.00124413 | -0.000269489 / 0.000269489 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_3 | 0.000332741 / -0.000332742 | 0.000509172 / -0.000509174 | 0.000208779 / -0.000208779 | -3.22134e-06 / 3.22134e-06 | -0.000165828 / 0.000165828 | 0.000254157 / -0.000254158 | -7.57744e-05 / 7.57743e-05 | -0.000319471 / 0.000319471 | -0.000526085 / 0.000526083 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_4 | 1.43788e-05 / -1.43788e-05 | 0.000164124 / -0.000164124 | 0.000117598 / -0.000117598 | 5.75007e-07 / -5.75007e-07 | 5.09274e-06 / -5.09274e-06 | -7.01708e-05 / 7.01708e-05 | -0.000122827 / 0.000122827 | 0.000148723 / -0.000148723 | 2.08599e-05 / -2.08599e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_5 | -4.13695e-06 / 4.13695e-06 | -2.84819e-05 / 2.84819e-05 | -6.74322e-07 / 6.74322e-07 | -1.29564e-07 / 1.29564e-07 | -4.22971e-06 / 4.22971e-06 | -9.42197e-07 / 9.42197e-07 | -2.04702e-06 / 2.04702e-06 | -5.06074e-05 / 5.06074e-05 | 1.46338e-05 / -1.46338e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_6 | -1.95666e-07 / 1.95666e-07 | -2.13347e-06 / 2.13347e-06 | -1.84259e-06 / 1.84259e-06 | 1.88215e-08 / -1.88215e-08 | 1.83201e-08 / -1.83201e-08 | 3.24619e-07 / -3.24619e-07 | 6.27201e-07 / -6.27201e-07 | 1.96667e-06 / -1.96667e-06 | -6.64571e-06 / 6.64571e-06 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_7 | 1.24558e-07 / -1.24558e-07 | 7.09351e-07 / -7.09351e-07 | 8.51489e-09 / -8.51489e-09 | -1.5181e-09 / 1.5181e-09 | -3.55238e-08 / 3.55238e-08 | -2.96341e-08 / 2.96341e-08 | 2.73695e-07 / -2.73695e-07 | 1.01451e-07 / -1.01451e-07 | 3.00561e-07 / -3.00561e-07 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_B_8 | 1.93018e-09 / -1.93018e-09 | -1.50106e-08 / 1.50106e-08 | -4.60903e-09 / 4.60903e-09 | -3.62591e-11 / 3.62593e-11 | 4.73148e-09 / -4.73148e-09 | -6.40182e-09 / 6.40182e-09 | 8.07953e-10 / -8.07953e-10 | -3.29287e-08 / 3.29287e-08 | -3.10501e-08 / 3.10501e-08 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_0 | 0.00230861 / -0.00230857 | 0.000888853 / -0.000888847 | 0.00277449 / -0.00277443 | -0.00702887 / 0.0070292 | -0.0276585 / 0.0276626 | 0.000551024 / -0.000551022 | 0.000379566 / -0.000379565 | -0.015985 / 0.0159865 | -0.0217646 / 0.0217673 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_1 | 4.07459e-05 / -4.07459e-05 | -1.55992e-05 / 1.55992e-05 | 4.46143e-05 / -4.46144e-05 | 0.000384893 / -0.000384894 | -0.00297284 / 0.00297279 | 4.17627e-05 / -4.17627e-05 | 2.35636e-05 / -2.35637e-05 | -0.000240349 / 0.000240349 | -0.00245817 / 0.00245814 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_2 | -0.000125374 / 0.000125374 | -1.1313e-05 / 1.1313e-05 | -0.000113892 / 0.000113892 | 0.000168598 / -0.000168599 | 0.00125 / -0.00125001 | -4.46079e-05 / 4.46079e-05 | 1.51959e-06 / -1.51959e-06 | 0.00128731 / -0.00128732 | 0.00265711 / -0.00265716 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_C_3 | 3.79815e-05 / -3.79815e-05 | 6.34601e-06 / -6.34601e-06 | 3.77405e-05 / -3.77405e-05 | -0.000119427 / 0.000119427 | -0.000336949 / 0.000336948 | 1.11203e-05 / -1.11203e-05 | 2.85423e-05 / -2.85423e-05 | -0.000259873 / 0.000259873 | -2.40769e-05 / 2.40769e-05 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_0 | 0.00144154 / -0.00144149 | 0.000767256 / -0.000767241 | 0.000983148 / -0.000983124 | -0.123078 / 0.123288 | -0.00173705 / 0.00173713 | 0.000493194 / -0.000493188 | 0.00169482 / -0.00169475 | 0.00179249 / -0.00179241 | -0.00444531 / 0.00444579 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_1 | -0.000192103 / 0.000192103 | 2.9743e-05 / -2.9743e-05 | -1.95115e-05 / 1.95115e-05 | 0.00724939 / -0.0072497 | 0.000171926 / -0.000171926 | -2.08939e-05 / 2.08939e-05 | -0.000317529 / 0.000317528 | -0.000410476 / 0.000410475 | 0.000366688 / -0.000366689 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_2 | -3.78902e-05 / 3.78902e-05 | -7.52903e-05 / 7.52903e-05 | -7.13939e-05 / 7.13938e-05 | -0.00160127 / 0.00160125 | -6.11488e-05 / 6.11488e-05 | -6.02968e-05 / 6.02968e-05 | 8.00216e-05 / -8.00216e-05 | 5.35532e-05 / -5.35532e-05 | -0.000186735 / 0.000186734 | -nan / -nan | -nan / -nan |
 | bTagSF_eigenvars_Light_3 | 3.20226e-05 / -3.20226e-05 | 9.27255e-06 / -9.27255e-06 | 4.16133e-05 / -4.16133e-05 | -0.00252869 / 0.00252864 | -7.42979e-06 / 7.42979e-06 | 2.59332e-05 / -2.59332e-05 | 1.84396e-06 / -1.84396e-06 | 1.15009e-05 / -1.15009e-05 | -0.000171007 / 0.000171007 | -nan / -nan | -nan / -nan |
 | EG_RESOLUTION_ALL | -1.24886e-05 / 1.24791e-05 | -0.00136378 / 0.0013638 | 0.00154387 / -0.00154383 | 0.000591215 / -0.000591249 | 1.89827e-05 / -1.89655e-05 | -0.000160906 / 0.000160913 | -0.0043399 / 0.00433983 | -0.00416573 / 0.00416571 | 0.00434157 / -0.00434162 | -nan / -nan | -nan / -nan |
 | EG_SCALE_ALL | -0.000623309 / 0.000623297 | 0.00277024 / -0.00277026 | 0.000876001 / -0.000876037 | -0.000668371 / 0.000668401 | 0.000132983 / -0.000132966 | 0.000650598 / -0.000650594 | 0.00385398 / -0.00385412 | 0.036311 / -0.0363189 | 0.0690553 / -0.0690817 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_BJES_Response | 0.000169062 / -0.000169072 | 0.00624378 / -0.00624405 | -0.000315739 / 0.000315707 | 0.000159537 / -0.000159503 | 0.00407528 / -0.00407539 | 0.00310128 / -0.00310135 | 0.00315735 / -0.00315738 | 0.018235 / -0.0182374 | -0.000485535 / 0.000485519 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_1 | 0.00368161 / -0.00368178 | 0.00799031 / -0.00799104 | 0.0056117 / -0.00561211 | 0.0173318 / -0.0173353 | 0.0109294 / -0.0109308 | 0.0082292 / -0.00822999 | 0.00654469 / -0.00654514 | 0.0240266 / -0.0240333 | 0.0690961 / -0.0691479 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_2 | -0.00207162 / 0.0020716 | -0.00408175 / 0.00408174 | -0.00154055 / 0.00154052 | -0.00551866 / 0.00551863 | -0.00315413 / 0.00315403 | -0.00230092 / 0.00230091 | -0.000359384 / 0.000359434 | -0.00726691 / 0.00726681 | -0.00386951 / 0.00386947 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_3 | 0.000823708 / -0.000823718 | 0.000561805 / -0.00056178 | 0.000426571 / -0.000426527 | 0.0021318 / -0.00213177 | 0.00135651 / -0.0013565 | 0.00146419 / -0.00146419 | 0.00137291 / -0.00137296 | 2.77729e-06 / -2.77038e-06 | 0.000705122 / -0.000705137 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_4 | -0.000241818 / 0.000241808 | -0.000486434 / 0.000486377 | -0.000208497 / 0.000208465 | -0.000810264 / 0.000810293 | -0.000742811 / 0.000742825 | -0.00066562 / 0.000665624 | -0.000990391 / 0.000990345 | 2.35957e-06 / -2.35246e-06 | -0.000833068 / 0.000833049 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_5 | -6.02798e-06 / 6.10821e-06 | -3.65522e-05 / 3.65779e-05 | 0.000295506 / -0.00029546 | -1.1585e-05 / 1.15516e-05 | 8.04302e-05 / -8.0413e-05 | 0.000102252 / -0.000102245 | -1.05577e-05 / 1.06083e-05 | 1.00074e-06 / -9.93612e-07 | -1.03494e-05 / 1.03347e-05 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8 | 2.10733e-05 / -2.10828e-05 | 3.75561e-05 / -3.75306e-05 | 0.000219071 / -0.000219102 | 6.90052e-05 / -6.90383e-05 | -5.99083e-05 / 5.99254e-05 | 8.90372e-05 / -8.90306e-05 | 1.02201e-05 / -1.02607e-05 | -1.17254e-06 / 1.17961e-06 | 0.000106207 / -0.000106221 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_7 | 1.79417e-06 / -1.80383e-06 | -2.23334e-05 / 2.23592e-05 | -0.000217953 / 0.000217921 | -0.000162586 / 0.000162552 | -5.63663e-05 / 5.63836e-05 | -4.08582e-05 / 4.08649e-05 | -1.1115e-05 / 1.1074e-05 | 2.81577e-06 / -2.80864e-06 | -3.32879e-06 / 3.31405e-06 | -nan / -nan | -nan / -nan |
 | GlobalReduction_JET_EffectiveNP_8restTerm | 5.96239e-05 / -5.96335e-05 | 0.000456814 / -0.000456789 | 3.81495e-05 / -3.81034e-05 | 0.000356765 / -0.000356799 | 8.93595e-05 / -8.94477e-05 | 2.94192e-05 / -2.94126e-05 | -1.082e-05 / 1.07793e-05 | -1.989e-06 / 1.99608e-06 | 1.19584e-05 / -1.1973e-05 | -nan / -nan | -nan / -nan |
