 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00837246 / -0.00837246 | 0.014522 / -0.014522 | 0.0114571 / -0.0114571 | -3.96978e-05 / 3.96978e-05 | 0.000533023 / -0.000533023 | 0.00715751 / -0.00715751 | 0.00706319 / -0.00706319 | 0.00255352 / -0.00255352 | 0.0127255 / -0.0127255 | -0.00424541 / 0.00424541 | -0.00371185 / 0.00371185 |
 | bTagSF_eigenvars_B_2 | -0.00436724 / 0.00436724 | -0.00806525 / 0.00806525 | -0.00628417 / 0.00628417 | 3.65867e-05 / -3.65867e-05 | 2.32833e-05 / -2.32833e-05 | -0.00384017 / 0.00384017 | -0.00418243 / 0.00418243 | -0.00347138 / 0.00347138 | -0.00517916 / 0.00517916 | 0.00195987 / -0.00195987 | 0.00281839 / -0.00281839 |
 | bTagSF_eigenvars_B_3 | -0.000351989 / 0.000351989 | -0.000199036 / 0.000199036 | -0.000539092 / 0.000539092 | -2.14888e-05 / 2.14888e-05 | -0.000172084 / 0.000172084 | -0.000348322 / 0.000348322 | -0.000539502 / 0.000539502 | 0.00197138 / -0.00197138 | -0.000161481 / 0.000161481 | 0.000180324 / -0.000180324 | -0.00015156 / 0.00015156 |
 | bTagSF_eigenvars_B_4 | 0.000164845 / -0.000164845 | 0.000146532 / -0.000146532 | 0.000236532 / -0.000236532 | 4.35666e-06 / -4.35666e-06 | 9.58162e-06 / -9.58162e-06 | 0.00012591 / -0.00012591 | 0.00023747 / -0.00023747 | -0.000270583 / 0.000270583 | 0.000531361 / -0.000531361 | -3.01763e-05 / 3.01763e-05 | -9.13197e-05 / 9.13197e-05 |
 | bTagSF_eigenvars_B_5 | 2.34924e-06 / -2.34924e-06 | 3.2466e-05 / -3.2466e-05 | 1.39079e-05 / -1.39079e-05 | -1.14005e-06 / 1.14005e-06 | -1.07413e-06 / 1.07413e-06 | 1.71347e-05 / -1.71347e-05 | 1.43978e-05 / -1.43978e-05 | 3.91493e-05 / -3.91493e-05 | -1.70308e-05 / 1.70308e-05 | -2.71715e-07 / 2.71715e-07 | -9.16684e-07 / 9.16684e-07 |
 | bTagSF_eigenvars_B_6 | -1.19819e-06 / 1.19819e-06 | 3.27741e-06 / -3.27741e-06 | -1.98713e-06 / 1.98713e-06 | 2.05804e-07 / -2.05804e-07 | 7.56459e-07 / -7.56459e-07 | -1.17262e-06 / 1.17262e-06 | 2.49844e-07 / -2.49844e-07 | -2.20064e-06 / 2.20064e-06 | -1.24103e-05 / 1.24103e-05 | -2.23534e-07 / 2.23534e-07 | 8.10678e-07 / -8.10678e-07 |
 | bTagSF_eigenvars_B_7 | -3.67118e-08 / 3.67118e-08 | -9.34553e-07 / 9.34553e-07 | 5.17521e-08 / -5.17521e-08 | -2.40248e-08 / 2.40248e-08 | 8.39146e-08 / -8.39146e-08 | -1.66324e-07 / 1.66324e-07 | 3.20757e-07 / -3.20757e-07 | -4.27938e-07 / 4.27938e-07 | 9.87319e-07 / -9.87319e-07 | -1.12881e-07 / 1.12881e-07 | 6.68689e-08 / -6.68689e-08 |
 | bTagSF_eigenvars_B_8 | -1.11821e-08 / 1.11821e-08 | -5.28413e-08 / 5.28413e-08 | -1.13e-08 / 1.13e-08 | -1.70959e-09 / 1.70959e-09 | 1.54681e-09 / -1.54681e-09 | 2.95631e-09 / -2.95631e-09 | -7.03411e-08 / 7.03411e-08 | -1.09831e-07 / 1.09831e-07 | -1.67568e-07 / 1.67568e-07 | 5.85675e-10 / -5.85676e-10 | 2.72512e-09 / -2.72512e-09 |
 | bTagSF_eigenvars_C_0 | 0.00529506 / -0.00529506 | 0.000718029 / -0.000718029 | 0.0061504 / -0.0061504 | -0.00275345 / 0.00275345 | -0.0202759 / 0.0202759 | 0.00161654 / -0.00161654 | -0.000125994 / 0.000125994 | -0.00391003 / 0.00391003 | -0.00862962 / 0.00862962 | 0.00605018 / -0.00605018 | 0.00832461 / -0.00832461 |
 | bTagSF_eigenvars_C_1 | 0.000599132 / -0.000599132 | 0.000197977 / -0.000197977 | 0.000400089 / -0.000400089 | -1.06291e-05 / 1.06291e-05 | -0.00177408 / 0.00177408 | 0.00054216 / -0.00054216 | 0.000323695 / -0.000323695 | 0.00326613 / -0.00326613 | -0.000196456 / 0.000196456 | 0.000892339 / -0.000892339 | 0.000778245 / -0.000778245 |
 | bTagSF_eigenvars_C_2 | -0.000428163 / 0.000428163 | -5.27106e-05 / 5.27106e-05 | -0.000325837 / 0.000325837 | 0.000146918 / -0.000146918 | 0.000679439 / -0.000679439 | -0.000134255 / 0.000134255 | -0.000207331 / 0.000207331 | -0.000762063 / 0.000762063 | 0.000336832 / -0.000336832 | -0.000454317 / 0.000454317 | -0.000821787 / 0.000821787 |
 | bTagSF_eigenvars_C_3 | 3.38658e-05 / -3.38658e-05 | 3.24882e-05 / -3.24882e-05 | 5.84345e-05 / -5.84345e-05 | -4.03607e-05 / 4.03607e-05 | -0.0003122 / 0.0003122 | -4.15406e-06 / 4.15406e-06 | 3.94731e-05 / -3.94731e-05 | -0.000231285 / 0.000231285 | -0.000204481 / 0.000204481 | 8.38386e-05 / -8.38386e-05 | 4.29788e-05 / -4.29788e-05 |
 | bTagSF_eigenvars_Light_0 | 0.000912159 / -0.000912159 | 0.000758994 / -0.000758994 | 0.000746273 / -0.000746273 | -0.132982 / 0.132982 | -0.00791447 / 0.00791447 | -0.000132181 / 0.000132181 | 0.00140276 / -0.00140276 | -0.025889 / 0.025889 | -0.0105081 / 0.0105081 | 0.000419969 / -0.000419969 | 0.000184813 / -0.000184813 |
 | bTagSF_eigenvars_Light_1 | -6.3298e-05 / 6.3298e-05 | -4.83436e-05 / 4.83436e-05 | 0.000107223 / -0.000107223 | 0.0072263 / -0.0072263 | 0.00023396 / -0.00023396 | -0.000104328 / 0.000104328 | -0.000177228 / 0.000177228 | 0.00615138 / -0.00615138 | 0.0010759 / -0.0010759 | -4.83074e-05 / 4.83074e-05 | 4.76531e-05 / -4.76531e-05 |
 | bTagSF_eigenvars_Light_2 | -2.40203e-05 / 2.40203e-05 | 2.76412e-05 / -2.76412e-05 | -0.000103929 / 0.000103929 | -0.00290136 / 0.00290136 | -0.000139718 / 0.000139718 | -0.00010407 / 0.00010407 | 6.62365e-05 / -6.62365e-05 | -0.000266917 / 0.000266917 | -0.000371342 / 0.000371342 | 4.379e-05 / -4.379e-05 | -6.53997e-05 / 6.53997e-05 |
 | bTagSF_eigenvars_Light_3 | 2.47468e-05 / -2.47468e-05 | 2.15718e-05 / -2.15718e-05 | 5.11498e-05 / -5.11498e-05 | -0.00329639 / 0.00329639 | -0.00014207 / 0.00014207 | 2.24472e-06 / -2.24472e-06 | 9.74163e-06 / -9.74163e-06 | -0.000767923 / 0.000767923 | -0.000311275 / 0.000311275 | -9.64129e-06 / 9.64129e-06 | 3.06781e-05 / -3.06781e-05 |
 | EG_RESOLUTION_ALL | 0.000228973 / -0.000229003 | 0.00316441 / -0.00316443 | 0.000479378 / -0.000479394 | 0.00155926 / -0.00155923 | -0.000555469 / 0.000555441 | -0.000598704 / 0.000598706 | -0.0177956 / 0.0177956 | 0.0666537 / -0.0666537 | 0.000301142 / -0.000301147 | -0.00133019 / 0.00133018 | 0.000593536 / -0.000593501 |
 | EG_SCALE_ALL | 0.000205026 / -0.000204963 | -0.00286655 / 0.00286665 | -5.14207e-05 / 5.14052e-05 | -0.000270035 / 0.000270062 | 0.000481812 / -0.00048184 | 0.00050492 / -0.000504918 | 0.00280325 / -0.00280328 | 0.0666537 / -0.0666537 | -0.00237327 / 0.00237327 | 0.000193231 / -0.000193237 | 9.42202e-05 / -9.41859e-05 |
