 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00727271 / 0.00727235 | -0.00673779 / 0.00673748 | -0.0072097 / 0.00720935 | -1.46477e-06 / 1.46477e-06 | -0.00204683 / 0.0020468 | -0.00597846 / 0.00597822 | -0.00605385 / 0.0060536 | -0.00321735 / 0.00321728 | -0.00383111 / 0.00383101 | -0.00663954 / 0.00663925 | -0.00301763 / 0.00301757 |
 | bTagSF_eigenvars_B_2 | 0.00326544 / -0.00326551 | 0.00360504 / -0.00360513 | 0.00377925 / -0.00377934 | 5.15657e-06 / -5.15657e-06 | 0.000904993 / -0.000904999 | 0.00359919 / -0.00359927 | 0.00398451 / -0.00398462 | 0.00284832 / -0.00284837 | 0.00299489 / -0.00299495 | 0.00298175 / -0.00298181 | 0.0020073 / -0.00200732 |
 | bTagSF_eigenvars_B_3 | 0.000588114 / -0.000588116 | 0.000588389 / -0.000588391 | 0.000823217 / -0.000823222 | -6.03583e-06 / 6.03583e-06 | -6.27933e-05 / 6.27933e-05 | 9.36151e-05 / -9.36151e-05 | 0.000300245 / -0.000300245 | -0.000876504 / 0.000876498 | -2.02758e-05 / 2.02758e-05 | 0.000434048 / -0.000434049 | 6.44058e-05 / -6.44058e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119102 / 0.000119102 | -0.000133754 / 0.000133754 | -0.000107922 / 0.000107922 | 2.11933e-06 / -2.11933e-06 | -6.63157e-06 / 6.63157e-06 | -8.87883e-05 / 8.87882e-05 | -0.000150099 / 0.000150099 | -3.84391e-05 / 3.8439e-05 | -0.000333605 / 0.000333604 | -2.83004e-06 / 2.83004e-06 | -8.89661e-05 / 8.89661e-05 |
 | bTagSF_eigenvars_B_5 | -2.76136e-05 / 2.76136e-05 | -1.3327e-05 / 1.3327e-05 | -3.48894e-05 / 3.48894e-05 | -8.06711e-07 / 8.06711e-07 | -6.79149e-06 / 6.79149e-06 | -1.45916e-05 / 1.45916e-05 | -2.58409e-05 / 2.58409e-05 | 1.18858e-05 / -1.18858e-05 | 3.37454e-05 / -3.37455e-05 | -1.43729e-05 / 1.43729e-05 | -9.04667e-07 / 9.04667e-07 |
 | bTagSF_eigenvars_B_6 | 8.66739e-07 / -8.66739e-07 | -3.88319e-07 / 3.88319e-07 | 2.45974e-06 / -2.45974e-06 | 2.0536e-07 / -2.0536e-07 | -1.20963e-07 / 1.20963e-07 | 1.64543e-06 / -1.64543e-06 | 3.04059e-06 / -3.04059e-06 | -5.69442e-07 / 5.69442e-07 | 1.02646e-05 / -1.02646e-05 | -9.22822e-07 / 9.22822e-07 | 1.15652e-06 / -1.15652e-06 |
 | bTagSF_eigenvars_B_7 | -1.51802e-07 / 1.51802e-07 | -1.43927e-07 / 1.43927e-07 | 4.39342e-08 / -4.39342e-08 | -3.23223e-08 / 3.23223e-08 | -5.97802e-08 / 5.97802e-08 | -1.93177e-08 / 1.93177e-08 | 3.6272e-07 / -3.6272e-07 | 2.9116e-07 / -2.9116e-07 | -1.58539e-06 / 1.58539e-06 | -3.76933e-08 / 3.76933e-08 | 1.91125e-07 / -1.91125e-07 |
 | bTagSF_eigenvars_B_8 | 1.95935e-08 / -1.95935e-08 | -8.61557e-09 / 8.61557e-09 | -3.28641e-09 / 3.28641e-09 | -2.70065e-09 / 2.70065e-09 | 8.16214e-09 / -8.16214e-09 | 1.50438e-08 / -1.50438e-08 | 2.24125e-08 / -2.24125e-08 | -7.26667e-09 / 7.26667e-09 | 4.08086e-08 / -4.08086e-08 | 1.04947e-08 / -1.04947e-08 | 2.22532e-08 / -2.22532e-08 |
 | bTagSF_eigenvars_C_0 | -0.00141168 / 0.00141167 | -9.04442e-05 / 9.04442e-05 | -0.000492469 / 0.000492469 | -0.00942521 / 0.00942508 | -0.0292728 / 0.0292704 | -0.00135324 / 0.00135324 | -0.000243198 / 0.000243198 | -0.00931819 / 0.00931806 | -0.0147296 / 0.0147292 | -0.00290431 / 0.0029043 | -0.0227872 / 0.0227859 |
 | bTagSF_eigenvars_C_1 | -0.000246195 / 0.000246194 | 1.0816e-05 / -1.0816e-05 | -0.000268139 / 0.000268138 | 0.000567541 / -0.000567543 | -0.00926293 / 0.00926244 | -0.000325814 / 0.000325813 | -5.83495e-07 / 5.83495e-07 | -0.00023684 / 0.00023684 | -0.00262894 / 0.0026289 | -0.000284805 / 0.000284805 | -0.00357545 / 0.00357538 |
 | bTagSF_eigenvars_C_2 | 4.77046e-05 / -4.77046e-05 | -1.1146e-05 / 1.1146e-05 | -4.69389e-05 / 4.69389e-05 | 0.000114633 / -0.000114633 | 0.00103427 / -0.00103428 | 6.44873e-05 / -6.44873e-05 | 3.8517e-05 / -3.85171e-05 | 0.00097908 / -0.000979087 | 0.000648566 / -0.000648569 | 0.000108077 / -0.000108077 | 0.00295711 / -0.00295717 |
 | bTagSF_eigenvars_C_3 | 4.64995e-06 / -4.64995e-06 | 5.3333e-06 / -5.3333e-06 | -3.91696e-05 / 3.91696e-05 | -0.000143662 / 0.000143662 | -0.00016966 / 0.00016966 | 7.81585e-06 / -7.81585e-06 | -6.80706e-06 / 6.80706e-06 | -0.000126955 / 0.000126955 | -0.00021874 / 0.00021874 | -2.15395e-05 / 2.15395e-05 | 0.000153894 / -0.000153894 |
 | bTagSF_eigenvars_Light_0 | -0.000164237 / 0.000164238 | -0.000290967 / 0.000290969 | -0.000241154 / 0.000241155 | -0.119499 / 0.119673 | -7.34611e-05 / 7.34613e-05 | -0.00176382 / 0.00176389 | -0.00155476 / 0.00155482 | -0.00333011 / 0.00333036 | -0.00926745 / 0.00926934 | -6.77861e-05 / 6.77862e-05 | -0.00108357 / 0.0010836 |
