 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00208037 / 0.00208037 | -7.26899e-05 / 7.26899e-05 | -0.000773782 / 0.000773782 | -1.39268e-06 / 1.39268e-06 | -0.000687604 / 0.000687604 | -0.00432485 / 0.00432485 | -0.00328143 / 0.00328143 | -0.00172928 / 0.00172928 | -0.000759616 / 0.000759616 | -0.00626922 / 0.00626922 | -0.00353608 / 0.00353608 |
 | bTagSF_eigenvars_B_2 | 0.00251719 / -0.00251719 | 0.00135228 / -0.00135228 | 0.00194392 / -0.00194392 | 2.03595e-06 / -2.03595e-06 | 0.00114346 / -0.00114346 | 0.00365686 / -0.00365686 | 0.00384614 / -0.00384614 | 0.00231416 / -0.00231416 | 0.00138805 / -0.00138805 | 0.00354747 / -0.00354747 | 0.00307399 / -0.00307399 |
 | bTagSF_eigenvars_B_3 | -0.000630623 / 0.000630623 | -0.000739401 / 0.000739401 | -0.000897524 / 0.000897524 | -1.73614e-06 / 1.73614e-06 | -0.000555508 / 0.000555508 | -0.00044838 / 0.00044838 | -0.00113478 / 0.00113478 | -0.000959276 / 0.000959276 | -0.000698698 / 0.000698698 | 0.000164606 / -0.000164606 | -0.000380058 / 0.000380058 |
 | bTagSF_eigenvars_B_4 | -6.94745e-05 / 6.94745e-05 | -0.000112275 / 0.000112275 | -5.76167e-05 / 5.76167e-05 | 4.89668e-07 / -4.89668e-07 | 5.21648e-05 / -5.21648e-05 | -0.000125614 / 0.000125614 | -8.15657e-05 / 8.15657e-05 | 7.94469e-05 / -7.94469e-05 | 3.97232e-05 / -3.97232e-05 | -0.000112865 / 0.000112865 | -0.00011283 / 0.00011283 |
 | bTagSF_eigenvars_B_5 | 1.41851e-05 / -1.41851e-05 | 4.69147e-05 / -4.69147e-05 | 2.51207e-05 / -2.51207e-05 | -1.55126e-07 / 1.55126e-07 | -7.23291e-06 / 7.23291e-06 | 1.09172e-05 / -1.09172e-05 | 2.73925e-05 / -2.73925e-05 | -1.10014e-05 / 1.10014e-05 | 4.47043e-06 / -4.47043e-06 | -3.84801e-06 / 3.84801e-06 | 1.02251e-05 / -1.02251e-05 |
 | bTagSF_eigenvars_B_6 | 8.4223e-07 / -8.4223e-07 | 7.12307e-07 / -7.12307e-07 | 1.35361e-06 / -1.35361e-06 | 3.10784e-08 / -3.10784e-08 | 5.20295e-07 / -5.20295e-07 | 9.11367e-07 / -9.11367e-07 | -4.52151e-07 / 4.52151e-07 | 1.73155e-06 / -1.73155e-06 | -2.31439e-07 / 2.31439e-07 | 4.49019e-07 / -4.49019e-07 | 8.90549e-07 / -8.90549e-07 |
 | bTagSF_eigenvars_B_7 | -1.00488e-07 / 1.00488e-07 | -4.09314e-07 / 4.09314e-07 | -2.48885e-07 / 2.48885e-07 | -3.60639e-09 / 3.60639e-09 | 3.75491e-08 / -3.75491e-08 | -1.02378e-07 / 1.02378e-07 | -1.5001e-07 / 1.5001e-07 | -1.87436e-08 / 1.87436e-08 | -2.40273e-07 / 2.40273e-07 | -2.2867e-08 / 2.2867e-08 | -1.48084e-07 / 1.48084e-07 |
 | bTagSF_eigenvars_B_8 | 5.84689e-09 / -5.84689e-09 | -1.61098e-08 / 1.61098e-08 | -1.52454e-08 / 1.52454e-08 | -1.51303e-10 / 1.51303e-10 | 6.62587e-09 / -6.62587e-09 | 2.50782e-09 / -2.50782e-09 | -8.72858e-09 / 8.72858e-09 | 2.64956e-08 / -2.64956e-08 | -2.29055e-08 / 2.29055e-08 | 7.1374e-09 / -7.1374e-09 | 2.51548e-09 / -2.51548e-09 |
 | bTagSF_eigenvars_C_0 | -0.000640915 / 0.000640915 | -0.000299984 / 0.000299984 | -0.000626014 / 0.000626014 | -0.00737175 / 0.00737175 | -0.0396046 / 0.0396046 | 0.000100475 / -0.000100475 | -5.7111e-05 / 5.7111e-05 | -0.0152853 / 0.0152853 | -0.04108 / 0.04108 | 0.00024913 / -0.00024913 | -0.00570363 / 0.00570363 |
 | bTagSF_eigenvars_C_1 | 0.000208076 / -0.000208076 | 4.73416e-05 / -4.73416e-05 | 0.000114476 / -0.000114476 | 0.000492484 / -0.000492484 | 0.000950044 / -0.000950044 | 6.02284e-05 / -6.02284e-05 | 7.68624e-06 / -7.68624e-06 | 0.000968089 / -0.000968089 | 0.00133168 / -0.00133168 | 6.51275e-05 / -6.51275e-05 | 0.000150018 / -0.000150018 |
 | bTagSF_eigenvars_C_2 | -2.69834e-05 / 2.69834e-05 | -6.6356e-05 / 6.6356e-05 | -1.37725e-06 / 1.37725e-06 | 0.000146198 / -0.000146198 | 0.00196353 / -0.00196353 | -3.2849e-06 / 3.2849e-06 | 1.82635e-05 / -1.82635e-05 | 0.000501201 / -0.000501201 | -0.000648999 / 0.000648999 | -2.64017e-05 / 2.64017e-05 | 0.000587558 / -0.000587558 |
 | bTagSF_eigenvars_C_3 | -1.78107e-05 / 1.78107e-05 | 2.28945e-05 / -2.28945e-05 | -3.73601e-06 / 3.73601e-06 | -0.000126129 / 0.000126129 | -0.000602737 / 0.000602737 | -2.45761e-06 / 2.45761e-06 | -7.56142e-06 / 7.56142e-06 | -0.000228334 / 0.000228334 | 0.000166257 / -0.000166257 | 6.96554e-06 / -6.96554e-06 | -0.000149211 / 0.000149211 |
 | bTagSF_eigenvars_Light_0 | -0.000165091 / 0.000165091 | -0.000569326 / 0.000569326 | -0.000463824 / 0.000463824 | -0.128966 / 0.128966 | -0.000914769 / 0.000914769 | 0.000207155 / -0.000207155 | -0.000161908 / 0.000161908 | -0.0115429 / 0.0115429 | -0.00271131 / 0.00271131 | 0.000127865 / -0.000127865 | -0.000183674 / 0.000183674 |
 | bTagSF_eigenvars_Light_1 | 0.000133205 / -0.000133205 | 0.000191314 / -0.000191314 | 0.000206716 / -0.000206716 | 0.0204102 / -0.0204102 | 0.000263334 / -0.000263334 | 4.3217e-05 / -4.3217e-05 | 5.30361e-05 / -5.30361e-05 | 0.00228788 / -0.00228788 | 0.000478627 / -0.000478627 | 7.98651e-06 / -7.98651e-06 | 5.98558e-05 / -5.98558e-05 |
