 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.000797701 / -0.000797701 | 0.00160682 / -0.00160682 | 0.00224551 / -0.00224551 | -3.86117e-05 / 3.86117e-05 | -0.0021339 / 0.0021339 | -0.000369537 / 0.000369537 | -0.00369728 / 0.00369728 | -0.00245666 / 0.00245666 | 0.00044887 / -0.00044887 | -0.0039248 / 0.0039248 | 6.84842e-05 / -6.84842e-05 |
 | bTagSF_eigenvars_B_2 | -0.00111716 / 0.00111716 | -0.0014211 / 0.0014211 | -0.00148386 / 0.00148386 | 3.41149e-05 / -3.41149e-05 | 0.00072961 / -0.00072961 | -0.000464301 / 0.000464301 | 0.00167048 / -0.00167048 | 0.0010204 / -0.0010204 | -0.000103495 / 0.000103495 | 0.000879815 / -0.000879815 | -0.000893486 / 0.000893486 |
 | bTagSF_eigenvars_B_3 | 0.000165466 / -0.000165466 | 0.000494468 / -0.000494468 | 0.000460923 / -0.000460923 | -1.88198e-05 / 1.88198e-05 | -3.9007e-05 / 3.9007e-05 | 0.000213369 / -0.000213369 | 0.000275614 / -0.000275614 | 0.00106334 / -0.00106334 | 0.000245941 / -0.000245941 | 0.000321652 / -0.000321652 | 0.000556574 / -0.000556574 |
 | bTagSF_eigenvars_B_4 | -1.11516e-05 / 1.11516e-05 | -0.000108582 / 0.000108582 | -4.86385e-05 / 4.86385e-05 | 3.42917e-06 / -3.42917e-06 | -1.48034e-05 / 1.48034e-05 | 8.90086e-06 / -8.90086e-06 | -0.000110524 / 0.000110524 | -0.000160408 / 0.000160408 | 2.91036e-05 / -2.91036e-05 | 3.51107e-05 / -3.51107e-05 | -5.10966e-05 / 5.10966e-05 |
 | bTagSF_eigenvars_B_5 | -2.69806e-06 / 2.69806e-06 | 1.91196e-05 / -1.91196e-05 | 3.12534e-06 / -3.12534e-06 | -7.7614e-07 / 7.7614e-07 | -6.51769e-06 / 6.51769e-06 | -3.23803e-06 / 3.23803e-06 | -1.21764e-05 / 1.21764e-05 | -7.55822e-06 / 7.55822e-06 | -1.17112e-06 / 1.17112e-06 | -1.7553e-05 / 1.7553e-05 | 7.0988e-07 / -7.0988e-07 |
 | bTagSF_eigenvars_B_6 | -3.64715e-07 / 3.64715e-07 | -5.9464e-07 / 5.9464e-07 | 2.28332e-06 / -2.28332e-06 | 1.08771e-07 / -1.08771e-07 | -4.78253e-07 / 4.78253e-07 | -1.90078e-07 / 1.90078e-07 | 6.8898e-06 / -6.8898e-06 | -2.2487e-06 / 2.2487e-06 | -9.63344e-07 / 9.63344e-07 | -1.51453e-06 / 1.51453e-06 | 2.37457e-06 / -2.37457e-06 |
 | bTagSF_eigenvars_B_7 | -9.7223e-08 / 9.7223e-08 | -9.73016e-08 / 9.73016e-08 | 1.07202e-07 / -1.07202e-07 | -7.51095e-09 / 7.51095e-09 | -7.7527e-08 / 7.7527e-08 | -1.60157e-07 / 1.60157e-07 | -3.9617e-07 / 3.9617e-07 | 1.19273e-06 / -1.19273e-06 | -2.38944e-07 / 2.38944e-07 | 6.51211e-08 / -6.51211e-08 | 8.50149e-08 / -8.50149e-08 |
 | bTagSF_eigenvars_B_8 | 1.65008e-09 / -1.65008e-09 | 2.37268e-09 / -2.37268e-09 | 3.57913e-09 / -3.57913e-09 | -1.74807e-10 / 1.74807e-10 | 1.02262e-08 / -1.02262e-08 | 1.387e-08 / -1.387e-08 | 3.92551e-08 / -3.92551e-08 | 6.28744e-08 / -6.28744e-08 | -2.46559e-08 / 2.46559e-08 | 3.19218e-09 / -3.19218e-09 | 2.45982e-08 / -2.45982e-08 |
 | bTagSF_eigenvars_C_0 | 0.00148585 / -0.00148585 | 0.000827866 / -0.000827866 | 0.0023875 / -0.0023875 | -0.00321498 / 0.00321498 | -0.0217497 / 0.0217497 | 5.42794e-05 / -5.42794e-05 | -0.000206408 / 0.000206408 | -0.0201159 / 0.0203959 | -0.043319 / 0.043319 | -0.0029537 / 0.0029537 | -0.0182951 / 0.0182951 |
 | bTagSF_eigenvars_C_1 | 1.90041e-05 / -1.90041e-05 | 0.000104429 / -0.000104429 | -9.40084e-05 / 9.40084e-05 | 0.000189136 / -0.000189136 | -0.00747788 / 0.00747788 | -0.000117064 / 0.000117064 | -2.8385e-05 / 2.8385e-05 | 0.000843688 / -0.000347002 | 0.00061252 / -0.00061252 | -0.000947384 / 0.000947384 | -0.00406636 / 0.00406636 |
