 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.00986401 / 0.00986336 | -0.0102445 / 0.0102438 | -0.00946011 / 0.00945951 | -0.000252077 / 0.000252076 | -0.00628256 / 0.0062823 | -0.0102044 / 0.0102037 | -0.0111163 / 0.0111154 | 0.0124819 / -0.0124829 | 0.000346694 / -0.000346695 | -0.00605723 / 0.00605698 | -0.0050263 / 0.00502613 |
 | bTagSF_eigenvars_B_2 | 0.00571802 / -0.00571824 | 0.00627303 / -0.0062733 | 0.00582775 / -0.00582798 | 0.000208176 / -0.000208176 | 0.00382304 / -0.00382314 | 0.00573814 / -0.00573836 | 0.00654281 / -0.0065431 | 0.00795918 / -0.0079596 | -8.64621e-07 / 8.64621e-07 | 0.00282204 / -0.00282209 | 0.00375454 / -0.00375463 |
 | bTagSF_eigenvars_B_3 | -3.55746e-05 / 3.55745e-05 | 6.94002e-05 / -6.94002e-05 | 2.59586e-05 / -2.59586e-05 | -0.000102743 / 0.000102743 | -0.000829746 / 0.000829741 | -0.000298032 / 0.000298031 | -3.69595e-05 / 3.69595e-05 | -0.0270767 / 0.0270718 | -8.5901e-05 / 8.5901e-05 | -3.07163e-05 / 3.07163e-05 | -0.000181637 / 0.000181637 |
 | bTagSF_eigenvars_B_4 | -0.000147137 / 0.000147137 | -0.00014875 / 0.00014875 | -0.000156322 / 0.000156322 | 1.48274e-05 / -1.48274e-05 | 2.00283e-05 / -2.00283e-05 | -9.62442e-05 / 9.62441e-05 | -5.91874e-05 / 5.91874e-05 | 0.00736601 / -0.00736638 | 4.85735e-05 / -4.85735e-05 | -5.96464e-05 / 5.96464e-05 | -6.79777e-05 / 6.79777e-05 |
 | bTagSF_eigenvars_B_5 | -5.61664e-06 / 5.61664e-06 | -4.84194e-05 / 4.84194e-05 | -1.84991e-06 / 1.84991e-06 | -2.09513e-06 / 2.09513e-06 | -2.15199e-05 / 2.15199e-05 | -2.19729e-05 / 2.19729e-05 | 1.60937e-05 / -1.60937e-05 | 0.000344917 / -0.000344917 | -1.81661e-05 / 1.81661e-05 | -1.20789e-05 / 1.20789e-05 | -1.13478e-05 / 1.13478e-05 |
 | bTagSF_eigenvars_B_6 | -5.27054e-07 / 5.27054e-07 | 3.69076e-06 / -3.69076e-06 | 2.52089e-07 / -2.52089e-07 | -6.05251e-08 / 6.05251e-08 | 8.21255e-07 / -8.21255e-07 | 1.14004e-06 / -1.14004e-06 | -3.32713e-06 / 3.32713e-06 | -0.000429093 / 0.000429093 | -2.83654e-07 / 2.83654e-07 | -2.13419e-06 / 2.13419e-06 | 5.64983e-07 / -5.64983e-07 |
 | bTagSF_eigenvars_B_7 | -4.32624e-08 / 4.32624e-08 | 6.10602e-07 / -6.10602e-07 | -9.50813e-08 / 9.50813e-08 | 7.49358e-08 / -7.49358e-08 | -1.68701e-07 / 1.68701e-07 | -2.33929e-07 / 2.33929e-07 | 1.99597e-08 / -1.99597e-08 | 1.79412e-05 / -1.79412e-05 | -1.75001e-07 / 1.75001e-07 | -3.13252e-07 / 3.13252e-07 | 1.76579e-07 / -1.76579e-07 |
 | bTagSF_eigenvars_B_8 | 1.37101e-08 / -1.37101e-08 | 5.96707e-09 / -5.96707e-09 | 7.05863e-09 / -7.05863e-09 | 8.64644e-09 / -8.64644e-09 | 3.0043e-08 / -3.0043e-08 | 2.62234e-08 / -2.62234e-08 | 8.25092e-09 / -8.25092e-09 | -1.72039e-06 / 1.72039e-06 | -1.96979e-08 / 1.96979e-08 | 4.71058e-09 / -4.71058e-09 | 1.77326e-08 / -1.77326e-08 |
 | bTagSF_eigenvars_C_0 | -0.00118695 / 0.00118694 | 0.00161155 / -0.00161155 | -0.000759768 / 0.000759767 | -0.00258883 / 0.00258883 | -0.0189615 / 0.0189606 | -0.000355983 / 0.000355983 | -0.00223719 / 0.00223719 | -0.344761 / 0.341627 | -0.000101779 / 0.000101779 | -0.0328225 / 0.0328189 | -0.040609 / 0.0406026 |
 | bTagSF_eigenvars_C_1 | -0.000134771 / 0.000134771 | -2.23867e-05 / 2.23867e-05 | 3.00725e-05 / -3.00725e-05 | 7.79074e-05 / -7.79074e-05 | -0.00207474 / 0.00207472 | -4.17268e-05 / 4.17268e-05 | -0.00032365 / 0.000323649 | -0.113319 / 0.113271 | -0.000255577 / 0.000255576 | -0.00533816 / 0.00533799 | -0.00345688 / 0.0034568 |
 | bTagSF_eigenvars_C_2 | 3.36676e-05 / -3.36676e-05 | 1.60372e-05 / -1.60372e-05 | -3.64809e-05 / 3.64809e-05 | 6.40921e-05 / -6.40921e-05 | 0.000673763 / -0.000673766 | 3.17982e-06 / -3.17982e-06 | 6.58487e-05 / -6.58488e-05 | 0.092811 / -0.0928685 | -3.7012e-05 / 3.7012e-05 | 0.00119042 / -0.00119043 | 0.00302202 / -0.00302208 |
 | bTagSF_eigenvars_C_3 | -4.45253e-06 / 4.45253e-06 | -1.29496e-05 / 1.29496e-05 | 6.05117e-06 / -6.05117e-06 | -4.52887e-05 / 4.52887e-05 | -0.00027307 / 0.00027307 | -1.43569e-05 / 1.43569e-05 | -0.000130625 / 0.000130624 | 0.000916532 / -0.000916538 | -5.43961e-05 / 5.43961e-05 | -0.000328496 / 0.000328495 | -0.000460729 / 0.000460728 |
