 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0131063 / 0.0131034 | -0.00210687 / 0.0021068 | -0.00660285 / 0.00660212 | -0.0119735 / 0.0119711 | -0.0137868 / 0.0137836 | -0.00513367 / 0.00513323 | -0.0172089 / 0.0172038 | -0.00227029 / 0.0022702 | 0.0102597 / -0.0102614 | 0.010034 / -0.0100356 | -0.000178768 / 0.000178768 |
 | jvt | -0.0071657 / 0.00716535 | -0.00372435 / 0.00372426 | -0.00873862 / 0.00873812 | -0.00120213 / 0.00120212 | -0.00231667 / 0.00231663 | -0.00208381 / 0.00208378 | -0.00184557 / 0.00184554 | 0.00107066 / -0.00107067 | -0.0034309 / 0.00343082 | -0.00161162 / 0.0016116 | -0.0039438 / 0.0039437 |
 | EL_SF_Trigger | 0.000126371 / -0.000126371 | 0.000176222 / -0.000176222 | 0.000170807 / -0.000170807 | 0.000179663 / -0.000179663 | 0.000133534 / -0.000133534 | 0.000148242 / -0.000148242 | 0.000268049 / -0.000268049 | 0.00021321 / -0.00021321 | 0.000167704 / -0.000167704 | 0.000125306 / -0.000125306 | 0.000147159 / -0.000147159 |
 | EL_SF_Reco | 0.00241093 / -0.00241097 | 0.00274936 / -0.00274941 | 0.00248808 / -0.00248812 | 0.00232019 / -0.00232023 | 0.00234441 / -0.00234445 | 0.0022897 / -0.00228974 | 0.00357676 / -0.00357685 | 0.00497953 / -0.00497969 | 0.00670351 / -0.00670381 | 0.00256406 / -0.0025641 | 0.00256805 / -0.0025681 |
 | EL_SF_ID | 0.0130429 / -0.0130437 | 0.0161387 / -0.0161398 | 0.0146007 / -0.0146017 | 0.0133128 / -0.0133136 | 0.0131409 / -0.0131417 | 0.0124436 / -0.0124443 | 0.0203796 / -0.0203815 | 0.0275119 / -0.0275158 | 0.072481 / -0.07252 | 0.0138222 / -0.013823 | 0.0117866 / -0.0117872 |
 | EL_SF_Isol | 0.0189146 / -0.0189154 | 0.0207092 / -0.0207102 | 0.0180426 / -0.0180433 | 0.0169629 / -0.0169635 | 0.0162238 / -0.0162243 | 0.0176717 / -0.0176724 | 0.0202689 / -0.0202698 | 0.0141826 / -0.014183 | 0.0161469 / -0.0161475 | 0.0176162 / -0.0176169 | 0.0188163 / -0.0188171 |
 | MU_SF_Trigger_STAT | 0.000225533 / -0.000225534 | 0.000186883 / -0.000186883 | 0.00023797 / -0.00023797 | 0.000228458 / -0.000228459 | 0.000231358 / -0.000231358 | 0.000259306 / -0.000259306 | 0.000356497 / -0.000356498 | 0.000627883 / -0.000627886 | 0.00010006 / -0.000100061 | 0.000280104 / -0.000280105 | 0.000241967 / -0.000241967 |
 | MU_SF_Trigger_SYST | -0.000500094 / 0.000500092 | -0.000537136 / 0.000537134 | -0.000526515 / 0.000526514 | -0.000506452 / 0.000506451 | -0.00050646 / 0.000506458 | -0.0005679 / 0.000567898 | -0.000920479 / 0.000920473 | -0.0019162 / 0.00191618 | -0.000260628 / 0.000260628 | -0.000597347 / 0.000597344 | -0.000446993 / 0.000446992 |
 | MU_SF_ID_STAT | 0.000912076 / -0.000912081 | 0.000893006 / -0.000893011 | 0.000833859 / -0.000833863 | 0.000900968 / -0.000900973 | 0.000914311 / -0.000914317 | 0.00089447 / -0.000894476 | 0.000741803 / -0.000741807 | 0.000898326 / -0.000898331 | 0.000646379 / -0.000646382 | 0.000897919 / -0.000897924 | 0.000951818 / -0.000951824 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_ID_SYST | 0.00369567 / -0.00369576 | 0.00293014 / -0.0029302 | 0.00291201 / -0.00291206 | 0.00340285 / -0.00340293 | 0.00370491 / -0.003705 | 0.00318595 / -0.00318602 | 0.00255606 / -0.0025561 | 0.00255194 / -0.00255199 | 0.00262303 / -0.00262307 | 0.00400339 / -0.0040035 | 0.00330563 / -0.0033057 |
 | MU_SF_ID_SYST_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
 | MU_SF_Isol_STAT | 0.00741465 / -0.00741501 | 0.00684468 / -0.00684499 | 0.0031709 / -0.00317097 | 0.00594167 / -0.0059419 | 0.00626319 / -0.00626345 | 0.00326297 / -0.00326304 | 0.00619447 / -0.00619472 | 0.00228576 / -0.0022858 | 0.00568455 / -0.00568476 | 0.0040515 / -0.00405161 | 0.00324332 / -0.00324339 |
 | MU_SF_Isol_SYST | 0.0167565 / -0.0167603 | 0.018003 / -0.0180075 | 0.015409 / -0.0154123 | 0.0182873 / -0.0182919 | 0.0176165 / -0.0176208 | 0.016397 / -0.0164007 | 0.0216296 / -0.0216361 | 0.0220658 / -0.0220726 | 0.0129744 / -0.0129767 | 0.0145638 / -0.0145667 | 0.0148073 / -0.0148103 |
 | MU_SF_TTVA_STAT | 0.000561748 / -0.00056175 | 0.000441284 / -0.000441286 | 0.00047552 / -0.000475522 | 0.000492759 / -0.00049276 | 0.000552545 / -0.000552547 | 0.000481232 / -0.000481234 | 0.000447702 / -0.000447704 | 0.000440358 / -0.000440359 | 0.000508734 / -0.000508736 | 0.000611562 / -0.000611564 | 0.000501575 / -0.000501577 |
 | MU_SF_TTVA_SYST | 0.000708009 / -0.000708012 | 0.000543186 / -0.000543188 | 0.00055874 / -0.000558742 | 0.000568885 / -0.000568887 | 0.000672869 / -0.000672872 | 0.000557961 / -0.000557963 | 0.000489603 / -0.000489605 | 0.000388816 / -0.000388817 | 0.000394554 / -0.000394555 | 0.00078231 / -0.000782314 | 0.000600116 / -0.000600118 |
 | bTagSF_eigenvars_B_0 | -0.00930857 / 0.00930512 | -0.0123581 / 0.012352 | -0.00891436 / 0.0089112 | -2.03633e-05 / 2.03633e-05 | -0.00554693 / 0.00554571 | -0.0122575 / 0.0122516 | -0.0124278 / 0.0124216 | -0.0167576 / 0.0167464 | -0.00904195 / 0.0090387 | -0.0109284 / 0.0109237 | -0.00552348 / 0.00552226 |
 | bTagSF_eigenvars_B_1 | -0.00727168 / 0.00727132 | -0.00673679 / 0.00673648 | -0.00720851 / 0.00720816 | -1.47465e-06 / 1.47465e-06 | -0.0020463 / 0.00204628 | -0.00597716 / 0.00597692 | -0.0060525 / 0.00605226 | -0.00321613 / 0.00321607 | -0.00383073 / 0.00383063 | -0.00663805 / 0.00663775 | -0.00301697 / 0.00301691 |
 | bTagSF_eigenvars_B_2 | 0.00326561 / -0.00326568 | 0.00360489 / -0.00360498 | 0.00377897 / -0.00377906 | 5.1667e-06 / -5.1667e-06 | 0.000905075 / -0.000905081 | 0.00359918 / -0.00359926 | 0.00398445 / -0.00398456 | 0.00284851 / -0.00284857 | 0.00299497 / -0.00299503 | 0.00298172 / -0.00298178 | 0.00200732 / -0.00200735 |
 | bTagSF_eigenvars_B_3 | 0.000587948 / -0.00058795 | 0.000588346 / -0.000588349 | 0.000823405 / -0.000823409 | -6.04259e-06 / 6.04259e-06 | -6.28677e-05 / 6.28677e-05 | 9.33473e-05 / -9.33474e-05 | 0.000300098 / -0.000300098 | -0.000876806 / 0.0008768 | -2.0174e-05 / 2.0174e-05 | 0.000433674 / -0.000433675 | 6.42225e-05 / -6.42226e-05 |
 | bTagSF_eigenvars_B_4 | -0.000119074 / 0.000119074 | -0.000133752 / 0.000133752 | -0.000107923 / 0.000107922 | 2.12094e-06 / -2.12094e-06 | -6.6225e-06 / 6.6225e-06 | -8.87626e-05 / 8.87626e-05 | -0.000150122 / 0.000150122 | -3.83248e-05 / 3.83248e-05 | -0.000333606 / 0.000333605 | -2.80311e-06 / 2.80311e-06 | -8.89605e-05 / 8.89604e-05 |
 | bTagSF_eigenvars_B_5 | -2.76161e-05 / 2.76161e-05 | -1.33278e-05 / 1.33278e-05 | -3.48964e-05 / 3.48964e-05 | -8.07197e-07 / 8.07197e-07 | -6.79371e-06 / 6.79371e-06 | -1.45891e-05 / 1.45891e-05 | -2.58322e-05 / 2.58322e-05 | 1.18726e-05 / -1.18726e-05 | 3.37404e-05 / -3.37404e-05 | -1.43682e-05 / 1.43682e-05 | -9.08515e-07 / 9.08515e-07 |
 | bTagSF_eigenvars_B_6 | 8.67209e-07 / -8.67209e-07 | -3.89152e-07 / 3.89152e-07 | 2.45866e-06 / -2.45866e-06 | 2.05463e-07 / -2.05463e-07 | -1.2051e-07 / 1.2051e-07 | 1.64541e-06 / -1.64541e-06 | 3.03887e-06 / -3.03887e-06 | -5.72966e-07 / 5.72966e-07 | 1.02645e-05 / -1.02645e-05 | -9.22455e-07 / 9.22455e-07 | 1.1579e-06 / -1.1579e-06 |
 | bTagSF_eigenvars_B_7 | -1.51745e-07 / 1.51745e-07 | -1.43742e-07 / 1.43742e-07 | 4.41117e-08 / -4.41118e-08 | -3.23364e-08 / 3.23364e-08 | -5.97667e-08 / 5.97667e-08 | -1.93049e-08 / 1.93049e-08 | 3.62781e-07 / -3.62781e-07 | 2.91592e-07 / -2.91592e-07 | -1.58526e-06 / 1.58526e-06 | -3.77117e-08 / 3.77117e-08 | 1.91083e-07 / -1.91083e-07 |
 | bTagSF_eigenvars_B_8 | 1.96024e-08 / -1.96024e-08 | -8.61074e-09 / 8.61074e-09 | -3.27613e-09 / 3.27613e-09 | -2.70177e-09 / 2.70177e-09 | 8.16152e-09 / -8.16152e-09 | 1.50467e-08 / -1.50466e-08 | 2.23936e-08 / -2.23936e-08 | -7.25452e-09 / 7.25452e-09 | 4.08079e-08 / -4.08079e-08 | 1.04965e-08 / -1.04965e-08 | 2.22651e-08 / -2.22651e-08 |
 | bTagSF_eigenvars_C_0 | -0.00143275 / 0.00143287 | -9.12826e-05 / 9.12831e-05 | -0.000500023 / 0.000500037 | -0.00957534 / 0.00958055 | -0.0298044 / 0.0298569 | -0.00137346 / 0.00137357 | -0.00024676 / 0.000246763 | -0.00946246 / 0.00946754 | -0.0149697 / 0.0149826 | -0.00294795 / 0.00294843 | -0.0231832 / 0.0232146 |
 | bTagSF_eigenvars_C_1 | -0.000246194 / 0.000246194 | 1.0766e-05 / -1.0766e-05 | -0.000268265 / 0.000268265 | 0.000567972 / -0.000567974 | -0.0092602 / 0.00925969 | -0.000325911 / 0.000325911 | -5.83711e-07 / 5.83711e-07 | -0.000236066 / 0.000236065 | -0.00262795 / 0.00262791 | -0.000284682 / 0.000284682 | -0.00357691 / 0.00357683 |
 | bTagSF_eigenvars_C_2 | 4.76997e-05 / -4.76997e-05 | -1.11044e-05 / 1.11044e-05 | -4.69848e-05 / 4.69848e-05 | 0.000114614 / -0.000114614 | 0.00103481 / -0.00103481 | 6.45376e-05 / -6.45376e-05 | 3.8522e-05 / -3.8522e-05 | 0.00097862 / -0.000978626 | 0.00064858 / -0.000648583 | 0.000108068 / -0.000108068 | 0.00295718 / -0.00295724 |
 | bTagSF_eigenvars_C_3 | 4.6484e-06 / -4.6484e-06 | 5.31907e-06 / -5.31907e-06 | -3.91761e-05 / 3.91761e-05 | -0.000143696 / 0.000143696 | -0.000169556 / 0.000169556 | 7.81471e-06 / -7.81471e-06 | -6.80792e-06 / 6.80792e-06 | -0.000127092 / 0.000127092 | -0.000218723 / 0.000218723 | -2.15486e-05 / 2.15486e-05 | 0.000154093 / -0.000154093 |
 | bTagSF_eigenvars_Light_0 | -0.000164303 / 0.000164303 | -0.000291136 / 0.000291137 | -0.000241498 / 0.000241498 | -0.119687 / 0.119699 | -7.32726e-05 / 7.32727e-05 | -0.00176331 / 0.00176334 | -0.00155433 / 0.00155435 | -0.00332951 / 0.00332962 | -0.00926433 / 0.00926511 | -6.76259e-05 / 6.7626e-05 | -0.00108195 / 0.00108196 |
 | bTagSF_eigenvars_Light_1 | 7.62097e-05 / -7.62097e-05 | 7.91803e-05 / -7.91803e-05 | 4.54699e-05 / -4.54699e-05 | -0.00845127 / 0.00845108 | 3.06774e-05 / -3.06774e-05 | 7.63593e-05 / -7.63593e-05 | 0.000351211 / -0.000351211 | 0.000886214 / -0.000886216 | -0.000483229 / 0.000483229 | -3.81934e-05 / 3.81933e-05 | 0.000171232 / -0.000171232 |
