 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | 0.00236199 / -0.00236203 | 0.00304025 / -0.00304032 | 0.0035959 / -0.00359599 | 0 / 0 | -0.000742709 / 0.000742705 | -0.00319953 / 0.00319946 | -0.00334511 / 0.00334503 | -0.00458706 / 0.00458691 | 0.00531065 / -0.00531084 | -0.00552226 / 0.00552206 | -0.00342265 / 0.00342257 |
 | bTagSF_eigenvars_B_2 | -0.000949878 / 0.000949872 | -0.0015548 / 0.00155478 | -0.00217949 / 0.00217946 | 0 / 0 | 0.000713901 / -0.000713905 | 0.00232158 / -0.00232161 | 0.00281248 / -0.00281253 | 0.00569506 / -0.00569527 | -0.00271551 / 0.00271546 | 0.00222934 / -0.00222937 | 0.00253716 / -0.0025372 |
 | bTagSF_eigenvars_B_3 | -0.000104581 / 0.00010458 | -0.000103182 / 0.000103182 | 6.88591e-06 / -6.88591e-06 | 0 / 0 | -0.000195033 / 0.000195033 | -0.000352614 / 0.000352613 | -0.000320061 / 0.000320061 | -0.00214399 / 0.00214396 | 2.11269e-05 / -2.1127e-05 | 0.000210085 / -0.000210085 | -3.27923e-06 / 3.27923e-06 |
 | bTagSF_eigenvars_B_4 | 3.52458e-05 / -3.52458e-05 | 1.7291e-05 / -1.7291e-05 | 5.34148e-05 / -5.34149e-05 | 0 / 0 | 4.73252e-06 / -4.73252e-06 | -7.06465e-05 / 7.06464e-05 | -0.000107088 / 0.000107088 | -1.36355e-05 / 1.36355e-05 | -2.19753e-05 / 2.19753e-05 | -7.97496e-05 / 7.97495e-05 | -3.50504e-05 / 3.50504e-05 |
 | bTagSF_eigenvars_B_5 | 1.12388e-05 / -1.12388e-05 | 5.51845e-06 / -5.51845e-06 | 2.67485e-06 / -2.67485e-06 | 0 / 0 | -2.17359e-06 / 2.17359e-06 | -2.74375e-06 / 2.74375e-06 | 5.55757e-06 / -5.55757e-06 | -5.17545e-05 / 5.17544e-05 | -3.53584e-07 / 3.53584e-07 | -1.88277e-05 / 1.88276e-05 | -5.16267e-05 / 5.16267e-05 |
 | bTagSF_eigenvars_B_6 | 9.95342e-07 / -9.95342e-07 | -7.54027e-07 / 7.54027e-07 | 1.00246e-07 / -1.00246e-07 | 0 / 0 | 1.82368e-06 / -1.82368e-06 | -3.57222e-06 / 3.57222e-06 | 1.43564e-06 / -1.43564e-06 | 2.97869e-05 / -2.97869e-05 | 2.25308e-06 / -2.25308e-06 | 6.40928e-07 / -6.40928e-07 | 7.65401e-06 / -7.65401e-06 |
 | bTagSF_eigenvars_B_7 | 5.04457e-08 / -5.04457e-08 | -5.13876e-08 / 5.13876e-08 | 5.86353e-08 / -5.86353e-08 | 0 / 0 | -2.00025e-07 / 2.00025e-07 | 2.52354e-07 / -2.52354e-07 | -1.70409e-07 / 1.70409e-07 | -2.88932e-06 / 2.88932e-06 | 3.89593e-07 / -3.89593e-07 | 1.27193e-07 / -1.27193e-07 | 6.76924e-07 / -6.76924e-07 |
 | bTagSF_eigenvars_B_8 | -1.61432e-08 / 1.61432e-08 | -1.63373e-08 / 1.63373e-08 | -2.32555e-09 / 2.32555e-09 | 0 / 0 | -1.00057e-08 / 1.00057e-08 | 1.33657e-08 / -1.33657e-08 | -7.90295e-10 / 7.90296e-10 | -6.51021e-08 / 6.51021e-08 | -2.02843e-08 / 2.02843e-08 | 5.88378e-08 / -5.88378e-08 | 5.6191e-08 / -5.6191e-08 |
 | bTagSF_eigenvars_C_0 | 0.000819384 / -0.000819387 | 0.000374459 / -0.000374459 | 0.00235282 / -0.00235284 | -0.00514332 / 0.00514321 | -0.0331532 / 0.0331464 | 0.000397941 / -0.000397941 | 0.000140385 / -0.000140385 | 0.00544904 / -0.00544914 | -0.00470533 / 0.00470523 | 0.00163512 / -0.00163513 | 0.000974041 / -0.000974044 |
 | bTagSF_eigenvars_C_1 | 4.94647e-05 / -4.94647e-05 | 5.0755e-06 / -5.0755e-06 | 0.000128678 / -0.000128678 | 9.05041e-05 / -9.05041e-05 | -0.0043741 / 0.00437399 | -1.35113e-05 / 1.35113e-05 | 5.72587e-05 / -5.72587e-05 | -0.00025881 / 0.000258809 | -0.00101592 / 0.00101592 | -0.000153468 / 0.000153468 | 0.000484361 / -0.000484362 |
 | bTagSF_eigenvars_C_2 | -2.97247e-05 / 2.97247e-05 | -7.63048e-06 / 7.63048e-06 | -0.000150107 / 0.000150107 | 0.000326102 / -0.000326103 | 0.00103458 / -0.00103458 | 3.89871e-06 / -3.89871e-06 | -1.63046e-05 / 1.63046e-05 | 0.000385638 / -0.000385639 | 4.90661e-05 / -4.90661e-05 | 4.23108e-05 / -4.23108e-05 | 0.000225989 / -0.00022599 |
 | bTagSF_eigenvars_C_3 | 1.40669e-05 / -1.40669e-05 | -5.14685e-08 / 5.14685e-08 | 3.04382e-05 / -3.04382e-05 | -3.00804e-05 / 3.00804e-05 | -0.000370996 / 0.000370995 | -5.93888e-06 / 5.93888e-06 | 5.81695e-06 / -5.81695e-06 | 2.90534e-05 / -2.90534e-05 | -0.000102048 / 0.000102048 | 1.97668e-05 / -1.97668e-05 | -0.000258223 / 0.000258222 |
 | bTagSF_eigenvars_Light_0 | 0.00026347 / -0.000263469 | 0.000752641 / -0.000752629 | 0.000946394 / -0.000946375 | -0.121661 / 0.121821 | -0.00190498 / 0.00190506 | -0.000988918 / 0.000988939 | 0.00030951 / -0.000309508 | -0.0121081 / 0.0121112 | -0.00629144 / 0.00629228 | 0.00194758 / -0.0019475 | -0.000493216 / 0.000493222 |
 | bTagSF_eigenvars_Light_1 | 0.000113402 / -0.000113402 | -0.000124712 / 0.000124712 | -1.68244e-05 / 1.68244e-05 | 0.00456074 / -0.00456088 | 0.000176068 / -0.000176069 | 0.000413142 / -0.000413144 | -4.2115e-05 / 4.2115e-05 | 0.00199763 / -0.00199766 | 0.000418926 / -0.000418927 | 5.5419e-05 / -5.5419e-05 | 0.000193749 / -0.000193749 |
 | bTagSF_eigenvars_Light_2 | -5.65226e-05 / 5.65226e-05 | 4.78029e-05 / -4.78029e-05 | -2.97894e-05 / 2.97894e-05 | -0.00690582 / 0.00690548 | -0.000317065 / 0.000317065 | -0.00014848 / 0.00014848 | 4.86551e-05 / -4.86552e-05 | 0.00106274 / -0.00106274 | -1.36082e-05 / 1.36082e-05 | -7.02859e-07 / 7.02859e-07 | 7.69154e-06 / -7.69154e-06 |
 | bTagSF_eigenvars_Light_3 | 2.53147e-05 / -2.53147e-05 | -3.65837e-06 / 3.65837e-06 | 3.48214e-05 / -3.48214e-05 | -0.00396908 / 0.00396897 | 1.34682e-05 / -1.34682e-05 | 5.59152e-05 / -5.59152e-05 | -3.89468e-06 / 3.89468e-06 | -0.000675614 / 0.000675611 | -0.000160572 / 0.000160572 | -7.51665e-05 / 7.51664e-05 | -3.66773e-05 / 3.66773e-05 |
 | EG_RESOLUTION_ALL | -0.00113358 / 0.00113358 | 0.000227514 / -0.000227565 | -0.000151706 / 0.000151698 | 0.00353212 / -0.00353217 | -0.00213421 / 0.00213423 | -0.0045621 / 0.00456211 | 0.000364141 / -0.000364122 | 0.000780769 / -0.000780751 | -0.00188734 / 0.0018873 | -0.000372969 / 0.000372971 | 0.000122133 / -0.00012213 |
 | EG_SCALE_ALL | -0.000810508 / 0.000810517 | -6.26427e-05 / 6.26654e-05 | 0.00115591 / -0.00115592 | -0.000152528 / 0.000152505 | -0.000765244 / 0.000765263 | 0.000532497 / -0.00053252 | 0.00420013 / -0.00420026 | 0.00102692 / -0.00102691 | 0.00117747 / -0.00117743 | 0.00341181 / -0.00341189 | -9.25006e-05 / 9.2503e-05 |
 | GlobalReduction_JET_BJES_Response | 0.000330984 / -0.000330978 | -0.00230661 / 0.00230663 | -0.00277964 / 0.00277957 | 2.57636e-08 / 2.64376e-08 | 0.0129469 / -0.0129482 | 0.00158808 / -0.00158812 | 0.0018695 / -0.00186952 | 1.51305e-05 / -1.51113e-05 | -0.00255573 / 0.00255565 | 0.00319553 / -0.00319561 | 0.0153082 / -0.01531 |
 | GlobalReduction_JET_EffectiveNP_1 | -0.00129238 / 0.00129237 | -0.00109798 / 0.00109799 | -0.00164335 / 0.0016433 | 0.0368134 / -0.0368337 | 0.0122502 / -0.0122525 | 0.00126457 / -0.00126455 | 0.00131938 / -0.00131948 | 0.000610855 / -0.000610902 | 0.000902814 / -0.00090278 | 0.0024118 / -0.00241188 | 0.0152335 / -0.0152371 |
 | GlobalReduction_JET_EffectiveNP_2 | 0.00010964 / -0.000109633 | 0.000721424 / -0.000721472 | 0.000606005 / -0.000606015 | -0.000802314 / 0.00080229 | -0.000803676 / 0.000803696 | 0.000359007 / -0.000359029 | 0.000321151 / -0.000321138 | 1.61199e-07 / -1.42348e-07 | -0.000433409 / 0.000433375 | -2.56907e-05 / 2.56929e-05 | -0.00596306 / 0.00596295 |
 | GlobalReduction_JET_EffectiveNP_3 | -0.000387508 / 0.000387514 | -0.000427417 / 0.00042744 | -0.000271204 / 0.000271262 | 0.000318345 / -0.000318367 | 0.000623014 / -0.000623091 | 0.000273273 / -0.000273294 | -0.000190664 / 0.000190605 | -2.25854e-05 / 2.26039e-05 | 0.000333919 / -0.000333952 | -4.04045e-06 / 4.04263e-06 | -1.29795e-05 / 1.29819e-05 |
 | GlobalReduction_JET_EffectiveNP_4 | -2.50845e-05 / 2.50912e-05 | 0.000222458 / -0.000222434 | 0.000114272 / -0.000114281 | 7.20246e-06 / -7.225e-06 | -0.000484968 / 0.000484887 | 1.53179e-07 / -1.74477e-07 | 0.000188949 / -0.000188935 | 7.15035e-07 / -7.57083e-07 | -0.000433954 / 0.000434 | 3.63151e-05 / -3.63129e-05 | 4.57062e-05 / -4.57037e-05 |
 | GlobalReduction_JET_EffectiveNP_5 | -8.96867e-06 / 8.9755e-06 | -5.13254e-06 / 5.15661e-06 | 8.18286e-07 / -8.26867e-07 | -2.11574e-05 / 2.11347e-05 | -3.41199e-06 / 3.43486e-06 | -2.0734e-06 / 2.05204e-06 | -2.92413e-06 / 2.93826e-06 | -5.11883e-07 / 4.69697e-07 | -4.53976e-05 / 4.54447e-05 | 4.46765e-07 / -4.44502e-07 | -2.35253e-05 / 2.35278e-05 |
 | GlobalReduction_JET_EffectiveNP_8 | -0.000335604 / 0.00033561 | 1.03283e-05 / -1.03045e-05 | -9.60561e-06 / 9.59721e-06 | 1.07749e-05 / -1.07973e-05 | 6.68837e-06 / -6.76688e-06 | 1.24947e-05 / -1.25158e-05 | 7.21263e-06 / -7.19931e-06 | 1.14095e-06 / -1.12196e-06 | 5.32738e-05 / -5.33076e-05 | -7.98807e-07 / 8.01047e-07 | 2.37033e-05 / -2.37803e-05 |
 | GlobalReduction_JET_EffectiveNP_7 | 1.59781e-06 / -1.59143e-06 | 1.07955e-06 / -1.05541e-06 | -2.19903e-06 / 2.19705e-06 | 5.56893e-06 / -5.59155e-06 | -3.00504e-06 / 3.02792e-06 | 4.15033e-06 / -4.1717e-06 | -3.58894e-06 / 3.60318e-06 | -3.89413e-07 / 4.08594e-07 | 1.21618e-05 / -1.21961e-05 | 9.03399e-08 / -8.80765e-08 | -9.62931e-07 / 9.65441e-07 |
 | GlobalReduction_JET_EffectiveNP_8restTerm | -2.03392e-06 / 2.04067e-06 | 1.22033e-06 / -1.19661e-06 | -5.27767e-06 / 5.33719e-06 | -6.92601e-06 / 6.90357e-06 | -2.28572e-06 / 2.30843e-06 | 0.000645842 / -0.000645864 | 4.0643e-07 / -3.92126e-07 | -2.05542e-07 / 2.24578e-07 | -5.88512e-05 / 5.88172e-05 | 1.60339e-06 / -1.60115e-06 | 2.67066e-05 / -2.67041e-05 |
 | GlobalReduction_JET_EtaIntercalibration_Modelling | -0.000976021 / 0.000976008 | -0.00164306 / 0.00164303 | -0.00139444 / 0.00139439 | 0.0377902 / -0.0378204 | 0.0061358 / -0.00613657 | 0.00188879 / -0.00188889 | 0.00092175 / -0.000921826 | 0.0324516 / -0.0324737 | 0.00279281 / -0.002793 | 0.0029633 / -0.00296349 | 0.00516577 / -0.00516632 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_2018data | -7.69232e-05 / 7.69296e-05 | -8.34188e-05 / 8.33718e-05 | -0.000256013 / 0.000256004 | 0.0352164 / -0.0352221 | 0.00520777 / -0.00520783 | -0.000670351 / 0.000670329 | -0.000124629 / 0.000124642 | 5.33026e-05 / -5.32836e-05 | 0.000704754 / -0.000704709 | -6.92627e-06 / 6.92851e-06 | 0.00520871 / -0.0052088 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_highE | 3.31398e-09 / 3.31398e-09 | 1.21634e-08 / 1.21634e-08 | -4.3243e-09 / -4.3243e-09 | 2.63221e-08 / 2.63221e-08 | -3.9967e-08 / -3.9967e-08 | 2.22293e-08 / 2.22293e-08 | -3.0309e-08 / -3.0309e-08 | -2.12588e-08 / -2.12588e-08 | 2.3706e-08 / 2.3706e-08 | 1.1403e-09 / 1.1403e-09 | 1.26436e-09 / 1.26436e-09 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_negEta | 9.53192e-06 / -9.58911e-06 | -1.46336e-05 / 1.46577e-05 | -5.34577e-05 / 5.34491e-05 | 2.61369e-08 / -4.87749e-08 | 0.000194011 / -0.000193988 | 2.40797e-05 / -2.41011e-05 | -2.71234e-06 / 2.72602e-06 | -2.1133e-08 / -2.10997e-08 | -6.75599e-05 / 6.75256e-05 | -2.94309e-06 / 2.94536e-06 | -1.84741e-06 / 1.84992e-06 |
 | GlobalReduction_JET_EtaIntercalibration_NonClosure_posEta | -3.9587e-06 / 3.96528e-06 | 2.58158e-06 / -2.62893e-06 | -3.82814e-05 / 3.82728e-05 | 1.9744e-06 / -1.92213e-06 | 1.0802e-05 / -1.08814e-05 | -6.53263e-06 / 6.51125e-06 | -6.2484e-07 / 6.38493e-07 | -2.13306e-08 / -2.08894e-08 | 7.20244e-06 / -7.1553e-06 | 0.00312122 / -0.00312128 | 4.6627e-06 / -4.66019e-06 |
 | GlobalReduction_JET_EtaIntercalibration_TotalStat | -0.000142436 / 0.000142443 | -0.000673338 / 0.000673359 | -0.000570515 / 0.000570573 | 0.000792934 / -0.000792886 | 0.000805656 / -0.000805638 | -0.000886679 / 0.000886717 | -0.00031319 / 0.000313203 | -4.99265e-06 / 5.01183e-06 | 0.000554142 / -0.000554097 | 2.17522e-05 / -2.175e-05 | 0.00600852 / -0.00600879 |
 | GlobalReduction_JET_Flavor_Composition | -0.00120724 / 0.00120725 | -0.000176883 / 0.000176903 | -0.000333835 / 0.000333828 | 0.0859621 / -0.0858415 | 0.0124493 / -0.0124485 | -0.00142633 / 0.00142632 | 0.000957445 / -0.000957431 | 0.0294168 / -0.0294102 | 0.00429509 / -0.00429498 | 0.000550579 / -0.000550576 | -0.0011333 / 0.00113331 |
 | GlobalReduction_JET_PunchThrough_MC16 | 2.86183e-09 / 3.54006e-09 | -5.96312e-08 / 8.37217e-08 | -2.12828e-07 / 2.04219e-07 | 4.03497e-07 / -4.26288e-07 | -3.9967e-08 / -3.9967e-08 | -2.41747e-07 / 2.86206e-07 | 1.207e-07 / -1.06495e-07 | -2.12588e-08 / -2.12588e-08 | 2.3706e-08 / -5.81922e-08 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_DataVsMC_MC16 | 0.00249314 / -0.0024932 | 0.00350751 / -0.00350764 | 0.000330786 / -0.000330787 | -0.000143021 / 0.000143021 | -0.0036525 / 0.00365237 | 0.0064371 / -0.00643754 | -0.00143465 / 0.00143463 | 0.000491329 / -0.000491331 | 0.00222781 / -0.00222786 | 0 / 0 | 0 / 0 |
 | GlobalReduction_JET_JER_EffectiveNP_1 | 0.00467716 / -0.00467773 | 0.00563309 / -0.00563393 | 0.00109136 / -0.00109139 | 0.0603166 / -0.0604111 | 0.0150269 / -0.0150329 | 0.00548539 / -0.00548618 | -0.00317318 / 0.00317292 | 0.00123646 / -0.0012365 | -0.00137291 / 0.00137286 | 0.0145929 / -0.0145985 | 0.0052297 / -0.00523042 |
 | GlobalReduction_JET_JER_EffectiveNP_2 | 0.00635366 / -0.00635328 | 0.0060846 / -0.00608425 | 0.000614802 / -0.000614799 | 0.127468 / -0.127159 | -0.00334484 / 0.00334494 | 0.00151847 / -0.00151845 | -0.00662356 / 0.00662392 | -0.110182 / 0.110181 | 0.00401757 / -0.00401742 | 0.0150824 / -0.0150801 | 0.00867182 / -0.0086711 |
 | GlobalReduction_JET_JER_EffectiveNP_3 | 0.00492795 / -0.00492672 | 0.00581255 / -0.00581083 | -4.28636e-06 / 4.28636e-06 | 0.134151 / -0.132995 | 0.0131429 / -0.013134 | 0.00483345 / -0.00483227 | -0.00446569 / 0.00446668 | -0.0036488 / 0.00364946 | 0.00289471 / -0.00289428 | 0.014833 / -0.0148216 | 0.0148725 / -0.0148611 |
 | GlobalReduction_JET_JER_EffectiveNP_4 | 0.00580863 / -0.00580931 | 0.0056405 / -0.00564114 | -6.47383e-05 / 6.47382e-05 | 0.122814 / -0.123073 | -0.0190431 / 0.0190356 | -0.00313061 / 0.00313041 | -0.0043108 / 0.00431042 | -0.107085 / 0.106822 | 0.00351869 / -0.00351894 | 0.0146112 / -0.0146154 | 0.0191806 / -0.0191878 |
 | GlobalReduction_JET_JER_EffectiveNP_5 | 0.00498727 / -0.00498741 | 0.00332509 / -0.00332515 | 0.0007145 / -0.000714503 | -0.00740414 / 0.0074038 | 0.0151509 / -0.015152 | 0.00153971 / -0.00153973 | -0.0036742 / 0.00367411 | 0.000822903 / -0.000822907 | 0.00563407 / -0.00563424 | 0.0097059 / -0.0097064 | 0.0248723 / -0.0248752 |
 | GlobalReduction_JET_JER_EffectiveNP_6 | 0.00271873 / -0.00271851 | 0.00320435 / -0.00320405 | 0.00110897 / -0.00110893 | -0.00930911 / 0.00931161 | -0.0117878 / 0.0117918 | -0.000618702 / 0.000618713 | -0.00279136 / 0.00279159 | 0.00111933 / -0.00111929 | -0.00043976 / 0.000439766 | 0.00979863 / -0.00979568 | 0.0249088 / -0.0248888 |
 | GlobalReduction_JET_JER_EffectiveNP_7restTerm | 0.00337909 / -0.00337932 | 0.00436181 / -0.0043622 | 0.000354339 / -0.000354342 | 0.046766 / -0.0468113 | -0.0122812 / 0.0122781 | 0.00439087 / -0.00439126 | -0.00353435 / 0.00353409 | 0.00108281 / -0.00108284 | 0.0038653 / -0.0038656 | 0.0146839 / -0.0146883 | 0.0248051 / -0.0248177 |
