 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | bTagSF_eigenvars_B_1 | -0.0098642 / 0.00986355 | -0.0102447 / 0.010244 | -0.00946029 / 0.00945969 | -0.000252081 / 0.000252081 | -0.00628268 / 0.00628241 | -0.0102046 / 0.0102039 | -0.0111165 / 0.0111156 | 0.0124821 / -0.0124831 | 0.000346701 / -0.000346702 | -0.00605734 / 0.0060571 | -0.0050264 / 0.00502623 |
 | bTagSF_eigenvars_B_2 | 0.00571802 / -0.00571824 | 0.00627303 / -0.0062733 | 0.00582775 / -0.00582798 | 0.000208176 / -0.000208176 | 0.00382304 / -0.00382314 | 0.00573814 / -0.00573836 | 0.00654281 / -0.0065431 | 0.00795918 / -0.00795961 | -8.64204e-07 / 8.64204e-07 | 0.00282204 / -0.00282209 | 0.00375454 / -0.00375463 |
 | bTagSF_eigenvars_B_3 | -3.55746e-05 / 3.55746e-05 | 6.93999e-05 / -6.94e-05 | 2.59585e-05 / -2.59585e-05 | -0.000102743 / 0.000102743 | -0.000829746 / 0.000829741 | -0.000298032 / 0.000298031 | -3.69589e-05 / 3.69589e-05 | -0.0270767 / 0.0270718 | -8.59013e-05 / 8.59013e-05 | -3.07161e-05 / 3.07161e-05 | -0.000181637 / 0.000181637 |
 | bTagSF_eigenvars_B_4 | -0.000147137 / 0.000147137 | -0.00014875 / 0.00014875 | -0.000156322 / 0.000156322 | 1.48273e-05 / -1.48273e-05 | 2.00283e-05 / -2.00283e-05 | -9.62442e-05 / 9.62441e-05 | -5.91873e-05 / 5.91873e-05 | 0.00736601 / -0.00736638 | 4.85736e-05 / -4.85736e-05 | -5.96464e-05 / 5.96464e-05 | -6.79778e-05 / 6.79778e-05 |
 | bTagSF_eigenvars_B_5 | -5.61663e-06 / 5.61663e-06 | -4.84195e-05 / 4.84194e-05 | -1.8499e-06 / 1.8499e-06 | -2.09512e-06 / 2.09512e-06 | -2.15199e-05 / 2.15199e-05 | -2.19729e-05 / 2.19729e-05 | 1.60936e-05 / -1.60936e-05 | 0.000344917 / -0.000344917 | -1.81661e-05 / 1.81661e-05 | -1.2079e-05 / 1.2079e-05 | -1.13478e-05 / 1.13478e-05 |
 | bTagSF_eigenvars_B_6 | -5.27053e-07 / 5.27053e-07 | 3.69077e-06 / -3.69077e-06 | 2.5209e-07 / -2.5209e-07 | -6.05251e-08 / 6.05251e-08 | 8.21255e-07 / -8.21255e-07 | 1.14004e-06 / -1.14004e-06 | -3.32713e-06 / 3.32713e-06 | -0.000429093 / 0.000429093 | -2.83653e-07 / 2.83653e-07 | -2.13419e-06 / 2.13419e-06 | 5.64985e-07 / -5.64985e-07 |
 | bTagSF_eigenvars_B_7 | -4.32624e-08 / 4.32624e-08 | 6.10603e-07 / -6.10603e-07 | -9.50814e-08 / 9.50814e-08 | 7.49358e-08 / -7.49358e-08 | -1.68701e-07 / 1.68701e-07 | -2.33929e-07 / 2.33929e-07 | 1.99596e-08 / -1.99596e-08 | 1.79412e-05 / -1.79412e-05 | -1.74999e-07 / 1.74999e-07 | -3.13252e-07 / 3.13252e-07 | 1.76579e-07 / -1.76579e-07 |
 | bTagSF_eigenvars_B_8 | 1.37101e-08 / -1.37101e-08 | 5.96712e-09 / -5.96712e-09 | 7.05863e-09 / -7.05863e-09 | 8.64644e-09 / -8.64644e-09 | 3.0043e-08 / -3.0043e-08 | 2.62233e-08 / -2.62233e-08 | 8.25103e-09 / -8.25103e-09 | -1.72039e-06 / 1.72039e-06 | -1.96979e-08 / 1.96979e-08 | 4.71059e-09 / -4.71059e-09 | 1.77325e-08 / -1.77325e-08 |
 | bTagSF_eigenvars_C_0 | -0.00118163 / 0.00118163 | 0.00160434 / -0.00160435 | -0.000756366 / 0.000756363 | -0.00257724 / 0.00257721 | -0.0188763 / 0.0188745 | -0.000354388 / 0.000354388 | -0.00222718 / 0.00222716 | -0.343232 / 0.339694 | -0.000101322 / 0.000101322 | -0.0326749 / 0.0326683 | -0.0404262 / 0.0404152 |
 | bTagSF_eigenvars_C_1 | -0.000134771 / 0.000134771 | -2.2387e-05 / 2.2387e-05 | 3.00724e-05 / -3.00724e-05 | 7.79069e-05 / -7.79069e-05 | -0.00207474 / 0.00207471 | -4.17267e-05 / 4.17267e-05 | -0.000323649 / 0.000323649 | -0.113322 / 0.113275 | -0.000255575 / 0.000255575 | -0.00533814 / 0.00533798 | -0.00345686 / 0.00345679 |
 | bTagSF_eigenvars_C_2 | 3.36676e-05 / -3.36676e-05 | 1.60371e-05 / -1.60371e-05 | -3.6481e-05 / 3.6481e-05 | 6.40921e-05 / -6.40922e-05 | 0.000673763 / -0.000673766 | 3.17985e-06 / -3.17985e-06 | 6.58487e-05 / -6.58487e-05 | 0.092811 / -0.0928685 | -3.7012e-05 / 3.7012e-05 | 0.00119042 / -0.00119043 | 0.00302202 / -0.00302208 |
 | bTagSF_eigenvars_C_3 | -4.45252e-06 / 4.45252e-06 | -1.29496e-05 / 1.29496e-05 | 6.05119e-06 / -6.05119e-06 | -4.52887e-05 / 4.52887e-05 | -0.00027307 / 0.00027307 | -1.43569e-05 / 1.43569e-05 | -0.000130625 / 0.000130624 | 0.000916531 / -0.000916537 | -5.43961e-05 / 5.4396e-05 | -0.000328496 / 0.000328495 | -0.00046073 / 0.000460728 |
