 |       | t#bar{t}Z+tWZ      | t#bar{t}W      | t#bar{t}H      | VV+LF      | VV+HF      | tZ      | t#bar{t}+Wt      | Other fakes      | Other      | FCNC (c)tZ      | FCNC t#bar{t}(cZ) |
 | pileup | -0.0132247 / 0.0132214 | -0.0182078 / 0.0182015 | -0.0124383 / 0.0124354 | -0.00151452 / 0.00151448 | -0.0121705 / 0.0121677 | -0.0127453 / 0.0127422 | -0.0226303 / 0.0226204 | 0.0163372 / -0.016342 | -0.0223624 / 0.0223528 | -0.00896911 / 0.0089676 | -0.0146802 / 0.0146762 |
 | jvt | -0.00555055 / 0.00555034 | -0.00192604 / 0.00192602 | -0.00387488 / 0.00387478 | 0.0010555 / -0.00105551 | 0.000660473 / -0.000660476 | -0.000397355 / 0.000397354 | 0.000355371 / -0.000355372 | -0.000154564 / 0.000154564 | 0.00308518 / -0.00308524 | -4.29045e-05 / 4.29044e-05 | -0.00225902 / 0.00225898 |
 | EL_SF_Trigger | 0.000145646 / -0.000145646 | 0.000160561 / -0.000160562 | 0.000208836 / -0.000208837 | 0.00019486 / -0.00019486 | 0.000173951 / -0.000173952 | 0.000173481 / -0.000173481 | 0.000319918 / -0.000319919 | 0.000425865 / -0.000425866 | 0.000109794 / -0.000109794 | 0.00014712 / -0.00014712 | 0.000149937 / -0.000149937 |
 | EL_SF_Reco | 0.00250035 / -0.00250039 | 0.00253236 / -0.0025324 | 0.00271223 / -0.00271228 | 0.00265553 / -0.00265558 | 0.00234359 / -0.00234363 | 0.00249257 / -0.00249261 | 0.00405992 / -0.00406003 | 0.00494189 / -0.00494205 | 0.00339393 / -0.00339401 | 0.00281775 / -0.0028178 | 0.00255177 / -0.00255181 |
 | EL_SF_ID | 0.0141314 / -0.0141343 | 0.0142531 / -0.0142561 | 0.0158318 / -0.0158355 | 0.0147743 / -0.0147776 | 0.013111 / -0.0131135 | 0.0144815 / -0.0144846 | 0.0233058 / -0.0233139 | 0.0277257 / -0.0277372 | 0.0105092 / -0.0105108 | 0.0159096 / -0.0159133 | 0.0134879 / -0.0134906 |
 | EL_SF_Isol | 0.0188652 / -0.0188716 | 0.0177377 / -0.0177433 | 0.0173684 / -0.0173738 | 0.0183037 / -0.0183096 | 0.0161875 / -0.0161921 | 0.0174262 / -0.0174316 | 0.0177896 / -0.0177952 | 0.0200764 / -0.0200836 | 0.0180022 / -0.018008 | 0.0182497 / -0.0182556 | 0.0180637 / -0.0180695 |
 | MU_SF_Trigger_STAT | 0.000256345 / -0.000256345 | 0.000322926 / -0.000322926 | 0.000265947 / -0.000265948 | 0.000195215 / -0.000195216 | 0.000279806 / -0.000279806 | 0.000277318 / -0.000277319 | 0.000367925 / -0.000367926 | 0.000135738 / -0.000135738 | 4.26985e-05 / -4.26985e-05 | 0.000267042 / -0.000267042 | 0.000248468 / -0.000248468 |
 | MU_SF_Trigger_SYST | -0.000573326 / 0.000573324 | -0.00068594 / 0.000685937 | -0.000653847 / 0.000653844 | -0.000541798 / 0.000541796 | -0.000613987 / 0.000613984 | -0.000660594 / 0.000660591 | -0.000991568 / 0.000991562 | -0.000945591 / 0.000945585 | -0.00126751 / 0.0012675 | -0.000612469 / 0.000612467 | -0.000603046 / 0.000603044 |
 | MU_SF_ID_STAT | 0.000881446 / -0.000881451 | 0.000939661 / -0.000939667 | 0.000875988 / -0.000875994 | 0.000533807 / -0.000533809 | 0.000910437 / -0.000910443 | 0.000916086 / -0.000916091 | 0.000873815 / -0.000873821 | 0.000656398 / -0.000656401 | 0.000611139 / -0.000611141 | 0.000880662 / -0.000880667 | 0.000895804 / -0.000895809 |
 | MU_SF_ID_STAT_LOWPT | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 | 0 / 0 |
