NUISANCE_PARAMETERS
ttbarFSR  0.300288 +0.90933 -0.90933
ttbarPDF  -0.00056158 +0.993076 -0.993076
ttbarPS  -0.0303066 +0.99373 -0.99373
ttbarPhotConv  -0.286447 +1.0233 -1.0233
ttbarXsec  0 +0.993347 -0.993347
ttbarhdamp  -0.115846 +0.934545 -0.934545
gamma_stat_SBCR1_bin_0  1.00132 +0.0143718 -0.0143718
gamma_stat_SBCR1_bin_1  0.998016 +0.0124377 -0.0124377
gamma_stat_SBCR1_bin_2  0.999869 +0.0150616 -0.0150616
gamma_stat_SBCR1_bin_3  1.00323 +0.0177563 -0.0177563
gamma_stat_SBCR1_bin_4  1.00263 +0.0200819 -0.0200819
gamma_stat_SBCR1_bin_5  0.99247 +0.0302354 -0.0302354
gamma_stat_SBCR1_bin_6  0.998062 +0.0269915 -0.0269915
gamma_stat_SBCR1_bin_7  1.00379 +0.0349596 -0.0349596
gamma_stat_SBCR2_bin_0  1.01994 +0.0546121 -0.0546121
gamma_stat_SBCR2_bin_1  1.00481 +0.0614386 -0.0614386
gamma_stat_SBCR2_bin_2  1.00564 +0.0513773 -0.0513773
gamma_stat_SBCR2_bin_3  0.987286 +0.0503853 -0.0503853
gamma_stat_SBCR2_bin_4  0.983769 +0.0512345 -0.0512345
gamma_stat_SBCR2_bin_5  1.00151 +0.0509588 -0.0509588
gamma_stat_SBCR2_bin_6  1.02594 +0.0538085 -0.0538085
gamma_stat_SBCR2_bin_7  0.992281 +0.0434493 -0.0434493
gamma_stat_TTCR_bin_0  1.00868 +0.0407566 -0.0407566
gamma_stat_TTCR_bin_1  0.987718 +0.0378753 -0.0378753
gamma_stat_TTCR_bin_2  0.994843 +0.0363702 -0.0363702
gamma_stat_TTCR_bin_3  0.997093 +0.0408552 -0.0408552
gamma_stat_TTCR_bin_4  1.00813 +0.038873 -0.038873
gamma_stat_TTCR_bin_5  1.00944 +0.0377155 -0.0377155
gamma_stat_TTCR_bin_6  0.999684 +0.0312601 -0.0312601
gamma_stat_TTCR_bin_7  0.996856 +0.0300722 -0.0300722
gamma_stat_TTZCR_bin_0  1.00072 +0.018182 -0.018182
gamma_stat_TTZCR_bin_1  1.00108 +0.017286 -0.017286
gamma_stat_TTZCR_bin_2  1.00168 +0.0181273 -0.0181273
gamma_stat_TTZCR_bin_3  0.997638 +0.0162699 -0.0162699
gamma_stat_TTZCR_bin_4  0.999672 +0.0158049 -0.0158049
gamma_stat_TTZCR_bin_5  0.998746 +0.0160303 -0.0160303
gamma_stat_TTZCR_bin_6  1.00074 +0.0146692 -0.0146692
gamma_stat_TTZCR_bin_7  0.999442 +0.0146266 -0.0146266
mu_ttbar_Wt  0.930574 +0.25324 -0.25324


CORRELATION_MATRIX
134   134
-0.0010129   -3.04097e-05   -4.52539e-05   -1.73395e-05   -2.39206e-05   -3.90942e-06   -1.13383e-06   -1.30171e-05   -1.86277e-05   0.00232684   0.0016895   -0.000503446   -0.00169799   -0.00161339   -0.00122868   1.57815e-07   0.00143948   0.00195035   -0.00016917   0.00286296   -0.00153385   -8.50661e-05   -0.000436524   -0.00162703   -0.0079285   -0.00182625   -0.000821374   -0.000419158   0.000501645   0.0002242   0.000619531   0.000515685   0.000347422   0.00327125   -4.49298e-11   0.000947375   0.000189204   -0.000623195   -0.00140389   -0.000141284   0.000462773   0.00025646   0.00275649   0.000136417   1.26551e-05   0.00184706   0.000270382   0.000711857   -0.00136003   0.00200814   -4.49298e-11   0.0030243   -0.000522186   0.000382289   -0.000106939   -0.000300582   -0.00146564   0.00192622   -1.39841e-05   -1.85661e-05   -0.0014493   0.00441206   1.73669e-06   -6.04953e-07   2.20127e-05   -3.34395e-05   -0.000143665   0.00211   0.00248387   -0.00386907   0.00019326   0.000452039   0.000689395   0.00121523   -9.33533e-05   -0.00573633   -0.0146674   -0.000944506   0.00319974   0.00484444   0.00626862   0.00214565   -0.0197792   0.00179538   0.00266278   7.9847e-07   -1.20527e-05   1.21433e-06   -4.07233e-07   -0.00155652   -9.77884e-06   1.55205e-07   -3.44706e-06   -3.0075e-05   -8.87464e-05   -0.000919364   -0.000859972   -0.00193318   0.00245475   -4.49298e-11   0.000323002   0.000819531   -0.00177582   -0.000281844   0.00109945   0.00336957   0.00552938   0.00121685   0.00167056   -0.00304318   0.00431474   -0.00210235   -4.49298e-11   -0.00266421   -0.00102077   8.46963e-05   0.000206877   0.00202883   -0.000332221   -0.000676771   0.000821833   -0.000946627   -0.00061666   -5.72255e-05   -1.88571e-05   0.000123352   0.00166526   -0.000870276   3.0877e-09   1.02106e-05   -0.000175367   -0.000651708   0.000316954   1   
0.00178973   -0.00031512   -0.000129883   -1.30847e-06   4.52703e-05   0.000175061   0.000228537   0.000268241   0.000320984   -0.00188035   -0.000675669   4.81429e-05   0.000175349   0.00037095   0.000366227   0.000264255   -8.46271e-05   -0.0043842   -0.00188691   -0.00190258   0.00269416   0.00188265   0.00175713   0.00158848   0.00524248   0.000399546   0.00014145   2.32436e-06   -0.000101676   -0.000161579   -0.000247825   -0.000273517   -0.00015493   0.000284922   1.34077e-09   -0.00142566   0.000792684   0.000463616   0.00281123   0.00027263   -0.00020924   0.00102514   -0.000204302   0.000293695   0.000368646   -0.00292645   -0.000671849   -0.000579141   0.00117187   -0.00182734   1.34077e-09   -0.00211137   -0.000116796   -0.000167548   0.000161788   0.000485199   0.00123251   0.000497949   3.00015e-08   -1.2823e-06   0.00149826   -0.00284051   1.31128e-07   -4.13894e-07   3.5561e-08   3.41379e-06   6.9552e-05   -0.00232336   -0.00234394   -2.46163e-05   -0.00377033   -0.00029809   -0.000419881   -0.000723244   -0.000559013   0.000974499   0.00627628   0.00289003   -0.00190662   -0.00226476   -0.00400249   -0.00467225   0.0116496   -0.00148457   -0.000523105   -4.0551e-07   -3.78005e-07   -2.38235e-07   1.42237e-08   0.001753   -3.5677e-06   -8.73696e-08   1.26361e-07   4.31199e-05   5.92422e-06   -2.69074e-05   0.000312187   -9.32737e-06   -0.00336305   1.34077e-09   -0.000587982   -0.000256977   0.000865214   0.000499304   -0.000215492   -0.00252948   -0.00264318   -0.00156119   -0.000338186   0.00142576   -0.000357162   0.00143984   1.34077e-09   0.00209135   0.000481841   -6.08919e-06   -2.92995e-05   6.41478e-05   6.92339e-05   0.000116788   -0.000197197   0.000423287   -0.000253659   0.00030111   -0.000881638   -0.000481056   -0.000783752   -6.65141e-05   1.14636e-08   1.0614e-06   -0.000833078   8.75646e-05   1   0.000316954   
-0.123986   -0.00377649   -0.00148983   -0.000655596   -0.000865721   -0.000838722   -0.000541938   -0.000558947   -0.000815854   -0.00451395   0.000197198   0.000235394   0.00154966   0.00283469   0.00148637   0.00158476   -0.00346868   -0.00174807   -0.000169949   -0.000578443   -0.00305824   0.000192747   0.000673215   -0.00182766   -0.00531137   -0.00111764   -0.00121466   -9.0058e-05   -0.000213226   0.000193197   0.000686887   0.000413942   0.000735081   -0.00596239   2.23897e-09   0.00257307   -0.002975   0.000528074   0.000419908   -0.000713011   -0.000429463   -0.0107955   -0.0776452   -0.004332   0.00204852   -0.00538885   -0.00263555   0.00526569   -0.00708413   -0.0129689   2.23897e-09   0.00559992   -0.0137399   0.000132993   -5.81436e-05   -0.000292374   -0.000546324   0.00229287   -5.21196e-06   -9.49176e-06   -0.000873951   0.00600284   3.55855e-07   -1.92013e-07   1.02474e-05   -2.35438e-05   0.000399904   0.0172012   -0.0197055   -0.00269287   0.000190588   0.00100079   0.00126728   0.00106366   0.000190009   -0.00488349   -0.0504639   -0.034267   -0.0107985   -0.00999871   0.00516469   -0.000748242   -0.0320191   -0.00617688   -0.0164214   2.02292e-06   -4.13866e-06   8.30464e-07   -8.34735e-08   -0.0153328   -3.1634e-05   4.72913e-07   -1.42571e-06   -0.00155287   -0.00140739   0.0017423   -0.00317796   0.000123814   -0.00214606   2.23897e-09   -0.0120438   0.00222827   -0.00165235   -0.00505731   -0.00348979   0.00405542   0.00401579   -0.00466688   0.00254503   -0.000915873   0.000568013   -0.00414389   2.23897e-09   -0.00695757   -0.00017556   -0.000419548   0.000165369   -0.000450305   -0.00105207   0.00145636   -0.000282345   0.00178039   -0.000742811   0.00201227   0.0028105   0.00273725   -0.0055467   -0.000616399   4.66119e-07   1.31393e-06   -0.015082   1   8.75646e-05   -0.000651708   
-0.105077   -0.00174434   -0.00189585   -0.00157821   -0.00181233   -0.00159208   -0.0014858   -0.0016681   -0.00142191   -0.00411714   -0.00199926   -0.000936719   0.000693332   -0.000243426   0.000941252   0.00112651   0.00310374   -0.00172353   -0.00294123   -0.00228656   -0.00200148   0.00188485   0.000738792   -0.00141176   -0.00404041   -0.000486659   8.5978e-05   -0.00179506   -0.000472568   0.000136756   0.000202156   0.000642232   0.00095139   0.0107098   -9.65842e-10   -0.00293244   0.00246289   0.000686323   -0.00206369   0.00103117   0.00126308   -0.0150753   -0.105054   -0.00737821   -0.00330272   -0.0101964   -0.0050052   0.00747431   -0.00994951   -0.0155749   -9.65842e-10   0.00168837   -0.0181172   7.6578e-05   -6.36083e-06   -0.000207805   3.70123e-05   0.00157789   -2.17014e-06   -4.62769e-06   -0.000460221   0.0068566   1.49764e-07   3.19083e-07   1.58557e-06   -1.37184e-05   0.000759492   0.0215438   -0.0219082   -0.000900064   0.00046653   0.00118049   0.00129675   0.00115174   0.000277277   -0.0028883   -0.06614   -0.0444756   -0.0124046   -0.0151178   0.00461768   -0.00150356   -0.0403323   -0.0123716   -0.00582626   9.59087e-07   -1.95488e-07   1.42878e-06   3.98644e-07   -0.0190585   -0.000145959   3.67847e-06   1.70301e-07   0.000318565   -0.000714307   -0.000216391   -0.00224465   -0.00527772   -0.00501475   -9.65842e-10   -0.0223949   0.00101433   -0.00392763   -0.00241175   -0.00322813   0.00178261   0.00401212   -0.00317584   0.000176221   -0.00253352   0.00212708   -0.0030051   -9.65842e-10   -0.0167592   -0.000169678   -9.54782e-05   0.000242129   0.00149765   -0.0023013   0.000240894   0.00043249   0.000213504   -0.00118234   0.00143718   -0.000110015   0.000617013   -0.00729163   -0.00199032   2.56804e-07   3.26451e-06   1   -0.015082   -0.000833078   -0.000175367   
-6.75133e-06   1.17676e-06   8.79892e-07   -8.70751e-07   -4.81651e-07   -5.69983e-07   -5.92501e-07   -5.81213e-07   -5.45841e-07   -1.36642e-06   6.09555e-06   4.58294e-08   2.81234e-06   5.16903e-07   1.52387e-06   6.61042e-07   -8.65781e-06   7.6344e-06   2.9061e-06   -2.27875e-05   6.98488e-07   2.57091e-06   3.54387e-06   5.65585e-06   -5.82251e-06   9.35023e-05   -0.000119271   6.26696e-05   -5.98072e-05   2.10387e-05   5.39179e-06   9.81101e-06   7.43283e-06   -1.42252e-05   4.61941e-13   8.15595e-06   1.35756e-06   -8.80808e-07   -6.55757e-07   -2.9348e-06   -8.10011e-07   1.23989e-05   -2.54382e-05   2.06984e-06   -2.62677e-05   2.26751e-06   -8.23128e-07   8.93367e-07   -9.31243e-06   -7.33104e-06   4.61941e-13   1.22914e-05   1.22188e-06   3.00202e-07   -7.619e-07   -4.01712e-06   -4.84479e-06   -8.00033e-06   -2.38726e-07   -5.84212e-07   -4.39181e-06   -4.55048e-06   6.90378e-08   -1.75191e-07   6.75842e-07   -6.63335e-07   6.53337e-08   -1.00021e-06   1.68032e-05   1.91081e-05   5.03207e-05   8.20029e-06   6.7335e-06   8.1286e-08   2.58152e-05   1.33091e-06   -5.19267e-05   -2.11374e-06   4.24542e-05   3.50288e-05   2.43242e-05   -7.97678e-05   -4.49686e-05   2.49324e-05   0.000146063   1.51096e-07   -3.81608e-07   -9.48185e-08   -3.68722e-09   -1.15534e-06   2.68356e-07   -8.20956e-08   -7.07211e-08   7.83453e-06   9.86298e-06   5.92006e-06   4.80017e-05   7.95364e-05   6.32667e-05   4.61941e-13   1.61469e-05   -8.75696e-06   2.63506e-05   4.90329e-05   6.836e-05   4.84966e-05   9.27425e-06   9.30753e-05   7.12555e-05   0.000100356   3.28636e-05   7.6963e-05   4.61941e-13   3.37223e-05   1.8158e-05   1.09041e-06   -4.63351e-06   -2.55953e-05   -1.21988e-05   -1.18626e-05   -1.04324e-05   -1.79392e-05   1.55124e-05   -2.06661e-05   -1.23061e-05   -1.41009e-05   -4.23094e-06   1.16443e-05   1.47498e-10   1   3.26451e-06   1.31393e-06   1.0614e-06   1.02106e-05   
-2.04656e-07   3.90346e-07   2.88044e-07   -1.13765e-07   -1.04216e-07   -9.76017e-08   -7.09167e-08   -7.87257e-08   -8.59465e-08   -1.07183e-08   -4.00755e-09   -8.93448e-10   6.63173e-09   -1.33359e-10   1.08999e-08   1.07297e-08   6.34045e-09   -5.03175e-09   -6.54605e-10   -5.74263e-09   3.72819e-09   4.38935e-09   3.33926e-09   1.91638e-09   7.05087e-09   1.23275e-08   8.24299e-09   9.67287e-09   -1.17797e-10   -5.20178e-10   -1.18592e-08   -1.90237e-08   -5.17694e-08   2.45434e-08   6.44175e-15   -1.62067e-07   2.73953e-08   -1.36798e-08   -4.9419e-08   3.67584e-08   -9.91154e-09   1.79219e-07   2.10058e-06   3.4633e-08   -7.46263e-07   -3.90043e-08   -9.35344e-08   -1.58925e-08   8.02674e-09   6.05594e-07   6.44175e-15   -2.23863e-07   2.04537e-07   -5.2768e-08   -1.69718e-08   -3.6813e-09   2.07374e-08   1.97277e-08   1.45983e-11   -1.71127e-10   4.88805e-10   -3.13593e-07   6.58822e-09   -6.58196e-09   -6.5333e-09   -6.13312e-11   3.89774e-08   -3.40665e-07   1.27885e-06   -1.09056e-07   -2.76654e-07   -4.49858e-08   -7.854e-08   -7.95013e-08   -6.77628e-08   6.35931e-09   -1.13394e-07   -1.32273e-07   5.83136e-07   1.55356e-07   -4.2937e-07   -2.90443e-07   2.56421e-08   -2.1847e-08   -1.19795e-07   -5.39975e-11   6.54272e-09   -6.62085e-09   -1.37586e-11   1.12369e-07   1.26823e-08   -1.32915e-08   -6.04925e-12   7.92527e-09   -1.70463e-08   -9.60211e-09   7.31111e-09   -3.56407e-08   -5.65532e-08   6.44175e-15   1.65112e-07   -1.75612e-08   1.78345e-08   2.03051e-08   -5.83731e-08   -5.34132e-08   -8.80955e-08   7.98587e-08   3.35652e-08   2.7818e-07   -1.00089e-07   1.12528e-08   6.44175e-15   -9.5331e-08   5.74982e-09   7.44937e-10   -8.52394e-10   -3.39758e-08   -4.6764e-08   9.75214e-09   -4.81553e-11   1.32936e-08   6.80052e-09   -3.951e-10   -1.24423e-09   -2.89418e-08   1.1081e-07   2.00903e-08   1   1.47498e-10   2.56804e-07   4.66119e-07   1.14636e-08   3.0877e-09   
