NUISANCE_PARAMETERS
#mu  0.004548 +0.204994 -0.204994
ttbarFSR  0.30094 +0.889316 -0.889316
ttbarPDF  -0.000542034 +0.993053 -0.993053
ttbarPS  -0.0303296 +0.983113 -0.983113
ttbarPhotConv  -0.297356 +1.02199 -1.02199
ttbarXsec  -2.87513e-06 +0.993349 -0.993349
ttbarhdamp  -0.115773 +0.931916 -0.931916
gamma_stat_SBCR1_bin_0  1.00133 +0.0143603 -0.0143603
gamma_stat_SBCR1_bin_1  0.998031 +0.0124336 -0.0124336
gamma_stat_SBCR1_bin_2  0.999875 +0.0150569 -0.0150569
gamma_stat_SBCR1_bin_3  1.00317 +0.0177479 -0.0177479
gamma_stat_SBCR1_bin_4  1.00257 +0.0200725 -0.0200725
gamma_stat_SBCR1_bin_5  0.992344 +0.0302124 -0.0302124
gamma_stat_SBCR1_bin_6  0.998038 +0.0269826 -0.0269826
gamma_stat_SBCR1_bin_7  1.00366 +0.0349401 -0.0349401
gamma_stat_SBCR2_bin_0  1.01974 +0.0545394 -0.0545394
gamma_stat_SBCR2_bin_1  1.00493 +0.0614038 -0.0614038
gamma_stat_SBCR2_bin_2  1.00569 +0.0513501 -0.0513501
gamma_stat_SBCR2_bin_3  0.987342 +0.0503655 -0.0503655
gamma_stat_SBCR2_bin_4  0.983697 +0.0512119 -0.0512119
gamma_stat_SBCR2_bin_5  1.00158 +0.0509238 -0.0509238
gamma_stat_SBCR2_bin_6  1.02552 +0.053756 -0.053756
gamma_stat_SBCR2_bin_7  0.992314 +0.0434368 -0.0434368
gamma_stat_SR1_bin_0  0.999994 +0.00920211 -0.00920211
gamma_stat_SR1_bin_1  0.999997 +0.0118824 -0.0118824
gamma_stat_SR1_bin_2  0.999996 +0.01168 -0.01168
gamma_stat_SR1_bin_3  1 +0.0179091 -0.0179091
gamma_stat_SR1_bin_4  1 +0.0198753 -0.0198753
gamma_stat_SR1_bin_5  0.999991 +0.0188251 -0.0188251
gamma_stat_SR1_bin_6  0.999988 +0.0168964 -0.0168964
gamma_stat_SR1_bin_7  0.999987 +0.018314 -0.018314
gamma_stat_SR1_bin_8  0.999974 +0.0236819 -0.0236819
gamma_stat_SR1_bin_9  0.999977 +0.019086 -0.019086
gamma_stat_SR2_bin_0  1.00001 +0.0324732 -0.0324732
gamma_stat_SR2_bin_1  1.00001 +0.0246596 -0.0246596
gamma_stat_SR2_bin_2  1 +0.0250639 -0.0250639
gamma_stat_SR2_bin_3  1.00001 +0.0231426 -0.0231426
gamma_stat_SR2_bin_4  1.00001 +0.0245776 -0.0245776
gamma_stat_SR2_bin_5  1.00002 +0.0270866 -0.0270866
gamma_stat_SR2_bin_6  1.00001 +0.0234885 -0.0234885
gamma_stat_SR2_bin_7  1 +0.0276895 -0.0276895
gamma_stat_SR2_bin_8  1.00001 +0.0262663 -0.0262663
gamma_stat_SR2_bin_9  0.999998 +0.0192941 -0.0192941
gamma_stat_TTCR_bin_0  1.00843 +0.0407343 -0.0407343
gamma_stat_TTCR_bin_1  0.987466 +0.0378558 -0.0378558
gamma_stat_TTCR_bin_2  0.994831 +0.036368 -0.036368
gamma_stat_TTCR_bin_3  0.997128 +0.0408579 -0.0408579
gamma_stat_TTCR_bin_4  1.00797 +0.0388601 -0.0388601
